all_taxa	Growth.Rate	max_xyl1_estAI	max_xyl2_estAI	max_xyl3_estAI
aciculoconidium aculeatum	0	0.903183885640026	0.746913580246914	0.253736192332684
alloascoidea hylecoeti	NA	0.977105675382576	0.992047234606579	0.83817327388842
ambrosiozyma ambrosiae	0	0.946242263483643	0.93368700265252	0.863837312113174
ambrosiozyma kashinagacola	0	0.788119911176906	0.937823834196891	0.467431532198372
ambrosiozyma maleeae	0.114615977	0.89390923566879	0.702627388535032	0.159036624203822
ambrosiozyma monospora	0	0.945927161523492	0.958437586877954	0.712121212121212
ambrosiozyma oregonensis	0.413391407	0.865634365634366	0.908757908757909	0.771395271395271
ambrosiozyma philentoma	0.631136889	0.935293202675377	0.933271115258983	0.90231762326956
ambrosiozyma pseudovanderkliftii	0	0.841712204007286	0.896903460837887	0.54207650273224
ambrosiozyma vanderkliftii	NA	0.917981651376147	0.930275229357798	0.566605504587156
arxula adeninivorans	0.769422595	0.99612676056338	0.950528169014085	0.477640845070423
ascoidea asiatica	NA	0.868593955321945	0.87209811651336	0.937071105270842
ascoidea rubescens	NA	0.731180908931391	0.271275662396912	0.103351465169328
ashbya aceri	NA	0.878548506541595	0.527524068131326	0.244877807948655
babjeviella inositovora	1.083011408	0.96281370214325	0.64828723209379	0.453196556145814
barnettozyma californica	0.624399523	0.93029688364374	0.855430573483312	0.549695740365112
barnettozyma hawaiiensis	0.468311588	0.943003144654088	0.825275157232704	0.309748427672956
barnettozyma populi	0.941113457	0.958774583963691	0.859682299546142	0.367624810892587
barnettozyma pratensis	0.163506687	0.987746891002195	0.846561814191661	0.515362106803219
barnettozyma salicaria	2.036405683	0.950257289879931	0.580712788259958	0.0806174957118353
blastobotrys americana	NA	0.929605866177818	0.770119156736939	0.0973418881759853
blastobotrys mokoenaii	0	0.982820821164748	0.980415736127813	0.741453358529462
blastobotrys muscicola	0	0.950882212684788	0.538229216340804	0.041169925290097
blastobotrys nivea	NA	0.968877072255239	0.545980606818893	0.716609321238661
blastobotrys peoriensis	0.482574135	0.969936177359758	0.86664427275781	0.16308364124958
blastobotrys proliferans	0	0.977163636363636	0.909090909090909	0.266909090909091
blastobotrys raffinofermentans	0.552371801	0.995472837022133	0.942320590207914	0.398725687458082
blastobotrys serpentis	NA	0.969379532634972	0.898468976631749	0.384045124899275
botryozyma nematodophila	NA	NA	NA	NA
brettanomyces anomalus	NA	0.757682953791731	0.787751492372319	0.555162502763652
brettanomyces custersianus	NA	0.573849372384937	0.427405857740586	0.193723849372385
candida albicans	NA	0.928150331613854	0.767686072218128	0.705969049373618
candida arabinofermentans	0.240637933	0.966292134831461	0.934869548657399	0.859645781755856
candida ascalaphidarum	0.491215432	0.895338983050847	0.812923728813559	0.385805084745763
candida athensensis	0	0.963529941467807	0.714092751013057	0.518685276902296
candida auris	NA	0.989034616211567	0.873145560094603	0.553644377553214
candida azyma	0.351084261	0.948129405385867	0.854870775347913	0.731068136634737
candida blattae	0.150390792	0.941481197237145	0.839984650805833	0.543169608595549
candida boidinii	0.507395715	0.947750619907899	0.979277364505845	0.767268862911796
candida canberraensis	0.18226014	0.914231856738926	0.730442978322337	0.613383600377003
candida carpophila	0.521456343	0.967551622418879	0.824694479561736	0.808048883270122
candida corydali	0	0.93112295243734	0.76850207223209	0.758634300374975
candida cretensis	0.217685599	0.95339412360689	0.862208713272543	0.6790273556231
candida dubliniensis	0	0.965824665676077	0.852685204839737	0.82678836765018
candida emberorum	NA	0.966191127613836	0.748290013679891	0.467070549149892
candida fragi	NA	0.728370619679271	0.603048901207682	0.575727578697288
candida freyschussii	0.15399635	0.964495917979875	0.834061135371179	0.631668881716347
candida fructus	0	0.949579831932773	0.877941176470588	0.632142857142857
candida gatunensis	NA	0.934320266889074	0.686822351959967	0.0811092577147623
candida glabrata	0	0.944501541623844	NA	0.224460431654676
candida golubevii	0	0.963535700649103	0.253150057273769	0.33352424589538
candida gorgasii	0.407356458	0.985479917028097	0.902130869319253	0.754478597020554
candida gotoi	0.134529532	0.971771217712177	0.78339483394834	0.799446494464945
candida hawaiiana	0.372397298	0.93574889403834	0.622498420054771	0.702759637665894
candida heveicola	0	0.952619955832162	0.767115037141136	0.601686408351737
candida hispaniensis	0	0.783048828900357	0.793370385073442	0.146486701071854
candida homilentoma	0.3715146	0.965826651393662	0.882397861779305	0.761168384879725
candida incommunis	0.219902048	0.958404235205143	0.792966534316506	0.607676309321233
candida intermedia	0.395809496	0.947169096761977	0.81026320772581	0.684150729028593
candida kruisii	0.210634729	0.938546458141674	0.877460901563937	0.663661453541858
candida montana	0	0.997672336615936	0.856759176365264	0.391942703670546
