all_taxa	xyl1	xyl2	xyl3	tkl1	tal1	PU.	Growth.Rate	phylo_order
babjeviella inositovora	0.962447334676681	NA	0.780443911217756	0.965606878624275	0.963912804542957	35043	1.083011408	1
millerozyma acaciae	NA	0.879897238278741	NA	0.96103618068936	NA	34634	0.070625666	2
debaryomyces maramus	0.956605966679582	0.865555986051918	0.881025838796761	0.965098341689163	0.983727237504843	41713	0.16481472	3
debaryomyces nepalensis	0.955805544395339	0.741462434712736	0.71494576134994	0.971876255524307	0.992543021032505	41693	0.580325312	4
debaryomyces hansenii	0.965276350934868	0.835863377609108	0.637571157495256	0.957057735771523	0.986233819601397	34659	0.531917629	5
debaryomyces prosopidis	0.958215297450425	0.918012422360248	0.851983002832861	0.974445430346051	0.98846495119787	41678	0.370437394	6
debaryomyces fabryi	0.951998470070759	0.85140562248996	0.686149220071415	0.934410825032889	0.98546567221266	41829	0.41348061	7
debaryomyces subglobosus	0.956605966679582	0.865555986051918	0.738086013173189	0.978070175438597	0.991065627030539	41824	0.240921448	8
priceomyces carsonii	0.941799754299754	0.949324324324324	0.583538083538084	0.831695331695332	0.983568796068796	35296	0.306334006	9
priceomyces medius	0.955805544395339	0.837246005129217	0.71494576134994	0.971876255524307	0.99136199276818	34606	0.95994681	10
priceomyces castillae	0.969023034154091	0.847299444003177	0.565329626687847	0.970413026211279	0.986233819601397	35297	0.339677301	11
priceomyces haplophilus	NA	0.615206402695872	NA	0.917778836987607	NA	35660	0.234133802	12
scheffersomyces lignosus	NA	0.956529329608939	NA	0.959846368715084	NA	37855	0.481634779	13
scheffersomyces stipitis	0.992562422525235	0.945634850363025	0.831591995749956	0.952696728558798	0.996812466796529	34616	0.712437802	14
spathaspora passalidarum	0.977026522226373	0.861233146492956	0.931639895405304	0.980014942099365	0.992715726559582	34617	0.58107421	15
spathaspora girioi	NA	NA	NA	NA	NA	NA	NA	16
spathaspora arborariae	0.997138184791496	0.859455481972038	0.877964022894522	0.985895339329518	0.991618969746525	41742	0.461539829	17
spathaspora gorwiae	NA	NA	NA	NA	NA	NA	NA	18
spathaspora hagerdaliae	NA	NA	NA	NA	NA	NA	NA	19
candida sojae	NA	0.850051440329218	0.837191358024691	0.97608024691358	NA	34996	0.234378605	20
candida tropicalis	0.977026522226373	0.908137583892617	0.931639895405304	0.980014942099365	0.994546979865772	34997	0.173575505	21
candida albicans	NA	NA	NA	NA	NA	NA	NA	22
candida dubliniensis	0.959032052642751	0.852685204839737	0.82233071534706	0.962003820844831	0.969645510507323	34991	0	23
candida corydali	0.932109729623051	0.769686204854944	0.762186698243537	0.952042628774423	0.907242944543122	34990	0	24
lodderomyces elongisporus	NA	0.938481197517342	0.821467688937568	0.972643727292156	0.994229536225689	35005	0	25
candida orthopsilosis	0.842396109637489	0.894341290893015	0.814544650751547	0.952696728558798	0.996463306808134	35717	0.164639414	26
candida parapsilosis	0.895420915816837	0.900219956008798	0.780443911217756	0.965606878624275	0.949410117976405	34995	0.618039941	27
aciculoconidium aculeatum	0.969235751295337	0.758934372969461	0.498704663212435	0.978070175438597	0.99449481865285	34654	0	28
kodamaea laetipori	0.978653530377668	0.918012422360248	0.661756876663709	0.974445430346051	0.991060025542784	34665	0.364211383	29
candida restingae	0.971148957803762	0.91268429079817	0.599723811402644	0.953442493588479	0.991865785460092	34648	0.301896493	30
kodamaea ohmeri	0.992562422525235	0.945634850363025	0.831591995749956	0.970413026211279	0.996812466796529	35677	0	31
suhomyces pyralidae	0.955258126195029	0.736651947009233	0.866118024889603	0.97751906864713	0.995784825371337	35011	0.379483897	32
suhomyces tanzawaensis	0.977594339622642	0.904569348968864	0.819045693489689	0.955385220125786	0.989779874213837	35010	0	33
suhomyces emberorum	NA	NA	NA	NA	NA	NA	NA	34
