all_taxa	xyl1	xyl2	xyl3	tkl1	tal1	xyl1.2	xyl2.2	xyl3.2	tal1.2	tkl1.2
candida tropicalis	0.966442953020134	0.908137583892617	0.863674496644295	0.973364093959732	0.994546979865772	0.966862416107383	NA	NA	NA	NA
spathaspora gorwiae	0.991231647634584	0.988988580750408	0.930057096247961	0.974918433931484	0.996329526916803	NA	0.987969004893964	NA	NA	NA
spathaspora hagerdaliae	0.984230769230769	0.960961538461538	0.930961538461539	0.989038461538462	0.991923076923077	NA	NA	NA	NA	NA
spathaspora arborariae	0.997138184791496	0.560302534750613	0.877964022894522	0.985895339329518	0.991618969746525	NA	0.948282910874898	NA	NA	NA
spathaspora girioi	0.995225780783768	0.957827730256614	0.925800676347722	0.985080564949274	0.995225780783768	NA	NA	NA	NA	NA
spathaspora passalidarum	0.977026522226373	0.528576765035487	0.931639895405304	0.980014942099365	0.992715726559582	NA	0.970676129996265	NA	NA	NA
hyphopichia burtonii	0.885725904839366	0.823098820658804	0.839975599837332	0.954656364375763	0.980073200488003	NA	NA	NA	0.974176494509963	NA
candida gotoi	0.971771217712177	0.782656826568266	0.799815498154982	0.965129151291513	0.99409594095941	NA	NA	0.812546125461255	0.614206642066421	NA
hyphopichia heimii	0.97682119205298	0.859455481972038	0.826158940397351	0.772442972774099	0.987674760853569	NA	NA	0.770787343635026	0.965783664459161	NA
candida rhagii	0.971804153172033	0.835016193560678	0.797866260240046	0.957896742236616	0.9906648885502	NA	NA	0.728329205562964	0.684701847971042	NA
lipomyces mesembrius	0.967732161793668	0.861233146492956	0.464929556127859	0.922587486744433	0.991516436903499	NA	NA	NA	NA	NA
candida athensensis	0.963079693831607	NA	0.508104457451598	0.881809995497524	0.988743809095002	NA	NA	NA	NA	NA
meyerozyma guilliermondii	0.972252807751597	0.899801805769654	0.698524554062982	0.655582470821405	0.986787051310284	0.715260955736622	NA	NA	0.973353886809073	NA
meyerozyma caribbica	0.95407315045719	0.809019118869493	0.75665004156276	0.956774729842061	0.983167082294264	0.310681629260183	NA	NA	0.72236076475478	NA
candida oregonensis	0.986419013381266	0.804873177551428	0.348911523866587	0.824246055522269	0.996405032953865	NA	NA	0.54723387257839	0.957659277012183	NA
candida blattae	0.663468917881811	0.841903300076746	0.510360706062932	0.51151189562548	0.90752110514198	0.941481197237145	NA	NA	0.97831926323868	NA
tortispora starmeri	0.867012089810017	0.186312607944732	0.235319516407599	0.474309153713299	0.905440414507772	NA	NA	NA	NA	NA
clavispora lusitaniae	0.928779395296753	NA	0.518701007838746	0.9505039193729	0.958790593505039	NA	NA	NA	NA	NA
candida fructus	0.94936974789916	NA	0.639915966386555	0.958613445378151	0.98781512605042	NA	NA	NA	NA	NA
candida golubevii	0.96315387552501	0.244368079419626	0.29610538373425	0.970981290568919	0.928789614356625	NA	NA	NA	NA	NA
metschnikowia bicuspidata	0.862914862914863	0.789115646258503	0.505875077303649	0.950113378684807	0.978148835291692	NA	NA	0.767470624613482	NA	NA
candida wancherniae	0.972605741836511	0.706771860618014	0.701293008985317	0.971729125575279	0.83212798597414	NA	NA	NA	NA	NA
candida hawaiiana	0.93574889403834	0.619970507689067	0.651780071624184	0.955761533600169	0.918264166842216	NA	NA	NA	NA	NA
tortispora caseinolytica	0.969570267131243	0.65993031358885	0.31335656213705	0.636933797909408	0.977700348432056	NA	NA	NA	NA	NA
metschnikowia bowlesiae	0.957397812320092	0.945116100556515	0.479178660525811	0.977931299174822	0.931682978315103	0.95701400882748	NA	NA	NA	NA
metschnikowia dekortum	0.947516025641026	0.885817307692308	0.759214743589744	0.975761217948718	0.902644230769231	NA	NA	NA	NA	NA
metschnikowia kipukae	0.953488372093023	0.882475083056478	0.767234219269103	0.971760797342193	0.977782392026578	NA	NA	NA	NA	NA
metschnikowia proteae	0.921371381646479	0.849106959556559	0.649558612194621	0.966536645452679	0.901252309587354	NA	NA	NA	NA	NA
metschnikowia drakensbergensis	0.923287095418243	0.863598150483396	0.655527532576713	0.973308112652375	0.900378310214376	NA	NA	NA	NA	NA
metschnikowia hibisci	0.966445733222867	0.948218724109362	0.784797017398509	0.972659486329743	0.977009113504557	NA	NA	NA	NA	NA
metschnikowia shivogae	0.980839612486545	0.798708288482239	0.567707212055974	0.966200215285253	0.977825618945102	NA	NA	NA	NA	NA
tortispora ganteri	0.853944562899787	0.0729211087420043	0.54861407249467	0.852025586353945	0.981876332622601	NA	NA	NA	NA	NA
metschnikowia ipomoeae	0.969219494320264	0.95071454745328	0.790582631000366	0.961157933308904	0.952729937706119	NA	NA	NA	NA	NA
metschnikowia borealis	0.977917981072555	0.923589204346302	0.731335436382755	0.957413249211357	0.938310550297932	NA	NA	0.96950578338591	NA	NA
metschnikowia continentalis	0.966804979253112	0.951244813278008	0.705912863070539	0.947786998616874	0.935338865836791	NA	NA	NA	NA	NA
metschnikowia santaceciliae	0.973277074542897	0.939345991561181	0.803621659634318	0.970815752461322	0.959388185654008	NA	NA	NA	NA	NA
