all_taxa	xyl1	xyl2	xyl3
peterozyma xylosa	1	1	1
barnettozyma californica	1	1	1
ogataea pini	1	1	1
lipomyces starkeyi	1	1	1
zygosaccharomyces rouxii	1	1	1
kazachstania yakushimaensis	1	0	1
metschnikowia kamakouana	1	1	1
candida schatavii	1	1	1
ogataea populiabae	1	1	1
barnettozyma hawaiiensis	1	1	1
martiniozyma abiesophila	1	1	1
metschnikowia matae maris	1	1	1
metschnikowia mauinuiana	1	1	1
lachancea cidri	1	1	1
sporopachydermia lactativora	1	1	1
ambrosiozyma vanderkliftii	1	1	1
kazachstania bromeliacearum	1	0	1
cyberlindnera jadinii	1	1	1
cyberlindnera saturnus	1	1	1
ogataea methanolica	1	1	1
hyphopichia heimii	1	1	1
metschnikowia similis	1	1	1
blastobotrys americana	1	1	1
candida freyschussii	1	1	1
metschnikowia drakensbergensis	1	1	1
kluyveromyces dobzhanskii	1	1	1
kluyveromyces lactis	1	1	1
nakaseomyces castellii	1	0	1
debaryomyces hansenii	1	1	1
spathaspora passalidarum	1	1	1
lachancea meyersii	1	1	1
wickerhamomyces hampshirensis	1	1	1
cyberlindnera fabianii	1	1	1
meyerozyma caribbica	1	1	1
metschnikowia bowlesiae	1	1	1
saccharomycopsis malanga	1	1	1
zygosaccharomyces bisporus	1	1	1
candida gotoi	1	1	1
ambrosiozyma maleeae	1	1	1
ogataea naganishii	1	1	1
saturnispora silvae	1	1	0
barnettozyma populi	1	1	1
starmera amethionina	1	1	1
tetrapisispora namnaonensis	1	0	0
lachancea thermotolerans	1	1	1
candida fructus	1	1	1
kazachstania transvaalensis	1	0	1
saccharomycopsis capsularis	1	1	1
kazachstania kunashirensis	1	0	1
dekkera bruxellensis	1	0	0
arxula adeninivorans	1	1	1
kazachstania rosinii	1	1	1
clavispora lusitaniae	1	1	1
ambrosiozyma philentoma	1	1	1
metschnikowia cerradonensis	1	1	1
lachancea quebecensis	1	1	1
kazachstania naganishii	1	0	1
alloascoidea hylecoeti	1	1	1
ogataea parapolymorpha	1	1	1
yamadazyma philogaea	1	1	1
cephaloascus fragrans	1	1	1
lachancea waltii	1	1	1
ambrosiozyma ambrosiae	1	1	1
candida intermedia	1	1	1
cyberlindnera petersonii	1	1	1
cyberlindnera mrakii	1	1	1
kazachstania taianensis	1	0	1
ambrosiozyma oregonensis	1	1	1
citeromyces siamensis	1	1	1
komagataella populi	1	1	1
phaffomyces opuntiae	1	1	1
cyberlindnera suaveolens	1	1	1
candida tropicalis	1	1	1
naumovozyma castellii	1	1	1
kazachstania martiniae	1	0	1
candida ascalaphidarum	1	1	1
candida orba	1	1	1
lachancea fermentati	1	1	1
zygotorulaspora florentina	1	1	1
kodamaea laetipori	1	1	1
candida boidinii	1	1	1
spathaspora gorwiae	1	1	1
tetrapisispora blattae	1	0	0
phaffomyces thermotolerans	1	1	1
metschnikowia shivogae	1	1	1
kazachstania spencerorum	1	1	1
kuraishia ogatae	1	1	1
diddensiella caesifluorescens	1	1	1
ogataea zsoltii	1	1	1
phaffomyces antillensis	1	1	1
pichia membranifaciens	1	1	1
saccharomyces cerevisiae	1	1	1
blastobotrys nivea	1	1	1
candida corydali	1	1	1
debaryomyces prosopidis	1	1	1
candida athensensis	1	1	1
wickerhamomyces alni	1	1	1
candida rhagii	1	1	1
kazachstania humatica	1	0	1
babjeviella inositovora	1	1	1
middelhovenomyces tepae	1	1	1
candida gorgasii	1	1	1
wickerhamia fluorescens	1	1	1
yarrowia bubula	1	0	1
ambrosiozyma kashinagacola	1	1	1
candida mycetangii	1	1	1
candida emberorum	1	1	1
ogataea trehalophila	1	1	1
peterozyma toletana	1	1	1
torulaspora microellipsoides	1	1	1
saturnispora dispora	1	1	1
saturnispora serradocipensis	1	1	1
cyberlindnera misumaiensis	1	1	1
barnettozyma pratensis	1	1	1
geotrichum candidum	1	1	1
kazachstania aerobia	1	0	1
kazachstania viticola	1	0	1
metschnikowia hibisci	1	1	1
lipomyces kononenkoae	1	1	1
ambrosiozyma pseudovanderkliftii	1	1	1
ogataea glucozyma	1	1	1
lachancea kluyveri	1	1	1
nakazawaea peltata	1	1	1
lipomyces suomiensis	1	1	1
metschnikowia matae	1	1	1
sporopachydermia quercuum	1	1	1
ascoidea rubescens	1	1	1
cyberlindnera americana	1	1	1
lachancea nothofagi	1	1	1
candida carpophila	1	1	1
kazachstania turicensis	1	1	1
blastobotrys proliferans	1	1	1
metschnikowia borealis	1	1	1
kazachstania unispora	1	0	1
saccharomyces kudriavzevii	1	1	1
ogataea trehaloabstinens	1	1	1
kluyveromyces aestuarii	1	1	1
eremothecium gossypii	1	1	1
hyphopichia burtonii	1	1	1
nakaseomyces bracarensis	1	0	1
candida blattae	1	1	1
nakaseomyces nivariensis	1	0	1
yarrowia keelungensis	1	1	1
lachancea fantastica	1	1	1
candida orthopsilosis	1	1	1
debaryomyces fabryi	1	1	1
hanseniaspora vinae	1	0	1
