all_taxa	Growth.Rate
aciculoconidium aculeatum	0
ambrosiozyma ambrosiae	0
ambrosiozyma kashinagacola	0
ambrosiozyma maleeae	0.114615977
ambrosiozyma monospora	0
ambrosiozyma oregonensis	0.413391407
ambrosiozyma philentoma	0.631136889
ambrosiozyma pseudovanderkliftii	0
babjeviella inositovora	1.083011408
barnettozyma californica	0.624399523
barnettozyma hawaiiensis	0.468311588
barnettozyma populi	0.941113457
barnettozyma pratensis	0.163506687
barnettozyma salicaria	2.036405683
blastobotrys adeninivorans	0.769422595
blastobotrys mokoenaii	0
blastobotrys muscicola	0
blastobotrys peoriensis	0.482574135
blastobotrys proliferans	0
blastobotrys raffinofermentans	0.552371801
candida arabinofermentans	0.240637933
candida ascalaphidarum	0.491215432
candida athensensis	0
candida azyma	0.351084261
candida blattae	0.150390792
candida boidinii	0.507395715
candida bracarensis	0
candida carpophila	0.521456343
candida corydali	0
candida dubliniensis	0
candida freyschussii	0.15399635
candida fructus	0
candida glabrata	0
candida golubevii	0
candida gorgasii	0.407356458
candida gotoi	0.134529532
candida hawaiiana	0.372397298
candida heveicola	0
candida hispaniensis	0
candida incommunis	0.219902048
candida intermedia	0.395809496
candida montana	0
candida mycetangii	0.227010724
candida nivariensis	0
candida orba	0
candida oregonensis	0.800973756
candida orthopsilosis	0.164639414
candida parapsilosis	0.618039941
candida restingae	0.301896493
candida rhagii	0.384751819
candida schatavii	0
candida sojae	0.234378605
candida sorboxylosa	0.159208062
candida succiphila	0.393804245
candida tammaniensis	0.56179672
candida tropicalis	0.173575505
candida wancherniae	0
cephaloascus albidus	0.361234779
cephaloascus fragrans	0
citeromyces hawaiiensis	0
citeromyces matritensis	0
citeromyces siamensis	0
clavispora lusitaniae	0.20085219
cyberlindnera americana	0.695865394
cyberlindnera fabianii	0.211013736
cyberlindnera jadinii	0.15288162
cyberlindnera maclurae	0
cyberlindnera misumaiensis	0.330916567
cyberlindnera mrakii	0.173722652
cyberlindnera petersonii	0.222794836
