growth_data_name	sequences_name
arxula adeninivorans	blastobotrys adeninivorans
hyphopichia homilentoma	candida homilentoma
suhomyces pyralidae	candida pyralidae
teunomyces cretensis	candida cretensis
teunomyces kruisii	candida kruisii
yamadazyma tenuis	candida tenuis
candida bracarensis	nakaseomyces bracarensis
candida nivariensis	nakaseomyces nivariensis
groenewaldozyma salmanticensis	candida salmanticensis
kazachstania aerobia	aerobia yhab164
kazachstania bromeliacearum	bromeliacearum yhab136
kazachstania intestinalis	intestinalis yhab148
kazachstania kunashirensis	kunashirensis yhab160
kazachstania martiniae	martiniae yhab132
kazachstania siamensis	siamensis yhab143
kazachstania solicola	solicola yhab159
kazachstania spencerorum	spencerorum yhab155
kazachstania transvaalensis	transvaalensis yhab154
kazachstania unispora	unispora yhab133
metschnikowia bicuspidata_var._bicuspidata	metschnikowia bicuspidata
suhomyces canberraensis	candida canberraensis
suhomyces tanzawaensis	candida tanzawaensis
