gene_id	tAI	nc	gc3
genemark-cer-_s456-processed-gene-0.108-mRNA-1	0.297727132796281	46.2286	0.684
genemark-cer-_s364-processed-gene-0.17-mRNA-1	0.219779382519134	56.1957	0.541
snap_masked-cer-_s473-processed-gene-0.9-mRNA-1	0.222226068070093	53.1826	0.664
genemark-cer-_s83-processed-gene-0.47-mRNA-1	0.199030579912608	54.1902	0.538
snap_masked-cer-_s48-processed-gene-1.73-mRNA-1	0.218106362545747	56.3366	0.557
genemark-cer-_s495-processed-gene-0.11-mRNA-1	0.213720519951129	51.8651	0.619
genemark-cer-_s682-processed-gene-0.26-mRNA-1	0.290372930161429	47.7015	0.743
augustus_masked-cer-_s413-processed-gene-0.9-mRNA-1	0.217985505119118	55.7213	0.569
augustus_masked-cer-_s453-processed-gene-0.7-mRNA-1	0.207969691995181	55.4184	0.453
genemark-cer-_s656-processed-gene-0.0-mRNA-1	0.224292991885101	57.7025	0.561
genemark-cer-_s776-processed-gene-0.83-mRNA-1	0.2300635262484	58.7329	0.461
genemark-cer-_s47-processed-gene-0.90-mRNA-1	0.231762685149684	56.2304	0.518
snap_masked-cer-_s590-processed-gene-0.8-mRNA-1	0.235730000662765	55.1801	0.591
genemark-cer-_s58-processed-gene-0.2-mRNA-1	0.225658857425569	55.2284	0.495
genemark-cer-_s218-processed-gene-1.100-mRNA-1	0.262687139978358	55.8340	0.461
genemark-cer-_s67-processed-gene-3.106-mRNA-1	0.216654369300726	55.1334	0.537
genemark-cer-_s49-processed-gene-2.117-mRNA-1	0.291892011397151	49.3969	0.507
snap_masked-cer-_s435-processed-gene-1.162-mRNA-1	0.249903998360651	53.1384	0.547
genemark-cer-_s43-processed-gene-0.13-mRNA-1	0.285503894187513	46.9602	0.656
genemark-cer-_s173-processed-gene-4.71-mRNA-1	0.29045087905914	48.0543	0.528
genemark-cer-_s48-processed-gene-1.125-mRNA-1	0.238084456918948	54.9483	0.555
snap_masked-cer-_s172-processed-gene-0.79-mRNA-1	0.246164144804331	53.9673	0.597
genemark-cer-_s318-processed-gene-0.36-mRNA-1	0.350459857689766	45.3639	0.619
genemark-cer-_s301-processed-gene-0.92-mRNA-1	0.228688893518131	55.5205	0.544
genemark-cer-_s16-processed-gene-3.196-mRNA-1	0.214145611740943	57.7232	0.476
augustus_masked-cer-_s652-processed-gene-0.0-mRNA-1	0.236738130673184	57.2859	0.455
genemark-cer-_s16-processed-gene-2.113-mRNA-1	0.210939440163043	57.0085	0.496
snap_masked-cer-_s94-processed-gene-0.27-mRNA-1	0.255810659001872	54.0612	0.622
genemark-cer-_s348-processed-gene-0.0-mRNA-1	0.215522788629653	56.5852	0.517
genemark-cer-_s765-processed-gene-0.4-mRNA-1	0.238638509319112	56.9065	0.533
genemark-cer-_s226-processed-gene-0.6-mRNA-1	0.225068852226185	51.3185	0.574
genemark-cer-_s238-processed-gene-0.13-mRNA-1	0.252119135061153	54.9724	0.607
snap_masked-cer-_s776-processed-gene-1.61-mRNA-1	0.283805256090062	50.9011	0.523
snap_masked-cer-_s366-processed-gene-0.23-mRNA-1	0.215172116303067	52.9048	0.539
