gene_id	tAI	nc	gc3
augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-9.18-mRNA-1	0.481949564040725	55.0083	0.423
augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-5.111-mRNA-1	0.571049394329134	44.1061	0.282
maker-NODE_3_length_1617016_cov_26.7539_ID_6023-snap-gene-13.111-mRNA-1	0.382695741984448	53.9312	0.316
snap_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-10.142-mRNA-1	0.373547192421377	52.3985	0.290
augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-4.31-mRNA-1	0.428852082112164	55.6573	0.392
genemark-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-4.162-mRNA-1	0.442227156305585	57.0784	0.451
augustus_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-2.254-mRNA-1	0.359919788541206	40.2032	0.886
augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-0.84-mRNA-1	0.346981090874894	52.8951	0.358
genemark-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-13.50-mRNA-1	0.414108489689513	51.4670	0.264
genemark-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-6.56-mRNA-1	0.392548076587114	56.3854	0.387
augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-10.128-mRNA-1	0.450156697776729	55.1706	0.401
augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-12.64-mRNA-1	0.495045121521794	43.7580	0.313
augustus_masked-NODE_12_length_69897_cov_27.2079_ID_2240-processed-gene-0.25-mRNA-1	0.507606169906283	52.0803	0.281
augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-3.137-mRNA-1	0.323348552590416	52.3746	0.262
augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-11.126-mRNA-1	0.50693993214172	50.6849	0.376
augustus_masked-NODE_7_length_764832_cov_27.519_ID_1967-processed-gene-0.40-mRNA-1	0.430504921137701	51.7122	0.268
augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-8.134-mRNA-1	0.368886312428644	53.1988	0.299
snap_masked-NODE_8_length_399332_cov_32.6513_ID_1889-processed-gene-2.159-mRNA-1	0.329829117162177	58.0269	0.538
augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-1.44-mRNA-1	0.411242059387662	57.1445	0.418
maker-NODE_8_length_399332_cov_32.6513_ID_1889-augustus-gene-1.111-mRNA-1	0.339353245361035	52.5462	0.269
augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-9.288-mRNA-1	0.397117424491752	53.3678	0.308
augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-6.6-mRNA-1	0.37651915454952	54.7112	0.328
augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-0.116-mRNA-1	0.430877210127706	45.5936	0.203
augustus_masked-NODE_13_length_28926_cov_54.0482_ID_2378-processed-gene-0.7-mRNA-1	0.364883764866163	51.7612	0.245
augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-9.260-mRNA-1	0.534782248617625	45.8914	0.285
augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-1.110-mRNA-1	0.370109634928378	53.0812	0.280
augustus_masked-NODE_7_length_764832_cov_27.519_ID_1967-processed-gene-5.10-mRNA-1	0.443238774239865	56.7912	0.398
