gene_id	tAI	nc	gc3
augustus_masked-NODE_85_length_38187_cov_63.09_ID_42102-processed-gene-0.7-mRNA-1	0.49132348389196	47.6909	0.797
snap_masked-NODE_26_length_131444_cov_65.2876_ID_30945-processed-gene-0.149-mRNA-1	0.446835859919255	54.3856	0.606
maker-NODE_16_length_149625_cov_65.2659_ID_9360-snap-gene-0.168-mRNA-1	0.462901088555319	57.5890	0.522
augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-1.17-mRNA-1	0.457966431630339	52.6964	0.685
snap_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.207-mRNA-1	0.448664267525617	56.4337	0.568
maker-NODE_44_length_84336_cov_59.026_ID_9961-augustus-gene-0.152-mRNA-1	0.490507793454877	55.5135	0.536
augustus_masked-NODE_118_length_14090_cov_60.7243_ID_38195-processed-gene-0.0-mRNA-1	0.465056284722762	54.0460	0.590
augustus_masked-NODE_77_length_43915_cov_74.7763_ID_14787-processed-gene-0.29-mRNA-1	0.459138010842848	53.9914	0.583
augustus_masked-NODE_18_length_145332_cov_59.0896_ID_27415-processed-gene-0.61-mRNA-1	0.450098785306096	56.6349	0.501
augustus_masked-NODE_22_length_133648_cov_62.7107_ID_27333-processed-gene-0.205-mRNA-1	0.470979929105701	56.2206	0.502
snap_masked-NODE_67_length_52534_cov_63.6435_ID_11134-processed-gene-0.72-mRNA-1	0.428705058902506	57.4475	0.418
augustus_masked-NODE_28_length_117157_cov_73.4509_ID_37618-processed-gene-0.2-mRNA-1	0.430799487916948	57.4605	0.502
augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.45-mRNA-1	0.441376274154107	56.0169	0.448
augustus_masked-NODE_51_length_72690_cov_65.5169_ID_40178-processed-gene-0.126-mRNA-1	0.439916585329856	56.8346	0.526
snap_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.50-mRNA-1	0.468998877764369	56.0531	0.567
