gene_id	tAI	nc	gc3
snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.164-mRNA-1	0.461277470390449	54.6429	0.503
snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-4.12-mRNA-1	0.458610981606608	54.7861	0.427
snap_masked-NODE_14_length_343773_cov_16.2165_ID_3838-processed-gene-2.150-mRNA-1	0.422209493466863	54.8194	0.399
snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-0.62-mRNA-1	0.441658811223917	56.1877	0.492
snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.72-mRNA-1	0.441021486763574	54.5221	0.489
snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-4.85-mRNA-1	0.445318509583849	53.6718	0.463
snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-0.20-mRNA-1	0.398669894743689	57.5026	0.453
snap_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-1.64-mRNA-1	0.481552092494473	52.9253	0.491
augustus_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-0.142-mRNA-1	0.449694661488166	57.3295	0.485
snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.116-mRNA-1	0.521973210887985	53.0084	0.435
augustus_masked-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.113-mRNA-1	0.42481981211328	57.8513	0.401
snap_masked-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.55-mRNA-1	0.405053081812208	56.2044	0.483
snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-2.80-mRNA-1	0.440564519178328	55.8469	0.399
snap_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-1.96-mRNA-1	0.43391342442211	55.9256	0.499
augustus_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-4.182-mRNA-1	0.547326289392491	44.0404	0.523
snap_masked-NODE_46_length_29026_cov_14.4637_ID_8943-processed-gene-0.23-mRNA-1	0.432041691078918	54.8393	0.443
snap_masked-NODE_19_length_174291_cov_14.3692_ID_15306-processed-gene-0.140-mRNA-1	0.441303949992225	56.3250	0.442
augustus_masked-NODE_32_length_110669_cov_13.5049_ID_6289-processed-gene-0.45-mRNA-1	0.460966604707365	56.8762	0.523
snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-1.45-mRNA-1	0.444185419967414	53.4395	0.473
snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-1.42-mRNA-1	0.459715831414046	55.2992	0.467
augustus_masked-NODE_35_length_80817_cov_14.4653_ID_5894-processed-gene-0.14-mRNA-1	0.374010273265584	55.8335	0.497
snap_masked-NODE_43_length_49058_cov_13.5531_ID_8423-processed-gene-0.62-mRNA-1	0.434637428659715	56.6707	0.432
snap_masked-NODE_9_length_416299_cov_13.227_ID_6419-processed-gene-2.54-mRNA-1	0.421521449992047	58.7897	0.473
augustus_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.227-mRNA-1	0.481595433313402	50.8274	0.503
snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.97-mRNA-1	0.485987203569987	49.2565	0.450
snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.73-mRNA-1	0.432836468990659	58.3418	0.426
snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.140-mRNA-1	0.375585499336335	56.5482	0.468
snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.58-mRNA-1	0.452832942904696	54.5261	0.432
snap_masked-NODE_24_length_130896_cov_16.6656_ID_9097-processed-gene-0.99-mRNA-1	0.497579838379201	51.3735	0.489
snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-2.60-mRNA-1	0.432014099059833	57.5787	0.497
snap_masked-NODE_27_length_122749_cov_14.1654_ID_4933-processed-gene-0.141-mRNA-1	0.501308589096232	52.2940	0.483
snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-0.77-mRNA-1	0.427003576508157	56.9477	0.416
genemark-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-0.116-mRNA-1	0.449278817848895	55.2884	0.428
snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-2.86-mRNA-1	0.396095618850366	56.3920	0.513
genemark-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-2.129-mRNA-1	0.439738349603539	56.0010	0.549
augustus_masked-NODE_9_length_416299_cov_13.227_ID_6419-processed-gene-3.71-mRNA-1	0.403453489655188	57.5649	0.427
snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-1.94-mRNA-1	0.439610967217835	55.9892	0.447
snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-2.158-mRNA-1	0.517446482932003	49.4332	0.468
snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.101-mRNA-1	0.435276748168256	55.9275	0.419
