gene_id	tAI	nc	gc3
genemark-NC_012862.1-processed-gene-3.23-mRNA-1	0.463040722490856	43.2865	0.141
maker-NC_012866.1-snap-gene-3.4-mRNA-1	0.419784766305971	50.2990	0.213
genemark-NC_012860.1-processed-gene-3.39-mRNA-1	0.500272784823373	49.5011	0.250
genemark-NC_012862.1-processed-gene-9.73-mRNA-1	0.444667373656451	52.0878	0.325
genemark-NC_012865.1-processed-gene-0.44-mRNA-1	0.451759546070128	53.7750	0.442
genemark-NC_012862.1-processed-gene-11.52-mRNA-1	0.384564450061032	53.8432	0.308
genemark-NC_012862.1-processed-gene-13.54-mRNA-1	0.518092400762882	37.9905	0.047
genemark-NC_012863.1-processed-gene-1.37-mRNA-1	0.436773078661384	48.5529	0.266
genemark-NC_012861.1-processed-gene-6.97-mRNA-1	0.449361665552926	51.1708	0.294
genemark-NC_012860.1-processed-gene-26.57-mRNA-1	0.492358016025019	44.4544	0.081
genemark-NC_012862.1-processed-gene-10.56-mRNA-1	0.427749818119951	50.9899	0.317
genemark-NC_012865.1-processed-gene-3.43-mRNA-1	0.458261201952728	40.6978	0.060
genemark-NC_012863.1-processed-gene-4.52-mRNA-1	0.403768634410996	55.4826	0.370
genemark-NC_012866.1-processed-gene-8.64-mRNA-1	0.403125612730965	50.2746	0.252
snap_masked-NC_012862.1-processed-gene-17.227-mRNA-1	0.379987100318785	53.6491	0.476
genemark-NC_012865.1-processed-gene-1.84-mRNA-1	0.396061356567956	54.5062	0.318
genemark-NC_012860.1-processed-gene-1.40-mRNA-1	0.550259330100002	40.2864	0.034
genemark-NC_012863.1-processed-gene-4.63-mRNA-1	0.502060980073542	46.7901	0.218
genemark-NC_012866.1-processed-gene-3.49-mRNA-1	0.416947366687332	46.6578	0.170
genemark-NC_012867.1-processed-gene-15.58-mRNA-1	0.394192789657848	50.1825	0.253
augustus_masked-NC_012864.1-processed-gene-7.24-mRNA-1	0.459973110531644	50.8476	0.263
genemark-NC_012860.1-processed-gene-4.130-mRNA-1	0.511225074392722	41.7660	0.258
genemark-NC_012863.1-processed-gene-9.36-mRNA-1	0.366362415020892	51.0141	0.231
genemark-NC_012860.1-processed-gene-16.70-mRNA-1	0.466395184141036	39.6578	0.069
