gene_id	tAI	nc	gc3
genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-9.113-mRNA-1	0.335189210844694	50.4084	0.396
augustus_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-3.77-mRNA-1	0.286908880779288	57.8292	0.401
genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-11.24-mRNA-1	0.306874170189033	56.8465	0.457
genemark-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-0.104-mRNA-1	0.307941893170631	51.2550	0.327
genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-14.122-mRNA-1	0.289169730202704	55.1620	0.350
snap_masked-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-2.20-mRNA-1	0.274392046063687	52.8176	0.357
genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-9.176-mRNA-1	0.286103448925441	53.2963	0.268
genemark-NODE_10_length_457428_cov_88.5336_ID_19-processed-gene-3.48-mRNA-1	0.30821249276358	53.8439	0.504
snap_masked-NODE_10_length_457428_cov_88.5336_ID_19-processed-gene-3.221-mRNA-1	0.287342520245562	53.9942	0.366
genemark-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-4.152-mRNA-1	0.284995675593244	53.7063	0.399
augustus_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-1.70-mRNA-1	0.293953231677838	56.0123	0.352
genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-2.30-mRNA-1	0.28766800332724	54.3941	0.408
genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-15.111-mRNA-1	0.300535431352647	53.0378	0.361
maker-NODE_1_length_2307085_cov_87.2863_ID_1-snap-gene-21.161-mRNA-1	0.322641471723106	51.8272	0.370
snap_masked-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-9.76-mRNA-1	0.295435250144711	54.7429	0.369
genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-7.57-mRNA-1	0.328356659514458	54.4001	0.389
genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-7.49-mRNA-1	0.298814191583761	52.5844	0.312
genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-7.104-mRNA-1	0.302132750839196	53.8507	0.369
genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-5.125-mRNA-1	0.310045719003051	53.0950	0.319
augustus_masked-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-19.74-mRNA-1	0.284574472326736	55.0750	0.391
augustus_masked-NODE_8_length_489089_cov_85.1595_ID_15-processed-gene-1.64-mRNA-1	0.27539471615463	54.3383	0.367
snap_masked-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-0.77-mRNA-1	0.285812449989074	56.6617	0.414
genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-5.129-mRNA-1	0.35135220427227	50.5928	0.406
genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-6.153-mRNA-1	0.27439485260287	54.7826	0.336
genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-12.39-mRNA-1	0.292397235024699	54.3859	0.361
genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-21.19-mRNA-1	0.310566555373063	54.7945	0.380
snap_masked-NODE_5_length_698713_cov_87.6757_ID_9-processed-gene-5.153-mRNA-1	0.29224158280215	57.2337	0.394
genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-17.109-mRNA-1	0.306000451494436	53.7878	0.354
snap_masked-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-12.64-mRNA-1	0.284160845637837	56.3098	0.394
augustus_masked-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-2.11-mRNA-1	0.293357637590814	54.7994	0.387
genemark-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-4.146-mRNA-1	0.293761908014894	57.5267	0.472
snap_masked-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-5.78-mRNA-1	0.282869726535358	55.5572	0.398
snap_masked-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-4.147-mRNA-1	0.281187972861075	56.4850	0.387
genemark-NODE_10_length_457428_cov_88.5336_ID_19-processed-gene-2.34-mRNA-1	0.280706085446737	55.4716	0.430
maker-NODE_4_length_720416_cov_129.062_ID_7-snap-gene-3.64-mRNA-1	0.296248926279766	56.5070	0.443
genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-10.37-mRNA-1	0.282109851858402	55.3548	0.388
snap_masked-NODE_10_length_457428_cov_88.5336_ID_19-processed-gene-3.198-mRNA-1	0.28413277063349	55.1708	0.360
genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-13.160-mRNA-1	0.33284047971995	52.9641	0.451
genemark-NODE_10_length_457428_cov_88.5336_ID_19-processed-gene-1.49-mRNA-1	0.296430322833501	56.0222	0.418
genemark-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-0.76-mRNA-1	0.304933517471861	55.3189	0.436
augustus_masked-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-9.40-mRNA-1	0.287115919489107	54.6210	0.426
genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-5.146-mRNA-1	0.30160829601683	55.3665	0.403
genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-6.42-mRNA-1	0.343102174463954	48.8334	0.414
genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-20.19-mRNA-1	0.306495392863224	54.4913	0.346
augustus_masked-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-7.14-mRNA-1	0.281452837004023	54.1330	0.350
genemark-NODE_10_length_457428_cov_88.5336_ID_19-processed-gene-0.17-mRNA-1	0.282587026516532	55.9091	0.403
snap_masked-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-4.145-mRNA-1	0.272699184404874	57.5757	0.383
snap_masked-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-1.16-mRNA-1	0.318066668058515	52.7820	0.413
snap_masked-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-1.181-mRNA-1	0.272449836993672	57.4846	0.423
genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-9.146-mRNA-1	0.331474854503241	51.7536	0.391
genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-0.154-mRNA-1	0.418393022124787	42.6821	0.498
genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-20.22-mRNA-1	0.276734284442773	56.1401	0.425
