Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                   SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_109_length_445_cov_0.80814_ID_5117-processed-gene-0.0-mRNA-1            411       11        1        7   51.8920   55.0069
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.18-mRNA-1               1296       12        1        8   43.1494   47.2628
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.0-mRNA-1                2178       12        1        8   49.0941   51.3213
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.19-mRNA-1               1140       12        1        8   49.1234   52.3214
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.20-mRNA-1               1431       12        1        8   46.9085   53.9499
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.1-mRNA-1                1026       11        1        8   53.0798   55.9276
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.2-mRNA-1                1278       12        1        8   46.5026   54.2911
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.3-mRNA-1                2034       12        1        8   56.3461   60.4050
augustus_masked-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.61-mRNA-1        2718       12        1        8   53.8576   60.0560
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.4-mRNA-1                3339       12        1        8   52.8464   59.0618
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.22-mRNA-1               5355       12        1        8   55.4882   60.4891
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.23-mRNA-1                822       12        1        8   51.8548   57.8093
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.24-mRNA-1               1956       12        1        8   49.4029   55.8062
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.7-mRNA-1                1791       12        1        8   52.3085   60.3500
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.8-mRNA-1                4026       12        1        8   49.7215   56.9140
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.26-mRNA-1                570       12        1        8   57.1541   60.4129
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.27-mRNA-1               3492       12        1        8   48.0226   54.9206
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.9-mRNA-1                 741       12        1        8   50.4607   59.0206
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.28-mRNA-1               2814       12        1        8   55.2759   60.9267
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.29-mRNA-1               1665       11        1        8   47.9969   57.6820
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.30-mRNA-1               1476       11        1        8   48.7439   55.8581
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.10-mRNA-1                876       11        1        7   53.1689   58.5081
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.11-mRNA-1                663       12        1        7   49.0736   54.4257
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.31-mRNA-1               3189       12        1        8   49.4289   57.2083
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.12-mRNA-1                753       12        1        8   48.4248   54.5858
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.32-mRNA-1               1182       12        1        7   51.2546   53.5692
augustus_masked-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.54-mRNA-1        1956       12        1        8   50.2120   56.3454
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.33-mRNA-1                402       11        1        8   54.1020   56.2160
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.34-mRNA-1               1524       12        1        8   47.1641   54.4516
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.35-mRNA-1               3834       12        1        8   52.9022   58.2524
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.36-mRNA-1                612       12        1        7   46.1283   49.7566
