Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
------------------------------------------------------------------------------------------------------------
snap_masked-Smik_1-processed-gene-0.208-mRNA-1            465       12        1        8   53.9393   57.4488
snap_masked-Smik_1-processed-gene-0.209-mRNA-1           1779       12        1        8   51.3911   56.2858
maker-Smik_1-snap-gene-0.70-mRNA-1                       2214       12        1        8   54.1103   54.7877
snap_masked-Smik_1-processed-gene-0.165-mRNA-1           1368       12        1        8   57.2593   62.5043
maker-Smik_1-snap-gene-0.61-mRNA-1                       2391       12        1        8   56.9437   61.9775
snap_masked-Smik_1-processed-gene-0.168-mRNA-1            561       10        1        8   54.0988   57.5477
augustus_masked-Smik_1-processed-gene-0.1-mRNA-1         4551       12        1        8   57.3919   59.8447
snap_masked-Smik_1-processed-gene-0.211-mRNA-1           2136       12        1        8   54.1363   61.0874
snap_masked-Smik_1-processed-gene-0.172-mRNA-1           2346       12        1        8   57.9055   61.6232
snap_masked-Smik_1-processed-gene-0.173-mRNA-1           3135       12        1        8   56.4213   58.4455
augustus_masked-Smik_1-processed-gene-0.34-mRNA-1        4749       12        1        8   57.6772   60.2786
snap_masked-Smik_1-processed-gene-0.174-mRNA-1            327       11        1        8   56.5851   60.6896
maker-Smik_1-snap-gene-0.72-mRNA-1                       3033       12        1        8   59.4605   62.6477
augustus_masked-Smik_1-processed-gene-0.5-mRNA-1         3876       12        1        8   60.6965   62.4181
snap_masked-Smik_1-processed-gene-0.218-mRNA-1           1764       12        1        8   56.5038   62.0444
augustus_masked-Smik_1-processed-gene-0.38-mRNA-1         798       12        1        8   55.4183   60.5222
snap_masked-Smik_1-processed-gene-0.177-mRNA-1            339       11        1        8   55.2663   60.9004
snap_masked-Smik_1-processed-gene-0.178-mRNA-1           1497       11        1        7   34.7096   59.3968
snap_masked-Smik_1-processed-gene-0.179-mRNA-1            564       12        1        8   53.9646   57.2721
snap_masked-Smik_1-processed-gene-0.219-mRNA-1           1104       12        1        8   53.5177   61.3598
snap_masked-Smik_1-processed-gene-0.180-mRNA-1           2961       12        1        8   46.8965   58.9812
snap_masked-Smik_1-processed-gene-0.181-mRNA-1            864       12        1        8   55.1080   60.2507
snap_masked-Smik_1-processed-gene-0.220-mRNA-1           1221       12        1        8   55.4987   60.6103
snap_masked-Smik_1-processed-gene-0.182-mRNA-1            522       12        1        8   56.3427   61.3307
snap_masked-Smik_1-processed-gene-0.221-mRNA-1           1143       12        1        8   58.1849   61.3325
snap_masked-Smik_1-processed-gene-0.222-mRNA-1           2277       12        1        8   58.5602   61.5196
snap_masked-Smik_1-processed-gene-0.183-mRNA-1            348       12        1        8   53.9080   57.8330
snap_masked-Smik_1-processed-gene-0.223-mRNA-1           4404       12        1        8   55.8815   58.6477
augustus_masked-Smik_1-processed-gene-0.12-mRNA-1        2262       12        1        8   56.9835   59.6464
snap_masked-Smik_1-processed-gene-0.224-mRNA-1           4062       12        1        8   53.0842   57.3650
snap_masked-Smik_1-processed-gene-0.225-mRNA-1            918       12        1        8   53.5382   61.1781
snap_masked-Smik_1-processed-gene-0.226-mRNA-1           4323       12        1        8   55.0266   57.5542
snap_masked-Smik_1-processed-gene-0.227-mRNA-1           2274       12        1        8   52.9807   61.9662
snap_masked-Smik_1-processed-gene-0.228-mRNA-1           1548       12        1        8   56.9942   60.6617
snap_masked-Smik_1-processed-gene-0.229-mRNA-1           3402       12        1        8   60.2776   62.3639
snap_masked-Smik_1-processed-gene-0.185-mRNA-1           3369       12        1        8   56.9078   61.9956
snap_masked-Smik_1-processed-gene-0.230-mRNA-1            981       12        1        8   57.5171   60.2167
snap_masked-Smik_1-processed-gene-0.186-mRNA-1           4068       12        1        8   57.2579   58.8945
snap_masked-Smik_1-processed-gene-0.187-mRNA-1           1893       12        1        8   53.7619   57.5408
maker-Smik_1-snap-gene-0.75-mRNA-1                       1968       12        1        8   59.3172   61.6942
snap_masked-Smik_1-processed-gene-0.188-mRNA-1           1230       12        1        8   53.0531   56.7191
snap_masked-Smik_1-processed-gene-0.189-mRNA-1           1179       11        1        8   43.9796   59.9850
snap_masked-Smik_1-processed-gene-0.190-mRNA-1           1848       12        1        8   58.9267   61.3322
snap_masked-Smik_1-processed-gene-0.232-mRNA-1           1476       12        1        8   56.1805   58.8930
snap_masked-Smik_1-processed-gene-0.191-mRNA-1            774       12        1        8   55.4795   56.3190
snap_masked-Smik_1-processed-gene-0.192-mRNA-1            600       12        1        8   55.7026   59.7649
snap_masked-Smik_1-processed-gene-0.233-mRNA-1            642       11        1        8   53.8360   59.4520
maker-Smik_1-snap-gene-0.76-mRNA-1                       1953       12        1        8   37.7396   58.7896
maker-Smik_1-snap-gene-0.62-mRNA-1                        606       12        1        7   40.2869   59.8730
snap_masked-Smik_1-processed-gene-0.194-mRNA-1           3813       12        1        8   56.4704   58.5372
snap_masked-Smik_1-processed-gene-0.235-mRNA-1           3483       12        1        8   54.1468   57.2523
snap_masked-Smik_1-processed-gene-0.195-mRNA-1           1611       12        1        8   54.0703   56.3242
augustus_masked-Smik_1-processed-gene-0.55-mRNA-1         654       12        1        8   50.8293   56.6484
snap_masked-Smik_1-processed-gene-0.196-mRNA-1           1281       12        1        8   52.8544   56.9808
snap_masked-Smik_1-processed-gene-0.236-mRNA-1           1860       12        1        8   54.0616   59.5065
snap_masked-Smik_1-processed-gene-0.197-mRNA-1            897       12        1        8   54.2021   57.0380
snap_masked-Smik_1-processed-gene-0.237-mRNA-1           2136       12        1        8   57.2116   58.5621
snap_masked-Smik_1-processed-gene-0.198-mRNA-1            915       12        1        8   54.0828   62.0186
snap_masked-Smik_1-processed-gene-0.238-mRNA-1           1302       12        1        8   54.1822   58.5230
genemark-Smik_1-processed-gene-0.151-mRNA-1              2919       12        1        8   58.8237   61.8903
snap_masked-Smik_1-processed-gene-0.240-mRNA-1            357       11        1        7   47.3238   55.5941
augustus_masked-Smik_1-processed-gene-0.26-mRNA-1        1992       12        1        8   58.3842   60.5673
maker-Smik_1-snap-gene-0.69-mRNA-1                        339       11        1        7   54.7709   62.8198
snap_masked-Smik_1-processed-gene-0.202-mRNA-1            309       11        1        8   52.2142   55.3819
genemark-Smik_1-processed-gene-0.115-mRNA-1              5829       12        1        8   56.8790   60.6651
maker-Smik_1-snap-gene-0.68-mRNA-1                        345       12        1        8   53.6103   58.4469
augustus_masked-Smik_1-processed-gene-0.30-mRNA-1        1041       12        1        8   51.4147   55.0867
snap_masked-Smik_10-processed-gene-0.110-mRNA-1           399       12        1        8   51.2405   50.0818
augustus_masked-Smik_10-processed-gene-0.47-mRNA-1        591       12        1        8   51.5056   58.5232
snap_masked-Smik_10-processed-gene-0.111-mRNA-1           636       12        1        8   53.1400   61.0552
snap_masked-Smik_10-processed-gene-0.112-mRNA-1           675       12        1        8   51.7990   60.0813
snap_masked-Smik_10-processed-gene-0.86-mRNA-1           1704       12        1        8   52.3416   56.1630
snap_masked-Smik_10-processed-gene-0.87-mRNA-1           1017       12        1        8   38.9493   61.2611
snap_masked-Smik_10-processed-gene-0.114-mRNA-1          1080       12        1        8   51.9298   54.1035
snap_masked-Smik_10-processed-gene-0.115-mRNA-1          1626       12        1        8   52.2827   56.4521
maker-Smik_10-snap-gene-0.1-mRNA-1                       1053       12        1        8   50.3630   55.6198
