Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
snap_masked-NODE_106_length_385_cov_0.761905_ID_211-processed-gene-0.0-mRNA-1             339        7        1        8   56.1331   62.5109
augustus_masked-NODE_11_length_19481_cov_39.1123_ID_21-processed-gene-0.1-mRNA-1         1083       12        1        8   57.7637   61.1057
genemark-NODE_11_length_19481_cov_39.1123_ID_21-processed-gene-0.22-mRNA-1               1281       12        1        8   57.1224   61.0611
snap_masked-NODE_11_length_19481_cov_39.1123_ID_21-processed-gene-0.15-mRNA-1            1338       12        1        8   56.6661   61.3199
snap_masked-NODE_11_length_19481_cov_39.1123_ID_21-processed-gene-0.10-mRNA-1            5628       12        1        8   56.5947   60.3363
snap_masked-NODE_11_length_19481_cov_39.1123_ID_21-processed-gene-0.16-mRNA-1            2265       12        1        8   58.4007   59.9221
snap_masked-NODE_11_length_19481_cov_39.1123_ID_21-processed-gene-0.17-mRNA-1             609       11        1        8   54.9969   60.4365
snap_masked-NODE_11_length_19481_cov_39.1123_ID_21-processed-gene-0.18-mRNA-1             804       12        1        8   57.2056   61.7695
snap_masked-NODE_11_length_19481_cov_39.1123_ID_21-processed-gene-0.12-mRNA-1             369       12        1        8   53.4441   59.8376
snap_masked-NODE_11_length_19481_cov_39.1123_ID_21-processed-gene-0.13-mRNA-1             468       10        1        8   55.7089   61.1787
augustus_masked-NODE_123_length_370_cov_1.02151_ID_245-processed-gene-0.1-mRNA-1          360       11        1        7   48.8659   57.6641
maker-NODE_13_length_6825_cov_122.208_ID_25-snap-gene-0.18-mRNA-1                        2160       12        1        8   54.0620   61.0951
