Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
------------------------------------------------------------------------------------------------------------
augustus_masked-LANO0A-processed-gene-0.16-mRNA-1         402       10        1        7   57.2533   61.8732
snap_masked-LANO0A-processed-gene-0.62-mRNA-1             636       12        1        8   56.3062   61.7924
snap_masked-LANO0A-processed-gene-0.83-mRNA-1            6348       12        1        8   51.4165   58.4912
snap_masked-LANO0A-processed-gene-0.84-mRNA-1             771       12        1        8   54.0861   59.4647
snap_masked-LANO0A-processed-gene-0.85-mRNA-1            1404       12        1        8   57.4508   61.4044
snap_masked-LANO0A-processed-gene-0.86-mRNA-1            1536       12        1        8   50.9549   59.5623
snap_masked-LANO0A-processed-gene-0.64-mRNA-1            1947       12        1        8   58.2631   60.5223
snap_masked-LANO0A-processed-gene-0.65-mRNA-1             759       12        1        8   54.5802   58.1047
snap_masked-LANO0A-processed-gene-0.66-mRNA-1             705       12        1        8   54.9434   61.2022
snap_masked-LANO0A-processed-gene-0.67-mRNA-1             726       12        1        8   53.8747   58.0503
snap_masked-LANO0A-processed-gene-0.68-mRNA-1            2118       12        1        8   57.8688   61.3749
snap_masked-LANO0A-processed-gene-0.87-mRNA-1             906       12        1        8   54.7479   61.8612
snap_masked-LANO0A-processed-gene-0.88-mRNA-1            1878       12        1        8   58.0771   60.9643
snap_masked-LANO0A-processed-gene-0.69-mRNA-1            1557       12        1        8   56.4066   61.0003
snap_masked-LANO0A-processed-gene-0.89-mRNA-1             714       12        1        8   56.1341   61.0080
snap_masked-LANO0A-processed-gene-0.90-mRNA-1            1215       12        1        8   54.6524   59.2050
snap_masked-LANO0A-processed-gene-0.91-mRNA-1             729       12        1        8   56.0705   60.7125
snap_masked-LANO0A-processed-gene-0.70-mRNA-1             948       12        1        8   57.0050   61.7409
maker-LANO0A-snap-gene-0.96-mRNA-1                       1518       12        1        8   55.5020   60.9211
snap_masked-LANO0A-processed-gene-0.72-mRNA-1            1293       11        1        8   56.8576   62.6442
