Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.139-mRNA-1       417       10        1        8   55.2156   56.8408
snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.35-mRNA-1            582       12        1        8   56.5246   62.5004
snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.36-mRNA-1            969       12        1        8   55.5863   61.6506
snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.37-mRNA-1           1194       12        1        8   54.3333   60.7297
augustus_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.115-mRNA-1      3375       12        1        8   57.3890   60.8498
maker-NODE_10_length_315200_cov_20.7307_ID_19-snap-gene-0.58-mRNA-1                       927       12        1        7   52.3174   59.2987
snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.9-mRNA-1            1029       12        1        8   52.2892   59.1358
genemark-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.95-mRNA-1               918       12        1        8   55.9152   58.7630
maker-NODE_10_length_315200_cov_20.7307_ID_19-augustus-gene-0.1-mRNA-1                   3126       12        1        8   56.5719   60.7888
snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.39-mRNA-1           4692       12        1        8   58.4588   60.7980
augustus_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.119-mRNA-1      2187       12        1        8   55.8098   60.0699
augustus_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.120-mRNA-1      3831       12        1        8   55.3988   60.6282
snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.17-mRNA-1            807       11        1        8   57.1202   62.0117
genemark-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.73-mRNA-1              1164       12        1        8   51.7196   61.4184
augustus_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.146-mRNA-1      3531       12        1        8   57.3322   61.3017
snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.19-mRNA-1           1326       12        1        8   56.2103   61.3319
snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.20-mRNA-1            777       11        1        8   56.7609   60.8858
snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.43-mRNA-1           1197       12        1        8   56.3073   61.5197
genemark-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-0.76-mRNA-1               831       12        1        8   58.2378   61.9516
