Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
snap_masked-NODE_101_length_1237_cov_62.7341_ID_201-processed-gene-0.0-mRNA-1            1164       12        1        8   51.9433   55.0536
snap_masked-NODE_104_length_1152_cov_111.424_ID_207-processed-gene-0.0-mRNA-1            1065       12        1        8   47.2685   54.2644
snap_masked-NODE_105_length_1151_cov_55.4647_ID_209-processed-gene-0.0-mRNA-1             405       12        1        8   55.4414   58.6661
augustus_masked-NODE_106_length_1131_cov_57.7595_ID_211-processed-gene-0.1-mRNA-1         327       11        1        8   55.7656   62.1242
augustus_masked-NODE_106_length_1131_cov_57.7595_ID_211-processed-gene-0.0-mRNA-1         489       12        1        8   55.6565   58.2954
augustus_masked-NODE_107_length_1127_cov_149.617_ID_213-processed-gene-0.2-mRNA-1         885       12        1        8   55.9379   62.0393
augustus_masked-NODE_108_length_1013_cov_98.678_ID_215-processed-gene-0.1-mRNA-1          861       12        1        8   49.5209   55.9822
augustus_masked-NODE_109_length_992_cov_166.178_ID_217-processed-gene-0.0-mRNA-1          870       12        1        8   52.2810   57.6538
genemark-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-0.22-mRNA-1               771       12        1        8   53.2274   60.1288
snap_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-0.86-mRNA-1            903       12        1        8   55.2365   61.4254
augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-0.48-mRNA-1       1251       12        1        8   56.1754   62.1478
genemark-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-0.2-mRNA-1                999       12        1        8   57.1655   61.6775
snap_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-0.110-mRNA-1          1812       12        1        8   58.2651   62.4707
snap_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-0.89-mRNA-1            576       12        1        8   52.3382   60.6161
augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-0.67-mRNA-1       1950       12        1        8   56.9953   61.7380
augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-0.51-mRNA-1        699       12        1        8   54.0536   59.0037
genemark-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-0.25-mRNA-1              3336       12        1        8   58.2079   60.6988
augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-0.69-mRNA-1       1776       12        1        8   53.2155   59.4849
augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-0.70-mRNA-1       2001       12        1        8   57.9096   61.9958
