gene_id	tAI	nc	gc3
genemark-NC_020190-processed-gene-4.38-mRNA-1	0.37360256945855	46.1465	0.210
genemark-NC_020191-processed-gene-0.21-mRNA-1	0.398245885801805	44.2753	0.206
genemark-NC_020185-processed-gene-17.38-mRNA-1	0.326760321317079	46.4559	0.205
genemark-NC_020185-processed-gene-13.62-mRNA-1	0.367654274079806	44.1598	0.164
snap_masked-NC_020193-processed-gene-0.85-mRNA-1	0.368774093632762	48.9898	0.265
genemark-NC_020188-processed-gene-11.72-mRNA-1	0.36277853316457	44.2689	0.193
genemark-NC_020186-processed-gene-7.54-mRNA-1	0.374833856584556	47.8900	0.200
genemark-NC_020187-processed-gene-6.35-mRNA-1	0.3369782947918	48.4473	0.278
snap_masked-NC_020185-processed-gene-25.19-mRNA-1	0.3362311220785	51.5395	0.326
genemark-NC_020188-processed-gene-6.51-mRNA-1	0.33137742503172	52.2073	0.282
genemark-NC_020188-processed-gene-6.87-mRNA-1	0.333494625001623	49.8517	0.295
genemark-NC_020186-processed-gene-2.63-mRNA-1	0.426278324525626	42.9437	0.203
augustus_masked-NC_020185-processed-gene-16.83-mRNA-1	0.320867153517075	51.3724	0.190
snap_masked-NC_020190-processed-gene-3.112-mRNA-1	0.323313046874939	50.7084	0.246
snap_masked-NC_020187-processed-gene-14.31-mRNA-1	0.532480453373633	40.1753	0.255
genemark-NC_020194-processed-gene-2.82-mRNA-1	0.371746696916041	44.4628	0.177
genemark-NC_020190-processed-gene-4.46-mRNA-1	0.502282198017038	39.5926	0.304
genemark-NC_020186-processed-gene-9.34-mRNA-1	0.412290825710355	42.3348	0.170
genemark-NC_020188-processed-gene-9.44-mRNA-1	0.330562372466213	46.5905	0.190
genemark-NC_020194-processed-gene-0.51-mRNA-1	0.34465392816521	49.5971	0.218
augustus_masked-NC_020192-processed-gene-3.52-mRNA-1	0.301283806866404	51.0458	0.247
genemark-NC_020188-processed-gene-5.3-mRNA-1	0.34084136768197	48.5628	0.272
snap_masked-NC_020189-processed-gene-6.17-mRNA-1	0.307409583775393	48.6814	0.180
genemark-NC_020187-processed-gene-8.50-mRNA-1	0.337012830221758	50.2487	0.199
genemark-NC_020189-processed-gene-9.89-mRNA-1	0.34076383436016	46.8128	0.152
snap_masked-NC_020186-processed-gene-23.100-mRNA-1	0.340806826007359	50.3899	0.268
genemark-NC_020192-processed-gene-6.93-mRNA-1	0.28473445114906	47.3048	0.131
genemark-NC_020193-processed-gene-4.56-mRNA-1	0.301166280381945	53.3530	0.331
snap_masked-NC_020191-processed-gene-3.101-mRNA-1	0.581663413072263	39.8679	0.327
snap_masked-NC_020188-processed-gene-1.71-mRNA-1	0.558279196242414	42.0019	0.256
augustus_masked-NC_020187-processed-gene-15.30-mRNA-1	0.329394480601085	50.5202	0.242
augustus_masked-NC_020192-processed-gene-6.56-mRNA-1	0.407529924744607	50.2283	0.567
genemark-NC_020193-processed-gene-7.94-mRNA-1	0.348560497819623	53.9308	0.340
genemark-NC_020185-processed-gene-7.70-mRNA-1	0.296455846996675	45.7332	0.188
snap_masked-NC_020190-processed-gene-5.32-mRNA-1	0.325377399363315	49.0533	0.231
snap_masked-NC_020188-processed-gene-12.82-mRNA-1	0.362712877716301	51.0212	0.312
augustus_masked-NC_020186-processed-gene-21.81-mRNA-1	0.336685957776785	52.7252	0.286
genemark-NC_020192-processed-gene-1.28-mRNA-1	0.360758949234995	46.7589	0.175
genemark-NC_020192-processed-gene-4.45-mRNA-1	0.339335702262884	43.1943	0.148
genemark-NC_020185-processed-gene-21.14-mRNA-1	0.344291052133577	49.8857	0.218
augustus_masked-NC_020189-processed-gene-11.3-mRNA-1	0.295691757845428	47.4843	0.194
augustus_masked-NC_020188-processed-gene-4.20-mRNA-1	0.330634718148814	49.7625	0.232
genemark-NC_020185-processed-gene-12.49-mRNA-1	0.346599686926599	49.0205	0.222
maker-NC_020187-snap-gene-11.110-mRNA-1	0.453787576898652	40.1707	0.196
augustus_masked-NC_020187-processed-gene-11.52-mRNA-1	0.327606686195282	54.5959	0.439
