gene_id	tAI	nc	gc3
augustus_masked-scaffold_3-processed-gene-7.78-mRNA-1	0.514134896328387	54.4712	0.327
augustus_masked-scaffold_1-processed-gene-3.84-mRNA-1	0.567195591155037	46.3967	0.146
augustus_masked-scaffold_2-processed-gene-9.6-mRNA-1	0.551223061523185	52.8757	0.311
snap_masked-scaffold_13-processed-gene-0.51-mRNA-1	0.637113527218396	39.8329	0.077
augustus_masked-scaffold_8-processed-gene-1.67-mRNA-1	0.633055541107864	40.3285	0.179
augustus_masked-scaffold_5-processed-gene-4.87-mRNA-1	0.586714514116194	43.7011	0.183
genemark-scaffold_1-processed-gene-6.27-mRNA-1	0.544815910283003	50.2835	0.256
augustus_masked-scaffold_2-processed-gene-0.103-mRNA-1	0.560914855151366	52.5498	0.323
augustus_masked-scaffold_1-processed-gene-4.115-mRNA-1	0.605513463437949	39.9832	0.103
augustus_masked-scaffold_1-processed-gene-4.112-mRNA-1	0.59761773025416	49.4259	0.351
augustus_masked-scaffold_1-processed-gene-10.23-mRNA-1	0.585783948162236	47.1494	0.190
augustus_masked-scaffold_6-processed-gene-4.7-mRNA-1	0.514342920102289	54.4385	0.346
augustus_masked-scaffold_5-processed-gene-5.122-mRNA-1	0.663782969623145	38.4095	0.164
augustus_masked-scaffold_2-processed-gene-9.32-mRNA-1	0.532781521819382	53.1554	0.324
augustus_masked-scaffold_1-processed-gene-1.55-mRNA-1	0.625836485323086	45.5305	0.233
augustus_masked-scaffold_2-processed-gene-0.121-mRNA-1	0.634002847042783	40.8645	0.142
augustus_masked-scaffold_13-processed-gene-2.30-mRNA-1	0.529914832018302	51.7445	0.303
augustus_masked-scaffold_15-processed-gene-2.77-mRNA-1	0.545866465307587	50.5298	0.274
augustus_masked-scaffold_11-processed-gene-1.45-mRNA-1	0.580730411401639	46.6346	0.225
augustus_masked-scaffold_2-processed-gene-11.3-mRNA-1	0.563598106561051	48.9942	0.227
augustus_masked-scaffold_17-processed-gene-1.103-mRNA-1	0.703838781167254	32.3935	0.031
augustus_masked-scaffold_5-processed-gene-6.92-mRNA-1	0.627921483598874	50.6418	0.230
augustus_masked-scaffold_6-processed-gene-3.22-mRNA-1	0.611848551693457	47.1907	0.165
augustus_masked-scaffold_10-processed-gene-3.33-mRNA-1	0.558790223573472	46.3054	0.188
augustus_masked-scaffold_3-processed-gene-6.48-mRNA-1	0.639690122312095	45.0879	0.195
augustus_masked-scaffold_6-processed-gene-6.57-mRNA-1	0.606770927709453	41.6389	0.128
augustus_masked-scaffold_16-processed-gene-1.67-mRNA-1	0.626389406467592	38.4009	0.080
maker-scaffold_8-augustus-gene-2.1-mRNA-1	0.668372132330244	36.3246	0.060
snap_masked-scaffold_4-processed-gene-1.138-mRNA-1	0.577906656186484	44.9533	0.111
augustus_masked-scaffold_2-processed-gene-9.35-mRNA-1	0.559540846401485	50.6039	0.295
augustus_masked-scaffold_15-processed-gene-2.60-mRNA-1	0.543605384353246	53.3630	0.379
augustus_masked-scaffold_12-processed-gene-2.94-mRNA-1	0.527329594731124	53.7621	0.343
maker-scaffold_10-snap-gene-3.76-mRNA-1	0.564631678717392	51.4330	0.312
maker-scaffold_1-augustus-gene-2.55-mRNA-1	0.575508331246246	48.1166	0.280
augustus_masked-scaffold_3-processed-gene-7.43-mRNA-1	0.53861874549731	53.0173	0.366
augustus_masked-scaffold_2-processed-gene-3.13-mRNA-1	0.606245749473239	45.9498	0.261
snap_masked-scaffold_26-processed-gene-0.39-mRNA-1	0.636084349108908	34.7650	0.055
augustus_masked-scaffold_13-processed-gene-1.32-mRNA-1	0.590494177910664	46.1237	0.201
maker-scaffold_13-augustus-gene-1.54-mRNA-1	0.6226282760106	40.2231	0.049
snap_masked-scaffold_45-processed-gene-0.1-mRNA-1	0.5791319504758	49.7619	0.338
augustus_masked-scaffold_8-processed-gene-0.30-mRNA-1	0.623628701584242	42.2931	0.200
genemark-scaffold_3-processed-gene-1.102-mRNA-1	0.605042447288362	41.8401	0.172
augustus_masked-scaffold_5-processed-gene-8.278-mRNA-1	0.585794216366076	42.1939	0.109
augustus_masked-scaffold_8-processed-gene-2.87-mRNA-1	0.618757010079306	44.8086	0.224
augustus_masked-scaffold_10-processed-gene-1.18-mRNA-1	0.603372416467656	44.2470	0.174
augustus_masked-scaffold_15-processed-gene-2.78-mRNA-1	0.604902364977146	49.7079	0.251
augustus_masked-scaffold_5-processed-gene-4.59-mRNA-1	0.658525961883632	42.3392	0.171
augustus_masked-scaffold_17-processed-gene-1.92-mRNA-1	0.742907549895157	40.1108	0.203
augustus_masked-scaffold_5-processed-gene-8.244-mRNA-1	0.598843494402055	42.7929	0.171
augustus_masked-scaffold_4-processed-gene-8.103-mRNA-1	0.563464191322588	51.0517	0.318
augustus_masked-scaffold_7-processed-gene-2.37-mRNA-1	0.455781251122464	56.1318	0.394
augustus_masked-scaffold_6-processed-gene-3.23-mRNA-1	0.56368064752655	49.9596	0.246
maker-scaffold_4-augustus-gene-2.99-mRNA-1	0.548477470387587	52.3552	0.372
augustus_masked-scaffold_34-processed-gene-0.44-mRNA-1	0.563881976934806	51.5496	0.311
augustus_masked-scaffold_21-processed-gene-0.31-mRNA-1	0.631920399685161	38.3492	0.084
augustus_masked-scaffold_2-processed-gene-4.11-mRNA-1	0.582816698463593	46.0159	0.177
augustus_masked-scaffold_16-processed-gene-0.86-mRNA-1	0.640631183039978	36.5319	0.064
genemark-scaffold_6-processed-gene-1.78-mRNA-1	0.540944741810644	52.0141	0.319
genemark-scaffold_15-processed-gene-1.57-mRNA-1	0.596728162681053	46.9657	0.313
augustus_masked-scaffold_9-processed-gene-0.98-mRNA-1	0.640344606805475	46.9398	0.259
maker-scaffold_6-augustus-gene-0.123-mRNA-1	0.61824515152665	40.4680	0.064
snap_masked-scaffold_10-processed-gene-2.134-mRNA-1	0.530205874685905	48.6333	0.206
augustus_masked-scaffold_25-processed-gene-0.77-mRNA-1	0.634578668887224	34.1532	0.028
maker-scaffold_7-snap-gene-4.84-mRNA-1	0.535667256709316	54.4931	0.354
augustus_masked-scaffold_4-processed-gene-9.163-mRNA-1	0.625089405127868	36.1975	0.057
augustus_masked-scaffold_18-processed-gene-1.23-mRNA-1	0.548022543133808	50.1114	0.321
augustus_masked-scaffold_14-processed-gene-1.62-mRNA-1	0.675796971397156	34.2895	0.098
augustus_masked-scaffold_9-processed-gene-0.101-mRNA-1	0.549506993869182	51.8403	0.287
genemark-scaffold_5-processed-gene-2.105-mRNA-1	0.595633687977468	48.1713	0.247
maker-scaffold_6-augustus-gene-4.120-mRNA-1	0.697370840362012	45.2156	0.165
augustus_masked-scaffold_10-processed-gene-1.10-mRNA-1	0.594125503524423	46.3983	0.189
augustus_masked-scaffold_3-processed-gene-6.47-mRNA-1	0.5835055272423	44.6232	0.205
augustus_masked-scaffold_19-processed-gene-1.134-mRNA-1	0.596515414316546	41.9892	0.113
augustus_masked-scaffold_1-processed-gene-1.53-mRNA-1	0.542627839763561	48.6695	0.257
