Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.57-mRNA-1              1602       12        1        8   56.3537   62.6251
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.133-mRNA-1       507       12        1        8   54.1007   62.2885
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.109-mRNA-1       438       11        1        8   56.0439   61.7745
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.134-mRNA-1      1473       12        1        8   56.2346   60.2037
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.59-mRNA-1              1221       12        1        8   57.0214   62.8082
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.135-mRNA-1       648       11        1        8   55.2008   62.0528
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.60-mRNA-1               711       12        1        8   56.5858   62.3105
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.90-mRNA-1              2061       12        1        8   52.8592   61.5559
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.61-mRNA-1               744       12        1        8   50.8168   62.7285
maker-NODE_10_length_361062_cov_67.9065_ID_19-augustus-gene-0.0-mRNA-1                   6876       12        1        8   56.5019   61.1671
snap_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.38-mRNA-1           1089       12        1        7   51.9785   60.6584
maker-NODE_10_length_361062_cov_67.9065_ID_19-augustus-gene-0.3-mRNA-1                   2007       12        1        8   58.0743   62.4505
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.93-mRNA-1               582       12        1        8   55.2894   62.4705
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.94-mRNA-1               972       12        1        8   50.4403   61.3636
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.65-mRNA-1              1644       12        1        8   56.6991   62.3720
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.95-mRNA-1               858       12        1        8   56.7506   62.3576
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.115-mRNA-1      3441       12        1        8   54.4234   61.3467
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.96-mRNA-1               927       11        1        7   44.5729   57.1118
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.68-mRNA-1              1032       12        1        8   50.3490   61.8142
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.97-mRNA-1               924       12        1        8   56.3474   61.9424
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.69-mRNA-1              2517       12        1        8   53.7620   62.4730
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.70-mRNA-1               777       11        1        7   51.0179   58.5420
snap_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.45-mRNA-1           4698       12        1        8   58.0297   62.4915
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.71-mRNA-1              1674       12        1        8   55.5985   62.3687
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.72-mRNA-1               627       12        1        7   52.1225   60.9643
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.73-mRNA-1               471       11        1        8   57.2961   61.8040
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.74-mRNA-1              2259       12        1        8   50.2698   61.9235
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.123-mRNA-1      3054       12        1        8   53.5339   61.8378
snap_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.46-mRNA-1           2133       12        1        8   57.1579   62.4319
snap_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.47-mRNA-1            840       12        1        8   52.7255   62.0377
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.100-mRNA-1              780       12        1        8   57.0653   62.2360
snap_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.26-mRNA-1           1323       12        1        8   58.0408   61.7162
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.125-mRNA-1       762       11        1        8   55.6389   62.7242
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.101-mRNA-1             1197       12        1        8   52.9678   61.6224
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.80-mRNA-1               678       12        1        8   55.9154   62.6247
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.102-mRNA-1             1230       12        1        8   50.9859   60.9676
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.81-mRNA-1               462       11        1        8   50.0268   60.1373
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.82-mRNA-1              1419       12        1        8   52.9613   57.2231
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.148-mRNA-1      4098       12        1        8   56.3339   62.9787
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.83-mRNA-1               567       12        1        8   53.3570   61.1338
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.105-mRNA-1              675       12        1        8   55.9537   61.8212
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.84-mRNA-1              1452       12        1        8   54.6604   62.7410
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.106-mRNA-1             1581       11        1        8   53.4768   60.9532
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.85-mRNA-1               453       11        1        8   51.8093   62.2446
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.107-mRNA-1              660       12        1        7   52.0638   62.1142
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.86-mRNA-1              3015       12        1        8   50.8071   60.6852
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.125-mRNA-1      7212       12        1        8   57.6659   62.7930
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.67-mRNA-1               306       12        1        8   53.8152   61.8321
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.64-mRNA-1              2361       12        1        8   57.3920   62.1677
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.68-mRNA-1              3009       12        1        8   56.4314   62.6637
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.65-mRNA-1              4707       12        1        8   56.1531   62.5853
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.69-mRNA-1              2637       12        1        8   54.5701   61.9627
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.96-mRNA-1              1053       11        1        8   53.0904   58.9016
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.70-mRNA-1              1365       12        1        8   47.2046   59.5281
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.71-mRNA-1              1284       12        1        8   57.0515   60.6837
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.97-mRNA-1               639       10        1        8   53.0763   59.7935
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.131-mRNA-1       924       12        1        8   55.6588   60.6999
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.155-mRNA-1      1872       12        1        8   55.9978   62.0737
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.132-mRNA-1       606        9        1        8   51.8117   62.0930
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.74-mRNA-1              1605       12        1        8   57.2290   61.3261
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.156-mRNA-1      1398       12        1        8   54.8970   59.9680
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.75-mRNA-1              3291       12        1        8   56.0053   60.0876
snap_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.44-mRNA-1            618       12        1        8   55.2695   57.1808
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.76-mRNA-1               879       12        1        8   53.1863   59.5269
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.157-mRNA-1      1500       12        1        8   57.6964   62.9291
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.136-mRNA-1      5076       12        1        8   55.2530   62.1709
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.79-mRNA-1              1098       12        1        8   53.1719   57.3384
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.102-mRNA-1             1647       12        1        8   53.3356   57.8867
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.80-mRNA-1               834       12        1        8   55.4896   60.4565
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.103-mRNA-1             3681       12        1        8   54.6856   62.2855
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.104-mRNA-1             1968       12        1        8   56.1994   62.5681
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.105-mRNA-1             1734       12        1        8   48.4635   60.1457
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.139-mRNA-1       612       12        1        8   54.6844   60.0418
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.106-mRNA-1             2373       12        1        8   53.0855   55.6325
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.82-mRNA-1               732       12        1        8   50.8286   57.4494
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.107-mRNA-1              921       12        1        8   55.1247   60.8499
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.83-mRNA-1              1635       12        1        8   54.2399   61.8096
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.84-mRNA-1              2379       12        1        8   56.7256   62.7518
maker-NODE_10_length_361062_cov_67.9065_ID_19-augustus-gene-1.3-mRNA-1                   6876       12        1        8   54.4722   57.6158
augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.143-mRNA-1       450       11        1        7   51.6560   60.8163
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.114-mRNA-1             1467       12        1        8   50.2678   55.6578
genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-1.86-mRNA-1               555       11        1        8   54.4052   59.2862
