Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
------------------------------------------------------------------------------------------------------------
snap_masked-LAMI0A-processed-gene-0.3-mRNA-1             1026       12        1        8   57.3216   62.0878
genemark-LAMI0A-processed-gene-0.52-mRNA-1               1509       12        1        8   57.7818   62.2592
snap_masked-LAMI0A-processed-gene-0.21-mRNA-1            1341       12        1        8   58.2306   62.8252
genemark-LAMI0A-processed-gene-0.54-mRNA-1                741       12        1        8   56.4900   60.6680
genemark-LAMI0A-processed-gene-0.37-mRNA-1                978       12        1        8   57.5576   62.1505
genemark-LAMI0A-processed-gene-0.38-mRNA-1               1395       12        1        8   57.5575   60.8002
genemark-LAMI0A-processed-gene-0.39-mRNA-1               1020       12        1        8   56.5382   61.3393
snap_masked-LAMI0A-processed-gene-0.23-mRNA-1             753       11        1        8   52.5731   58.0485
augustus_masked-LAMI0A-processed-gene-0.88-mRNA-1        1746       12        1        8   58.5881   62.4696
maker-LAMI0A-snap-gene-0.68-mRNA-1                        342       12        1        8   55.7304   62.8185
genemark-LAMI0A-processed-gene-0.57-mRNA-1                972       12        1        8   58.0934   62.0116
genemark-LAMI0A-processed-gene-0.58-mRNA-1               1542       12        1        8   55.7144   61.2510
genemark-LAMI0A-processed-gene-0.40-mRNA-1               1614       12        1        8   57.8102   62.0873
snap_masked-LAMI0A-processed-gene-0.27-mRNA-1            1836       12        1        8   58.9767   62.4127
genemark-LAMI0A-processed-gene-0.60-mRNA-1               1728       12        1        8   58.9867   61.8041
genemark-LAMI0A-processed-gene-0.61-mRNA-1               1011       12        1        8   56.2778   61.7484
genemark-LAMI0A-processed-gene-0.41-mRNA-1               1629       12        1        8   57.2026   59.7433
genemark-LAMI0A-processed-gene-0.42-mRNA-1                993       12        1        8   58.1453   62.6349
genemark-LAMI0A-processed-gene-0.43-mRNA-1               1458       12        1        8   56.8313   61.3086
genemark-LAMI0A-processed-gene-0.44-mRNA-1                936       12        1        8   57.2336   62.0646
genemark-LAMI0A-processed-gene-0.45-mRNA-1                930       12        1        8   56.4948   60.4974
genemark-LAMI0A-processed-gene-0.46-mRNA-1               2715       12        1        8   57.9318   61.6453
genemark-LAMI0A-processed-gene-0.47-mRNA-1               1266       12        1        8   59.1732   62.3396
maker-LAMI0A-augustus-gene-0.1-mRNA-1                    1005       12        1        8   57.1044   62.8071
snap_masked-LAMI0A-processed-gene-0.16-mRNA-1            1335       12        1        8   51.8676   62.1151
genemark-LAMI0A-processed-gene-0.62-mRNA-1               1491       12        1        8   58.6485   62.1292
genemark-LAMI0A-processed-gene-0.50-mRNA-1               1653       12        1        8   57.0325   61.5473
genemark-LAMI0A-processed-gene-0.63-mRNA-1                642       11        1        8   56.2658   61.1834
maker-LAMI0A-augustus-gene-0.2-mRNA-1                    7428       12        1        8   58.8584   62.0093
genemark-LAMI0A-processed-gene-0.51-mRNA-1               3072       12        1        8   57.1310   61.6987
genemark-LAMI0A-processed-gene-0.65-mRNA-1               2565       12        1        8   59.1333   62.9077
genemark-LAMI0A-processed-gene-1.2-mRNA-1                1905       12        1        8   59.0978   62.1970
genemark-LAMI0A-processed-gene-1.3-mRNA-1                4095       12        1        8   59.3224   62.0688
genemark-LAMI0A-processed-gene-1.5-mRNA-1                1704       12        1        8   57.8534   61.9800
genemark-LAMI0A-processed-gene-1.4-mRNA-1                1068       12        1        8   56.5064   61.4458
snap_masked-LAMI0A-processed-gene-1.99-mRNA-1             885       12        1        8   59.1075   62.5932
genemark-LAMI0A-processed-gene-1.7-mRNA-1                 378       10        1        8   56.3836   60.6689
snap_masked-LAMI0A-processed-gene-1.101-mRNA-1            411       12        1        8   54.9564   58.0025
genemark-LAMI0A-processed-gene-1.9-mRNA-1                1215       12        1        8   54.6739   57.7433
genemark-LAMI0A-processed-gene-1.10-mRNA-1               1188       12        1        8   54.6695   58.0006
snap_masked-LAMI0A-processed-gene-1.104-mRNA-1           2226       12        1        8   58.1023   62.6159
genemark-LAMI0A-processed-gene-1.31-mRNA-1               2025       12        1        8   55.5385   59.5241
genemark-LAMI0A-processed-gene-1.12-mRNA-1                570       11        1        8   44.6256   41.6445
genemark-LAMI0A-processed-gene-1.32-mRNA-1                396       10        1        8   51.4604   53.0563
genemark-LAMI0A-processed-gene-1.13-mRNA-1               1833       12        1        8   54.7904   61.4125
snap_masked-LAMI0A-processed-gene-1.107-mRNA-1           3741       12        1        8   58.5374   61.1941
genemark-LAMI0A-processed-gene-1.33-mRNA-1                390       12        1        8   52.6207   60.4353
snap_masked-LAMI0A-processed-gene-1.108-mRNA-1           1122       12        1        8   57.1445   62.6387
genemark-LAMI0A-processed-gene-1.16-mRNA-1                396       12        1        8   55.2178   61.1468
snap_masked-LAMI0A-processed-gene-1.127-mRNA-1           1005       12        1        8   59.1055   61.9544
genemark-LAMI0A-processed-gene-1.17-mRNA-1               1230       12        1        8   49.7969   60.0251
snap_masked-LAMI0A-processed-gene-1.111-mRNA-1           1722       12        1        8   58.2893   61.9648
genemark-LAMI0A-processed-gene-1.19-mRNA-1               1542       12        1        8   53.9594   61.7111
snap_masked-LAMI0A-processed-gene-1.113-mRNA-1           1197       12        1        8   58.9675   62.6100
snap_masked-LAMI0A-processed-gene-1.114-mRNA-1           2394       12        1        8   56.3128   60.8638
augustus_masked-LAMI0A-processed-gene-1.82-mRNA-1        1233       12        1        8   57.4507   62.5561
genemark-LAMI0A-processed-gene-1.21-mRNA-1               2070       12        1        8   57.8795   60.8730
snap_masked-LAMI0A-processed-gene-1.129-mRNA-1           1728       12        1        8   56.5468   60.3233
genemark-LAMI0A-processed-gene-1.37-mRNA-1               1098       12        1        8   55.7370   59.7898
genemark-LAMI0A-processed-gene-1.22-mRNA-1               4215       12        1        8   58.8637   61.7875
genemark-LAMI0A-processed-gene-1.23-mRNA-1               1086       12        1        8   57.3471   62.2909
snap_masked-LAMI0A-processed-gene-1.131-mRNA-1           1554       12        1        8   57.5120   61.7450
genemark-LAMI0A-processed-gene-1.39-mRNA-1               2355       12        1        8   59.9575   62.8144
genemark-LAMI0A-processed-gene-1.24-mRNA-1                780       12        1        8   49.7658   56.6365
genemark-LAMI0A-processed-gene-1.40-mRNA-1               2043       12        1        8   58.1077   62.6245
genemark-LAMI0A-processed-gene-1.41-mRNA-1                513       12        1        8   52.2595   54.2070
genemark-LAMI0A-processed-gene-1.25-mRNA-1               1593       12        1        8   58.1153   62.1443
genemark-LAMI0A-processed-gene-1.26-mRNA-1               1353       12        1        8   56.5867   60.7236
genemark-LAMI0A-processed-gene-1.27-mRNA-1                831       12        1        8   51.8993   56.7510
genemark-LAMI0A-processed-gene-1.28-mRNA-1               6141       12        1        8   50.4170   61.5618
genemark-LAMI0A-processed-gene-1.42-mRNA-1                849       12        1        8   56.6947   61.3743
genemark-LAMI0A-processed-gene-1.29-mRNA-1               1272       12        1        8   56.7907   62.0465
genemark-LAMI0A-processed-gene-1.43-mRNA-1                729       12        1        8   55.0485   61.8729
maker-LAMI0A-augustus-gene-1.142-mRNA-1                  4257       12        1        8   58.9786   62.8233
genemark-LAMI0A-processed-gene-1.30-mRNA-1               2811       12        1        8   58.6626   60.9118
augustus_masked-LAMI0A-processed-gene-2.52-mRNA-1        3039       12        1        8   59.9699   62.1544
genemark-LAMI0A-processed-gene-2.0-mRNA-1                 321       11        1        8   56.4944   62.3126
augustus_masked-LAMI0A-processed-gene-2.53-mRNA-1        1410       12        1        8   57.4116   60.3028
snap_masked-LAMI0A-processed-gene-2.93-mRNA-1             339       10        1        8   46.8458   60.9877
genemark-LAMI0A-processed-gene-2.6-mRNA-1                1059       12        1        8   57.2420   62.0503
genemark-LAMI0A-processed-gene-2.7-mRNA-1                2025       12        1        8   56.7520   59.6561
augustus_masked-LAMI0A-processed-gene-2.51-mRNA-1        3054       12        1        8   60.0686   62.0824
augustus_masked-LAMI0A-processed-gene-2.75-mRNA-1         840       12        1        8   55.5002   60.0033
genemark-LAMI0A-processed-gene-2.27-mRNA-1               2004       12        1        8   60.2131   62.8069
snap_masked-LAMI0A-processed-gene-2.100-mRNA-1            390       12        1        8   54.1772   59.7358
genemark-LAMI0A-processed-gene-2.8-mRNA-1                2013       12        1        8   59.1988   61.5531
genemark-LAMI0A-processed-gene-2.28-mRNA-1                498       12        1        8   52.2323   53.2346
genemark-LAMI0A-processed-gene-2.9-mRNA-1                1833       12        1        8   54.7419   56.6735
genemark-LAMI0A-processed-gene-2.10-mRNA-1               3792       12        1        8   58.9969   62.3385
augustus_masked-LAMI0A-processed-gene-2.78-mRNA-1         585       12        1        8   55.6190   62.7921
genemark-LAMI0A-processed-gene-2.11-mRNA-1               2325       12        1        8   58.1840   61.4284
augustus_masked-LAMI0A-processed-gene-2.60-mRNA-1        1938       12        1        8   58.7717   62.9200
augustus_masked-LAMI0A-processed-gene-2.62-mRNA-1        1131       10        1        8   44.9380   54.6454
genemark-LAMI0A-processed-gene-2.14-mRNA-1               1254       12        1        8   57.4747   62.6515
genemark-LAMI0A-processed-gene-2.30-mRNA-1                822       12        1        8   54.9547   61.6296
augustus_masked-LAMI0A-processed-gene-2.64-mRNA-1        1305       12        1        8   57.9904   62.5569
genemark-LAMI0A-processed-gene-2.31-mRNA-1                657       11        1        7   50.9232   57.0817
snap_masked-LAMI0A-processed-gene-2.111-mRNA-1            297       12        1        8   54.1546   60.2249
augustus_masked-LAMI0A-processed-gene-2.81-mRNA-1         915       12        1        8   56.3370   62.2913
snap_masked-LAMI0A-processed-gene-2.112-mRNA-1            468       12        1        8   55.8121   61.0323
maker-LAMI0A-augustus-gene-2.47-mRNA-1                   2127       12        1        8   60.5008   62.8859
genemark-LAMI0A-processed-gene-2.17-mRNA-1               2889       12        1        8   57.9776   62.6830
maker-LAMI0A-snap-gene-2.44-mRNA-1                       3663       12        1        8   59.8727   62.8704
augustus_masked-LAMI0A-processed-gene-2.83-mRNA-1        2631       12        1        8   58.4988   62.5605
genemark-LAMI0A-processed-gene-2.20-mRNA-1                393       11        1        8   54.3668   60.6457
genemark-LAMI0A-processed-gene-2.21-mRNA-1               3978       12        1        8   59.5838   62.3789
genemark-LAMI0A-processed-gene-2.35-mRNA-1                600       12        1        8   54.9015   60.7377
genemark-LAMI0A-processed-gene-2.22-mRNA-1               4857       12        1        8   59.3885   61.5920
genemark-LAMI0A-processed-gene-2.36-mRNA-1               3234       12        1        8   58.3756   60.3750
genemark-LAMI0A-processed-gene-2.23-mRNA-1               2622       12        1        8   58.7551   62.3735
augustus_masked-LAMI0A-processed-gene-2.86-mRNA-1        2061       12        1        8   57.1595   60.6647
genemark-LAMI0A-processed-gene-2.38-mRNA-1               1278       12        1        8   57.1786   62.8591
augustus_masked-LAMI0A-processed-gene-2.73-mRNA-1        1836       12        1        8   59.0034   62.8972
maker-LAMI0A-snap-gene-2.45-mRNA-1                       1920       12        1        8   59.4045   62.6336
genemark-LAMI0A-processed-gene-2.39-mRNA-1               1080       12        1        8   47.1260   58.5424
genemark-LAMI0A-processed-gene-2.40-mRNA-1               1884       12        1        8   55.9451   60.5502
genemark-LAMI0A-processed-gene-2.41-mRNA-1               1437       12        1        8   52.8785   59.9733
genemark-LAMI0A-processed-gene-2.42-mRNA-1               1395       12        1        8   57.3371   62.1723
augustus_masked-LAMI0A-processed-gene-2.91-mRNA-1         444       11        1        8   56.4710   62.1092
snap_masked-LAMI0A-processed-gene-3.0-mRNA-1              657       12        1        8   54.1909   58.5997
genemark-LAMI0A-processed-gene-3.107-mRNA-1              1044       12        1        8   49.3869   50.2463
snap_masked-LAMI0A-processed-gene-3.4-mRNA-1              327       11        1        8   49.0813   44.7597
genemark-LAMI0A-processed-gene-3.111-mRNA-1               939       12        1        8   54.6786   59.7374
snap_masked-LAMI0A-processed-gene-3.1-mRNA-1              726       12        1        8   55.7130   60.2843
genemark-LAMI0A-processed-gene-3.109-mRNA-1               753       12        1        8   51.4192   58.1829
genemark-LAMI0A-processed-gene-3.112-mRNA-1               798       12        1        8   52.4197   52.3821
genemark-LAMI0A-processed-gene-3.110-mRNA-1              1221       11        1        8   39.9709   40.0581
genemark-LAMI0A-processed-gene-3.113-mRNA-1              1035       12        1        8   45.2323   44.3600
genemark-LAMI0A-processed-gene-3.135-mRNA-1              1032       12        1        8   50.4479   52.1223
genemark-LAMI0A-processed-gene-3.136-mRNA-1              3762       12        1        8   58.6493   62.0025
snap_masked-LAMI0A-processed-gene-3.9-mRNA-1              525       12        1        8   53.7624   60.2023
genemark-LAMI0A-processed-gene-3.137-mRNA-1              1923       12        1        8   58.6108   62.0659
snap_masked-LAMI0A-processed-gene-3.34-mRNA-1            1752       12        1        8   59.0751   62.7566
genemark-LAMI0A-processed-gene-3.115-mRNA-1              2067       12        1        8   59.1226   62.5328
snap_masked-LAMI0A-processed-gene-3.11-mRNA-1            1869       12        1        8   57.0680   60.9942
genemark-LAMI0A-processed-gene-3.139-mRNA-1               387       11        1        8   47.6071   61.0643
genemark-LAMI0A-processed-gene-3.117-mRNA-1              1761       12        1        8   57.4611   61.1703
genemark-LAMI0A-processed-gene-3.140-mRNA-1               321       12        1        8   53.8106   59.3126
genemark-LAMI0A-processed-gene-3.118-mRNA-1               300       11        1        8   55.6610   62.7573
genemark-LAMI0A-processed-gene-3.119-mRNA-1               903       12        1        8   57.5965   61.1040
genemark-LAMI0A-processed-gene-3.120-mRNA-1              4032       12        1        8   54.5523   61.6404
genemark-LAMI0A-processed-gene-3.141-mRNA-1               924       12        1        8   49.3712   60.1635
genemark-LAMI0A-processed-gene-3.121-mRNA-1               669       12        1        8   56.2218   59.7753
genemark-LAMI0A-processed-gene-3.142-mRNA-1              1008       12        1        8   57.7804   62.7100
genemark-LAMI0A-processed-gene-3.143-mRNA-1               312       10        1        7   46.4751   59.9176
genemark-LAMI0A-processed-gene-3.122-mRNA-1               975       12        1        8   55.1471   59.8444
genemark-LAMI0A-processed-gene-3.144-mRNA-1              4371       12        1        8   58.6297   61.7270
augustus_masked-LAMI0A-processed-gene-3.91-mRNA-1        2955       12        1        8   56.1492   60.8488
genemark-LAMI0A-processed-gene-3.123-mRNA-1              5148       12        1        8   57.8089   62.3462
snap_masked-LAMI0A-processed-gene-3.19-mRNA-1            1023       12        1        8   55.4100   60.6640
genemark-LAMI0A-processed-gene-3.146-mRNA-1              1014       12        1        8   54.9401   60.6278
snap_masked-LAMI0A-processed-gene-3.20-mRNA-1            1728       12        1        8   58.5079   61.7368
snap_masked-LAMI0A-processed-gene-3.44-mRNA-1             576       12        1        8   55.3730   62.5939
maker-LAMI0A-augustus-gene-3.101-mRNA-1                  5169       12        1        8   58.7031   61.4720
genemark-LAMI0A-processed-gene-3.147-mRNA-1               798       12        1        8   53.9573   59.0062
genemark-LAMI0A-processed-gene-3.148-mRNA-1               705       12        1        8   56.4161   58.6784
genemark-LAMI0A-processed-gene-3.126-mRNA-1               897       12        1        8   53.8931   55.0011
snap_masked-LAMI0A-processed-gene-3.24-mRNA-1             909       11        1        8   56.4638   61.0103
maker-LAMI0A-snap-gene-3.158-mRNA-1                       792       12        1        8   55.2063   62.0713
snap_masked-LAMI0A-processed-gene-3.49-mRNA-1             687       12        1        8   54.7726   62.6902
genemark-LAMI0A-processed-gene-3.129-mRNA-1              1941       12        1        8   58.0220   61.8544
genemark-LAMI0A-processed-gene-3.130-mRNA-1               831       12        1        8   56.8286   61.2923
genemark-LAMI0A-processed-gene-3.152-mRNA-1              1398       12        1        8   56.5181   61.8838
genemark-LAMI0A-processed-gene-3.131-mRNA-1               795       12        1        8   56.5511   60.8554
genemark-LAMI0A-processed-gene-3.132-mRNA-1              1563       12        1        8   55.2312   60.4015
snap_masked-LAMI0A-processed-gene-3.29-mRNA-1             966       11        1        8   55.0393   59.5362
genemark-LAMI0A-processed-gene-3.153-mRNA-1              1341       12        1        8   56.3747   60.9553
genemark-LAMI0A-processed-gene-3.134-mRNA-1              1290       12        1        8   55.8881   60.9005
snap_masked-LAMI0A-processed-gene-3.52-mRNA-1            4143       12        1        8   57.1650   59.6867
snap_masked-LAMI0A-processed-gene-4.92-mRNA-1            3291       12        1        8   57.9847   60.1135
maker-LAMI0A-augustus-gene-4.0-mRNA-1                    2364       12        1        8   52.2872   62.1918
genemark-LAMI0A-processed-gene-4.48-mRNA-1                891       12        1        8   55.1514   61.7170
snap_masked-LAMI0A-processed-gene-4.96-mRNA-1             546       12        1        8   53.3862   58.3061
snap_masked-LAMI0A-processed-gene-4.97-mRNA-1             855       11        1        8   57.8135   60.9464
genemark-LAMI0A-processed-gene-4.51-mRNA-1               1758       12        1        8   57.1555   62.9444
genemark-LAMI0A-processed-gene-4.69-mRNA-1               1128       12        1        8   56.6304   62.5685
genemark-LAMI0A-processed-gene-4.70-mRNA-1                483       10        1        8   54.6028   61.5793
genemark-LAMI0A-processed-gene-4.71-mRNA-1               1608       12        1        8   57.8237   61.6266
genemark-LAMI0A-processed-gene-4.52-mRNA-1               2178       12        1        8   58.3351   62.7617
snap_masked-LAMI0A-processed-gene-4.100-mRNA-1           1872       12        1        8   57.5950   60.9141
maker-LAMI0A-snap-gene-4.44-mRNA-1                       2541       12        1        8   58.0744   61.8884
augustus_masked-LAMI0A-processed-gene-4.9-mRNA-1         1782       12        1        8   56.5717   61.5418
snap_masked-LAMI0A-processed-gene-4.121-mRNA-1           1410       12        1        8   57.5069   61.9211
genemark-LAMI0A-processed-gene-4.55-mRNA-1                978       12        1        8   56.1052   62.5101
genemark-LAMI0A-processed-gene-4.75-mRNA-1               1242       12        1        8   56.4394   60.5381
genemark-LAMI0A-processed-gene-4.56-mRNA-1               2418       12        1        8   53.6584   60.4674
genemark-LAMI0A-processed-gene-4.57-mRNA-1               1758       12        1        8   57.3288   62.7908
snap_masked-LAMI0A-processed-gene-4.123-mRNA-1           1185       12        1        8   56.4654   61.9486
genemark-LAMI0A-processed-gene-4.77-mRNA-1                318       11        1        8   54.5954   60.8026
genemark-LAMI0A-processed-gene-4.79-mRNA-1               1038       12        1        8   53.1677   61.0640
genemark-LAMI0A-processed-gene-4.58-mRNA-1                984       12        1        8   55.7566   60.3789
genemark-LAMI0A-processed-gene-4.59-mRNA-1               2481       12        1        8   57.3169   60.5553
augustus_masked-LAMI0A-processed-gene-4.32-mRNA-1        5241       12        1        8   59.7155   62.5796
snap_masked-LAMI0A-processed-gene-4.108-mRNA-1            939       12        1        8   56.8238   61.0148
genemark-LAMI0A-processed-gene-4.81-mRNA-1               1134       11        1        8   46.1645   47.7104
snap_masked-LAMI0A-processed-gene-4.128-mRNA-1            732       12        1        8   56.5002   61.6328
snap_masked-LAMI0A-processed-gene-4.109-mRNA-1           1104       12        1        8   57.4923   62.4935
genemark-LAMI0A-processed-gene-4.83-mRNA-1                723       11        1        8   55.7407   61.7024
genemark-LAMI0A-processed-gene-4.62-mRNA-1                516       12        1        8   50.2931   58.4687
genemark-LAMI0A-processed-gene-4.84-mRNA-1               1701       12        1        8   58.0123   62.1141
genemark-LAMI0A-processed-gene-4.63-mRNA-1                510       11        1        8   54.8230   60.8354
genemark-LAMI0A-processed-gene-4.64-mRNA-1               3003       12        1        8   58.1671   61.5498
snap_masked-LAMI0A-processed-gene-4.130-mRNA-1            705       12        1        8   56.5784   61.3106
genemark-LAMI0A-processed-gene-4.65-mRNA-1                669       12        1        8   53.2030   62.5689
genemark-LAMI0A-processed-gene-4.86-mRNA-1                774       12        1        8   56.9969   61.7886
snap_masked-LAMI0A-processed-gene-4.114-mRNA-1           1059       12        1        8   55.9975   62.2899
snap_masked-LAMI0A-processed-gene-4.132-mRNA-1           3072       12        1        8   57.9710   60.9147
genemark-LAMI0A-processed-gene-4.88-mRNA-1                594       12        1        8   57.3873   57.6579
snap_masked-LAMI0A-processed-gene-4.115-mRNA-1           1350       12        1        8   54.9915   58.9798
snap_masked-LAMI0A-processed-gene-4.134-mRNA-1           4869       12        1        8   59.3876   61.7270
genemark-LAMI0A-processed-gene-4.90-mRNA-1                876       12        1        8   53.4504   61.8624
genemark-LAMI0A-processed-gene-4.91-mRNA-1               2724       12        1        8   57.2593   62.7269
genemark-LAMI0A-processed-gene-4.68-mRNA-1               1434       12        1        8   58.6961   62.7250
genemark-LAMI0A-processed-gene-5.104-mRNA-1               594       11        1        8   54.5905   62.2039
maker-LAMI0A-augustus-gene-5.0-mRNA-1                    1572       12        1        8   58.3628   61.8047
genemark-LAMI0A-processed-gene-5.101-mRNA-1              3345       12        1        8   58.2317   62.4685
genemark-LAMI0A-processed-gene-5.102-mRNA-1               456       12        1        8   50.6916   62.1377
genemark-LAMI0A-processed-gene-5.107-mRNA-1              1071       12        1        8   56.6428   60.5492
snap_masked-LAMI0A-processed-gene-5.13-mRNA-1            4341       12        1        8   58.6848   61.8454
genemark-LAMI0A-processed-gene-5.131-mRNA-1              4437       12        1        8   60.1164   62.8256
snap_masked-LAMI0A-processed-gene-5.17-mRNA-1            1689       12        1        8   52.5097   57.0675
genemark-LAMI0A-processed-gene-5.109-mRNA-1              3129       12        1        8   38.3645   61.2567
augustus_masked-LAMI0A-processed-gene-5.65-mRNA-1        1839       12        1        8   55.7303   61.8347
augustus_masked-LAMI0A-processed-gene-5.66-mRNA-1         633       11        1        8   56.0314   62.3714
genemark-LAMI0A-processed-gene-5.132-mRNA-1              1476       12        1        8   57.0866   60.9538
genemark-LAMI0A-processed-gene-5.112-mRNA-1               708       12        1        8   52.0631   58.5763
snap_masked-LAMI0A-processed-gene-5.22-mRNA-1            1227       12        1        8   52.2197   56.6601
snap_masked-LAMI0A-processed-gene-5.23-mRNA-1            1236       12        1        8   57.3804   62.1466
genemark-LAMI0A-processed-gene-5.114-mRNA-1              1422       12        1        8   47.6278   62.2447
genemark-LAMI0A-processed-gene-5.133-mRNA-1              1083       11        1        8   54.5456   60.9735
genemark-LAMI0A-processed-gene-5.115-mRNA-1               906       12        1        8   56.2958   61.6822
genemark-LAMI0A-processed-gene-5.134-mRNA-1              2130       12        1        8   57.8843   61.6752
genemark-LAMI0A-processed-gene-5.116-mRNA-1               888       12        1        8   52.0023   61.0542
genemark-LAMI0A-processed-gene-5.117-mRNA-1              1083       12        1        8   47.4953   60.9437
genemark-LAMI0A-processed-gene-5.135-mRNA-1              1431       12        1        8   56.0211   62.8686
genemark-LAMI0A-processed-gene-5.118-mRNA-1               825       12        1        8   59.2899   62.7652
genemark-LAMI0A-processed-gene-5.136-mRNA-1              1080       12        1        8   57.4346   62.0527
genemark-LAMI0A-processed-gene-5.119-mRNA-1              4542       12        1        8   60.2803   61.8105
augustus_masked-LAMI0A-processed-gene-5.92-mRNA-1         732       12        1        8   58.0096   62.2080
genemark-LAMI0A-processed-gene-5.120-mRNA-1              1098       12        1        8   55.3467   61.6930
genemark-LAMI0A-processed-gene-5.138-mRNA-1               900       12        1        8   56.9303   62.5640
snap_masked-LAMI0A-processed-gene-5.31-mRNA-1             903       12        1        8   58.5607   62.2595
genemark-LAMI0A-processed-gene-5.122-mRNA-1              1464       12        1        8   58.2603   62.0434
genemark-LAMI0A-processed-gene-5.123-mRNA-1               543       12        1        8   57.3151   62.9954
genemark-LAMI0A-processed-gene-5.124-mRNA-1              1152       12        1        8   57.8903   61.8636
genemark-LAMI0A-processed-gene-5.139-mRNA-1               990       12        1        8   56.2562   62.0706
augustus_masked-LAMI0A-processed-gene-5.81-mRNA-1        2196       12        1        8   59.7747   62.7318
genemark-LAMI0A-processed-gene-5.140-mRNA-1               750       12        1        7   53.0700   62.0726
genemark-LAMI0A-processed-gene-5.141-mRNA-1              1410       11        1        8   50.5271   53.5302
genemark-LAMI0A-processed-gene-5.127-mRNA-1              1653       12        1        8   57.1459   61.0609
snap_masked-LAMI0A-processed-gene-5.53-mRNA-1            3546       12        1        8   58.3979   61.5990
snap_masked-LAMI0A-processed-gene-5.54-mRNA-1             792       12        1        8   56.8746   62.2163
genemark-LAMI0A-processed-gene-5.143-mRNA-1               930       12        1        8   57.0528   62.1897
maker-LAMI0A-snap-gene-5.147-mRNA-1                      3138       12        1        8   59.9520   62.1168
genemark-LAMI0A-processed-gene-5.128-mRNA-1              7914       12        1        8   60.4591   62.2133
genemark-LAMI0A-processed-gene-5.129-mRNA-1              2268       12        1        8   57.3617   61.6009
genemark-LAMI0A-processed-gene-5.130-mRNA-1              2040       12        1        8   56.5243   61.6253
genemark-LAMI0A-processed-gene-6.3-mRNA-1                1974       12        1        8   57.6064   60.7812
augustus_masked-LAMI0A-processed-gene-6.102-mRNA-1       1236       12        1        8   54.5637   57.3829
snap_masked-LAMI0A-processed-gene-6.55-mRNA-1            1023       12        1        8   55.7416   60.4695
maker-LAMI0A-augustus-gene-6.52-mRNA-1                   3006       12        1        8   54.4634   62.8148
genemark-LAMI0A-processed-gene-6.5-mRNA-1                2010       12        1        8   50.5696   62.4414
genemark-LAMI0A-processed-gene-6.31-mRNA-1                996       12        1        8   55.8790   61.5130
genemark-LAMI0A-processed-gene-6.9-mRNA-1                1083       12        1        8   56.0988   61.0443
genemark-LAMI0A-processed-gene-6.10-mRNA-1                783       12        1        8   56.3356   61.1494
genemark-LAMI0A-processed-gene-6.32-mRNA-1               1518       12        1        8   57.0984   62.5480
genemark-LAMI0A-processed-gene-6.11-mRNA-1               3858       12        1        8   54.3709   60.7536
genemark-LAMI0A-processed-gene-6.12-mRNA-1               1077       12        1        8   57.3121   62.3735
snap_masked-LAMI0A-processed-gene-6.86-mRNA-1            1770       12        1        8   57.6746   60.6406
genemark-LAMI0A-processed-gene-6.13-mRNA-1                456       11        1        8   55.6755   58.7206
genemark-LAMI0A-processed-gene-6.34-mRNA-1               2934       12        1        8   59.6418   62.9313
genemark-LAMI0A-processed-gene-6.14-mRNA-1                477       11        1        8   51.3968   57.3962
snap_masked-LAMI0A-processed-gene-6.89-mRNA-1            2229       12        1        8   59.2008   62.8749
snap_masked-LAMI0A-processed-gene-6.90-mRNA-1             759       12        1        8   55.8775   62.5945
augustus_masked-LAMI0A-processed-gene-6.110-mRNA-1        411       12        1        8   55.1118   55.8233
genemark-LAMI0A-processed-gene-6.37-mRNA-1                447       12        1        8   53.7834   55.9988
snap_masked-LAMI0A-processed-gene-6.91-mRNA-1             633       12        1        8   51.3873   55.5771
genemark-LAMI0A-processed-gene-6.16-mRNA-1               1680       12        1        8   56.5624   61.9634
genemark-LAMI0A-processed-gene-6.17-mRNA-1               2202       12        1        8   59.7288   62.2632
genemark-LAMI0A-processed-gene-6.39-mRNA-1               1317       12        1        8   57.1898   61.9593
