gene_id	tAI	nc	gc3
augustus_masked-NODE_10_length_329645_cov_33.732_ID_19-processed-gene-1.87-mRNA-1	0.384148291689464	53.0892	0.560
snap_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-0.17-mRNA-1	0.355851940039356	55.0569	0.609
augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-6.99-mRNA-1	0.39094692493593	56.8908	0.484
augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-10.189-mRNA-1	0.38441304670994	58.4445	0.526
genemark-NODE_6_length_479438_cov_34.4106_ID_11-processed-gene-1.140-mRNA-1	0.417573517928508	54.7958	0.459
augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-4.21-mRNA-1	0.402281979370083	55.3631	0.468
snap_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-0.36-mRNA-1	0.466517746680811	50.8936	0.476
augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.167-mRNA-1	0.402443482130581	54.6403	0.572
augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-15.71-mRNA-1	0.405889206979135	48.5603	0.715
augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-11.137-mRNA-1	0.477138001861642	45.4224	0.525
augustus_masked-NODE_12_length_307877_cov_37.9028_ID_23-processed-gene-2.53-mRNA-1	0.416605958329263	54.4477	0.558
augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-3.61-mRNA-1	0.370311206401969	54.0054	0.636
augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-0.108-mRNA-1	0.418741258627358	48.8920	0.710
augustus_masked-NODE_15_length_228130_cov_31.8965_ID_29-processed-gene-1.156-mRNA-1	0.410249824432173	50.7202	0.687
augustus_masked-NODE_14_length_249592_cov_34.9232_ID_27-processed-gene-1.216-mRNA-1	0.389242943927384	48.8243	0.670
augustus_masked-NODE_15_length_228130_cov_31.8965_ID_29-processed-gene-1.160-mRNA-1	0.396295004046416	52.7815	0.347
augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-8.19-mRNA-1	0.414663083087439	56.4149	0.570
snap_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-5.152-mRNA-1	0.386905224292492	55.2832	0.557
augustus_masked-NODE_24_length_17440_cov_43.5168_ID_47-processed-gene-0.5-mRNA-1	0.381725159823388	49.3765	0.711
maker-NODE_1_length_1880460_cov_31.0834_ID_1-augustus-gene-4.0-mRNA-1	0.359885118056521	54.6080	0.549
snap_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-2.147-mRNA-1	0.388610145364937	53.2031	0.623
augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-8.75-mRNA-1	0.428603575833653	52.7929	0.479
snap_masked-NODE_16_length_227770_cov_29.655_ID_31-processed-gene-1.41-mRNA-1	0.415565765045855	53.3181	0.498
augustus_masked-NODE_14_length_249592_cov_34.9232_ID_27-processed-gene-0.18-mRNA-1	0.455405312625296	50.9684	0.599
augustus_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-0.126-mRNA-1	0.379070657041416	56.2314	0.612
augustus_masked-NODE_9_length_386304_cov_31.4917_ID_17-processed-gene-2.177-mRNA-1	0.37673775625663	56.5147	0.523
augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-5.127-mRNA-1	0.399384752456547	53.6136	0.423
augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-9.53-mRNA-1	0.38047585300595	57.4248	0.542
augustus_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-1.36-mRNA-1	0.48853734003318	46.8968	0.506
augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-4.19-mRNA-1	0.469637386347775	49.7606	0.475
augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-0.32-mRNA-1	0.382507545404517	54.4367	0.510
augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-7.105-mRNA-1	0.363063202879482	57.7380	0.494
augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-1.138-mRNA-1	0.37542483712602	57.1927	0.416
augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-2.2-mRNA-1	0.434517830585943	54.5086	0.390
snap_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-14.175-mRNA-1	0.412652274379261	49.8469	0.667
snap_masked-NODE_9_length_386304_cov_31.4917_ID_17-processed-gene-2.255-mRNA-1	0.388255040091204	56.8027	0.484
augustus_masked-NODE_6_length_479438_cov_34.4106_ID_11-processed-gene-2.70-mRNA-1	0.436024329012287	51.3222	0.329
augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-5.167-mRNA-1	0.379125106049875	55.5381	0.568
augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-1.140-mRNA-1	0.400401818361286	54.6969	0.444
augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-16.60-mRNA-1	0.407380313159051	52.6730	0.518
augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-10.69-mRNA-1	0.387868700283656	56.0617	0.541
augustus_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-6.126-mRNA-1	0.380767614077632	54.9743	0.434
augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-5.75-mRNA-1	0.464870232986455	47.3227	0.525
