Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
------------------------------------------------------------------------------------------------------------
augustus_masked-SAKL0A-processed-gene-0.7-mRNA-1          966       12        1        8   49.8514   55.3619
augustus_masked-SAKL0A-processed-gene-0.18-mRNA-1         930       12        1        8   56.5265   61.3507
augustus_masked-SAKL0A-processed-gene-0.19-mRNA-1        1752       12        1        8   50.6972   60.9677
augustus_masked-SAKL0A-processed-gene-0.20-mRNA-1         726       12        1        8   50.8481   58.4364
augustus_masked-SAKL0A-processed-gene-0.8-mRNA-1          963       12        1        8   56.2756   61.3495
maker-SAKL0A-augustus-gene-0.3-mRNA-1                    1530       12        1        8   47.5992   57.6601
augustus_masked-SAKL0A-processed-gene-0.10-mRNA-1        1290       12        1        8   52.8389   60.3101
augustus_masked-SAKL0A-processed-gene-0.21-mRNA-1        3837       12        1        8   54.2088   60.4738
genemark-SAKL0A-processed-gene-0.54-mRNA-1                549       12        1        8   52.6534   52.7913
augustus_masked-SAKL0A-processed-gene-0.22-mRNA-1        1335       12        1        8   44.4292   60.6002
maker-SAKL0A-augustus-gene-0.4-mRNA-1                     996       12        1        8   56.5746   60.2647
snap_masked-SAKL0A-processed-gene-0.93-mRNA-1            1467       12        1        8   53.6801   59.5906
augustus_masked-SAKL0A-processed-gene-0.11-mRNA-1        1653       12        1        8   54.5617   59.2229
augustus_masked-SAKL0A-processed-gene-0.25-mRNA-1         642       12        1        8   53.2567   62.1245
augustus_masked-SAKL0A-processed-gene-0.26-mRNA-1        7575       12        1        8   55.9704   61.1802
augustus_masked-SAKL0A-processed-gene-0.12-mRNA-1        3177       12        1        8   58.4663   60.5579
augustus_masked-SAKL0A-processed-gene-0.27-mRNA-1        2601       12        1        8   57.6408   61.6688
augustus_masked-SAKL0A-processed-gene-0.28-mRNA-1         396       12        1        7   54.2360   61.2375
augustus_masked-SAKL0A-processed-gene-0.29-mRNA-1        1020       12        1        8   56.2653   60.7583
snap_masked-SAKL0A-processed-gene-0.81-mRNA-1             555       12        1        8   52.7894   57.5885
augustus_masked-SAKL0A-processed-gene-0.30-mRNA-1        3345       12        1        8   53.0155   55.3125
augustus_masked-SAKL0A-processed-gene-0.31-mRNA-1        1905       12        1        8   52.5092   58.9584
augustus_masked-SAKL0A-processed-gene-0.14-mRNA-1         462       12        1        8   51.7684   62.2899
augustus_masked-SAKL0A-processed-gene-0.32-mRNA-1         531       12        1        8   55.3923   62.3586
augustus_masked-SAKL0A-processed-gene-0.15-mRNA-1        1977       12        1        8   50.7828   58.9717
augustus_masked-SAKL0A-processed-gene-0.33-mRNA-1         612       12        1        8   55.8578   60.4553
snap_masked-SAKL0A-processed-gene-0.104-mRNA-1            762       12        1        8   55.4307   57.9825
augustus_masked-SAKL0A-processed-gene-0.34-mRNA-1        2151       12        1        8   57.6450   61.2866
augustus_masked-SAKL0A-processed-gene-0.16-mRNA-1        1791       12        1        8   54.7489   59.6458
maker-SAKL0A-augustus-gene-0.6-mRNA-1                    1188       12        1        8   49.5376   60.6243
augustus_masked-SAKL0A-processed-gene-0.17-mRNA-1        1098       12        1        8   53.8135   60.3668
augustus_masked-SAKL0A-processed-gene-0.36-mRNA-1         822       12        1        8   55.4152   59.6835
augustus_masked-SAKL0A-processed-gene-0.37-mRNA-1         378       11        1        8   50.7499   55.1969
augustus_masked-SAKL0A-processed-gene-0.38-mRNA-1         378       12        1        8   55.1859   62.3662
augustus_masked-SAKL0A-processed-gene-1.4-mRNA-1         1725       12        1        8   57.5452   61.1655
augustus_masked-SAKL0A-processed-gene-1.5-mRNA-1         5169       12        1        8   57.5413   60.5698
augustus_masked-SAKL0A-processed-gene-1.6-mRNA-1         1914       12        1        8   52.9294   59.4572
augustus_masked-SAKL0A-processed-gene-1.30-mRNA-1        1476       12        1        8   54.5915   60.6861
augustus_masked-SAKL0A-processed-gene-1.8-mRNA-1          486       12        1        8   51.6967   61.2519
augustus_masked-SAKL0A-processed-gene-1.9-mRNA-1          954       12        1        8   52.3998   62.2165
augustus_masked-SAKL0A-processed-gene-1.10-mRNA-1        2550       12        1        8   51.4573   60.3222
augustus_masked-SAKL0A-processed-gene-1.11-mRNA-1         918       12        1        8   57.3579   61.1600
augustus_masked-SAKL0A-processed-gene-1.12-mRNA-1        1596       12        1        8   57.0434   61.3018
maker-SAKL0A-snap-gene-1.0-mRNA-1                        1506       12        1        8   56.1561   62.0604
augustus_masked-SAKL0A-processed-gene-1.13-mRNA-1         750       12        1        8   54.9045   61.9683
augustus_masked-SAKL0A-processed-gene-1.33-mRNA-1         942       12        1        8   54.6426   58.8851
augustus_masked-SAKL0A-processed-gene-1.34-mRNA-1        2259       12        1        8   55.6286   62.3963
augustus_masked-SAKL0A-processed-gene-1.35-mRNA-1        1035       12        1        8   55.7698   62.1546
augustus_masked-SAKL0A-processed-gene-1.15-mRNA-1        4671       12        1        8   56.6617   60.6237
maker-SAKL0A-augustus-gene-1.1-mRNA-1                    1947       12        1        8   53.6580   60.5042
augustus_masked-SAKL0A-processed-gene-1.36-mRNA-1        1626       12        1        8   54.6139   61.7599
augustus_masked-SAKL0A-processed-gene-1.17-mRNA-1        1221       12        1        8   56.6589   62.4305
augustus_masked-SAKL0A-processed-gene-1.37-mRNA-1         927       12        1        8   52.1440   61.6595
augustus_masked-SAKL0A-processed-gene-1.18-mRNA-1        2307       12        1        8   58.4584   62.4226
augustus_masked-SAKL0A-processed-gene-1.38-mRNA-1        1611       12        1        8   58.8099   62.0697
augustus_masked-SAKL0A-processed-gene-1.39-mRNA-1         903       12        1        8   53.2084   62.8548
augustus_masked-SAKL0A-processed-gene-1.19-mRNA-1        2967       12        1        8   56.1165   60.2147
augustus_masked-SAKL0A-processed-gene-1.40-mRNA-1        1401       12        1        8   53.4232   57.7355
snap_masked-SAKL0A-processed-gene-1.138-mRNA-1           2157       12        1        8   55.3014   59.2660
snap_masked-SAKL0A-processed-gene-1.139-mRNA-1           1872       12        1        8   55.3730   61.2620
snap_masked-SAKL0A-processed-gene-1.117-mRNA-1           5079       12        1        8   57.1443   60.3021
augustus_masked-SAKL0A-processed-gene-1.42-mRNA-1         381       11        1        7   57.1448   60.7170
augustus_masked-SAKL0A-processed-gene-1.21-mRNA-1         813       12        1        8   51.8302   56.6009
augustus_masked-SAKL0A-processed-gene-1.43-mRNA-1         498       11        1        8   56.6420   60.4107
augustus_masked-SAKL0A-processed-gene-1.22-mRNA-1        2724       12        1        8   51.4541   57.7325
augustus_masked-SAKL0A-processed-gene-1.23-mRNA-1        1617       12        1        8   54.6313   57.6665
augustus_masked-SAKL0A-processed-gene-1.44-mRNA-1        1527       12        1        8   44.4576   60.8964
snap_masked-SAKL0A-processed-gene-1.143-mRNA-1           1416       12        1        8   55.9059   62.1895
augustus_masked-SAKL0A-processed-gene-1.24-mRNA-1         399       11        1        8   51.7166   61.5145
maker-SAKL0A-augustus-gene-1.2-mRNA-1                    1809       12        1        8   53.9672   62.6279
augustus_masked-SAKL0A-processed-gene-1.25-mRNA-1         735       12        1        8   54.5501   59.2712
augustus_masked-SAKL0A-processed-gene-1.48-mRNA-1        1749       12        1        8   55.5127   60.8947
augustus_masked-SAKL0A-processed-gene-1.26-mRNA-1         801       12        1        8   53.0486   60.5255
augustus_masked-SAKL0A-processed-gene-1.27-mRNA-1         513       12        1        8   50.3012   60.0453
augustus_masked-SAKL0A-processed-gene-1.49-mRNA-1         663       12        1        8   48.5147   62.6151
augustus_masked-SAKL0A-processed-gene-1.28-mRNA-1        1434       12        1        8   55.8331   59.2639
augustus_masked-SAKL0A-processed-gene-1.50-mRNA-1         660       12        1        8   51.0291   60.1980
augustus_masked-SAKL0A-processed-gene-1.29-mRNA-1        6690       12        1        8   43.3196   60.7254
augustus_masked-SAKL0A-processed-gene-1.51-mRNA-1        1188       12        1        8   53.6898   61.1253
snap_masked-SAKL0A-processed-gene-2.97-mRNA-1            3966       12        1        8   59.7126   62.4167
snap_masked-SAKL0A-processed-gene-2.99-mRNA-1             852       12        1        8   56.5542   57.7997
augustus_masked-SAKL0A-processed-gene-2.8-mRNA-1         2508       12        1        8   53.1767   61.6038
augustus_masked-SAKL0A-processed-gene-2.10-mRNA-1        1521       12        1        8   56.2420   60.3790
augustus_masked-SAKL0A-processed-gene-2.11-mRNA-1        2670       12        1        8   55.3740   59.3194
augustus_masked-SAKL0A-processed-gene-2.26-mRNA-1        3453       12        1        8   54.1987   56.9707
augustus_masked-SAKL0A-processed-gene-2.12-mRNA-1         963       12        1        8   52.6354   61.4515
augustus_masked-SAKL0A-processed-gene-2.13-mRNA-1        2886       12        1        8   42.7593   60.1148
augustus_masked-SAKL0A-processed-gene-2.14-mRNA-1        1233       12        1        8   55.1845   59.1490
augustus_masked-SAKL0A-processed-gene-2.27-mRNA-1        1164       12        1        8   44.2335   60.6698
augustus_masked-SAKL0A-processed-gene-2.28-mRNA-1         357       12        1        7   57.5974   61.6945
augustus_masked-SAKL0A-processed-gene-2.29-mRNA-1         663       12        1        8   49.3414   60.3395
snap_masked-SAKL0A-processed-gene-2.123-mRNA-1            612       12        1        8   50.4355   59.2828
augustus_masked-SAKL0A-processed-gene-2.31-mRNA-1        1890       12        1        8   55.0195   61.4449
augustus_masked-SAKL0A-processed-gene-2.15-mRNA-1        1860       12        1        8   56.8974   61.3962
augustus_masked-SAKL0A-processed-gene-2.32-mRNA-1        1845       12        1        8   56.5254   59.6631
augustus_masked-SAKL0A-processed-gene-2.33-mRNA-1         753       12        1        8   52.1705   60.6351
augustus_masked-SAKL0A-processed-gene-2.34-mRNA-1        1539       12        1        8   56.2387   61.8618
augustus_masked-SAKL0A-processed-gene-2.35-mRNA-1        1074       12        1        8   57.9383   61.9597
augustus_masked-SAKL0A-processed-gene-2.16-mRNA-1        1170       12        1        8   57.4213   62.1786
augustus_masked-SAKL0A-processed-gene-2.17-mRNA-1        1329       12        1        8   58.3928   62.1136
augustus_masked-SAKL0A-processed-gene-2.36-mRNA-1        1842       12        1        8   58.3913   60.8744
augustus_masked-SAKL0A-processed-gene-2.37-mRNA-1         483       12        1        8   50.4158   58.2815
augustus_masked-SAKL0A-processed-gene-2.18-mRNA-1         651       11        1        8   57.1963   60.8905
snap_masked-SAKL0A-processed-gene-2.131-mRNA-1           3261       12        1        8   57.1584   62.6708
snap_masked-SAKL0A-processed-gene-2.132-mRNA-1            363       12        1        6   52.3897   58.7589
augustus_masked-SAKL0A-processed-gene-2.39-mRNA-1         612       11        1        8   57.2994   62.1963
augustus_masked-SAKL0A-processed-gene-2.20-mRNA-1         831       12        1        8   48.1291   59.7843
maker-SAKL0A-snap-gene-2.4-mRNA-1                        1077       11        1        8   46.1051   61.3378
augustus_masked-SAKL0A-processed-gene-2.41-mRNA-1        2610       12        1        8   56.4380   60.4480
snap_masked-SAKL0A-processed-gene-2.137-mRNA-1           1092       12        1        8   56.7677   62.3055
augustus_masked-SAKL0A-processed-gene-2.43-mRNA-1        2232       12        1        8   59.0675   61.7740
snap_masked-SAKL0A-processed-gene-2.139-mRNA-1            348       11        1        8   54.3945   59.4930
augustus_masked-SAKL0A-processed-gene-2.21-mRNA-1        4221       12        1        8   57.4980   60.0790
augustus_masked-SAKL0A-processed-gene-2.45-mRNA-1        1713       12        1        8   52.4543   61.3520
augustus_masked-SAKL0A-processed-gene-2.46-mRNA-1        4251       12        1        8   55.9922   61.6632
augustus_masked-SAKL0A-processed-gene-2.22-mRNA-1         690       11        1        8   52.7771   60.9827
augustus_masked-SAKL0A-processed-gene-2.47-mRNA-1         795       12        1        7   54.5937   61.6558
augustus_masked-SAKL0A-processed-gene-2.23-mRNA-1        1338       12        1        8   56.5527   59.7487
augustus_masked-SAKL0A-processed-gene-2.48-mRNA-1         963       12        1        8   52.0881   59.6849
augustus_masked-SAKL0A-processed-gene-2.49-mRNA-1        1008       12        1        8   54.8203   59.6338
snap_masked-SAKL0A-processed-gene-2.116-mRNA-1           1749       12        1        8   55.0840   61.8451
snap_masked-SAKL0A-processed-gene-2.117-mRNA-1           1281       12        1        8   55.4076   61.0116
augustus_masked-SAKL0A-processed-gene-2.25-mRNA-1        1761       12        1        8   57.8756   62.3645
augustus_masked-SAKL0A-processed-gene-3.1-mRNA-1          942       12        1        8   55.3088   59.9268
augustus_masked-SAKL0A-processed-gene-3.2-mRNA-1         4656       12        1        8   55.7786   60.1347
augustus_masked-SAKL0A-processed-gene-3.3-mRNA-1          798       12        1        8   54.0301   56.0798
augustus_masked-SAKL0A-processed-gene-3.4-mRNA-1         2115       11        1        8   39.2585   62.6382
augustus_masked-SAKL0A-processed-gene-3.5-mRNA-1         2940       12        1        8   57.4560   60.0785
augustus_masked-SAKL0A-processed-gene-3.27-mRNA-1         540       11        1        8   52.9717   56.4200
snap_masked-SAKL0A-processed-gene-3.113-mRNA-1           1089       12        1        8   55.3272   61.1607
augustus_masked-SAKL0A-processed-gene-3.8-mRNA-1         1413       12        1        8   53.6572   61.6813
augustus_masked-SAKL0A-processed-gene-3.29-mRNA-1         489       12        1        7   47.4371   54.8660
augustus_masked-SAKL0A-processed-gene-3.9-mRNA-1          648       11        1        8   54.1246   56.9771
augustus_masked-SAKL0A-processed-gene-3.10-mRNA-1         873       12        1        8   52.8531   61.6949
augustus_masked-SAKL0A-processed-gene-3.11-mRNA-1        5667       12        1        8   41.7224   60.8777
augustus_masked-SAKL0A-processed-gene-3.12-mRNA-1         963       12        1        8   53.6480   59.9099
augustus_masked-SAKL0A-processed-gene-3.13-mRNA-1         402       12        1        7   57.8405   61.7952
augustus_masked-SAKL0A-processed-gene-3.14-mRNA-1        1518       12        1        8   55.3354   62.3239
augustus_masked-SAKL0A-processed-gene-3.30-mRNA-1         999       12        1        8   53.9677   59.6467
augustus_masked-SAKL0A-processed-gene-3.31-mRNA-1        2133       12        1        8   58.4714   62.4033
augustus_masked-SAKL0A-processed-gene-3.15-mRNA-1        3534       12        1        8   47.5513   60.6530
augustus_masked-SAKL0A-processed-gene-3.32-mRNA-1         819       12        1        8   56.3062   59.2346
augustus_masked-SAKL0A-processed-gene-3.16-mRNA-1         435       11        1        8   51.5805   60.4123
augustus_masked-SAKL0A-processed-gene-3.33-mRNA-1        1530       12        1        8   52.3611   60.0719
augustus_masked-SAKL0A-processed-gene-3.34-mRNA-1        4887       12        1        8   56.8652   59.5747
augustus_masked-SAKL0A-processed-gene-3.35-mRNA-1         513       11        1        8   55.2423   62.0482
augustus_masked-SAKL0A-processed-gene-3.36-mRNA-1        1416       10        1        6   39.0657   54.1956
genemark-SAKL0A-processed-gene-3.78-mRNA-1               1968       12        1        8   58.9255   62.3751
genemark-SAKL0A-processed-gene-3.59-mRNA-1               2016       12        1        8   56.9659   60.1174
snap_masked-SAKL0A-processed-gene-3.101-mRNA-1           1152       12        1        8   56.2153   60.3683
snap_masked-SAKL0A-processed-gene-3.102-mRNA-1           3120       12        1        8   59.4696   62.5855
snap_masked-SAKL0A-processed-gene-3.103-mRNA-1           2394       12        1        8   54.1374   60.5460
augustus_masked-SAKL0A-processed-gene-3.38-mRNA-1        1467       12        1        8   57.7107   60.0411
augustus_masked-SAKL0A-processed-gene-3.19-mRNA-1        2631       12        1        8   53.0179   60.5677
augustus_masked-SAKL0A-processed-gene-3.39-mRNA-1         942       12        1        8   56.8715   59.0293
augustus_masked-SAKL0A-processed-gene-3.20-mRNA-1         648       11        1        8   38.9296   58.9892
augustus_masked-SAKL0A-processed-gene-3.21-mRNA-1        1500       12        1        8   58.8398   62.5925
augustus_masked-SAKL0A-processed-gene-3.22-mRNA-1         561       11        1        8   44.9204   58.6708
augustus_masked-SAKL0A-processed-gene-3.40-mRNA-1        3492       12        1        8   48.5019   58.4673
augustus_masked-SAKL0A-processed-gene-3.23-mRNA-1        3537       12        1        8   56.0075   60.9413
augustus_masked-SAKL0A-processed-gene-3.24-mRNA-1        1101       12        1        8   53.7438   60.5349
augustus_masked-SAKL0A-processed-gene-3.41-mRNA-1        1611       12        1        8   52.4280   57.3165
augustus_masked-SAKL0A-processed-gene-3.25-mRNA-1         705       12        1        8   55.3009   58.4324
augustus_masked-SAKL0A-processed-gene-3.42-mRNA-1        4830       12        1        8   55.0735   58.9151
augustus_masked-SAKL0A-processed-gene-3.26-mRNA-1        1392       12        1        8   54.1139   60.0661
augustus_masked-SAKL0A-processed-gene-4.4-mRNA-1         1320       12        1        8   51.5025   58.9589
maker-SAKL0A-augustus-gene-4.53-mRNA-1                   1572       12        1        8   51.2386   59.8776
augustus_masked-SAKL0A-processed-gene-4.0-mRNA-1          540       12        1        8   50.3952   59.6720
augustus_masked-SAKL0A-processed-gene-4.6-mRNA-1         1860       12        1        8   54.9792   60.7581
snap_masked-SAKL0A-processed-gene-4.58-mRNA-1            1695       12        1        8   55.8120   59.5110
augustus_masked-SAKL0A-processed-gene-4.7-mRNA-1         1197       12        1        8   56.8566   61.5409
