gene_id	tAI	nc	gc3
snap_masked-NODE_4_length_673627_cov_21.8364_ID_7-processed-gene-5.176-mRNA-1	0.291219404349009	53.5681	0.560
augustus_masked-NODE_9_length_509433_cov_21.618_ID_17-processed-gene-2.141-mRNA-1	0.358737245714034	42.3055	0.733
maker-NODE_27_length_157832_cov_21.7802_ID_53-augustus-gene-0.276-mRNA-1	0.236108188462296	58.2834	0.395
genemark-NODE_39_length_83132_cov_20.8101_ID_77-processed-gene-0.66-mRNA-1	0.249343109375154	55.0483	0.560
augustus_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-2.74-mRNA-1	0.260161862038795	54.8510	0.388
maker-NODE_2_length_891861_cov_21.8302_ID_3-snap-gene-6.106-mRNA-1	0.264859984440981	57.4088	0.414
snap_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-2.112-mRNA-1	0.259918631366695	56.8537	0.534
maker-NODE_38_length_83655_cov_21.3951_ID_75-snap-gene-0.38-mRNA-1	0.238755294481828	58.7347	0.464
snap_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-4.163-mRNA-1	0.237530945719445	57.6855	0.386
maker-NODE_4_length_673627_cov_21.8364_ID_7-snap-gene-4.122-mRNA-1	0.270069957450248	54.3867	0.437
augustus_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-0.171-mRNA-1	0.257931354585312	55.9164	0.541
maker-NODE_8_length_529058_cov_21.6031_ID_15-snap-gene-3.132-mRNA-1	0.220899480695317	57.5470	0.386
maker-NODE_3_length_834750_cov_21.9249_ID_5-snap-gene-7.142-mRNA-1	0.306249263394152	55.2719	0.498
snap_masked-NODE_9_length_509433_cov_21.618_ID_17-processed-gene-1.98-mRNA-1	0.241792545460338	57.4847	0.511
augustus_masked-NODE_34_length_111211_cov_21.3373_ID_67-processed-gene-0.72-mRNA-1	0.238935748002635	58.1843	0.414
snap_masked-NODE_5_length_616858_cov_21.8676_ID_9-processed-gene-1.12-mRNA-1	0.226732166973932	57.4633	0.409
snap_masked-NODE_25_length_189752_cov_21.6608_ID_49-processed-gene-0.174-mRNA-1	0.239080532354482	54.9418	0.347
snap_masked-NODE_17_length_337742_cov_21.7864_ID_33-processed-gene-0.131-mRNA-1	0.268722298437521	51.6502	0.580
genemark-NODE_16_length_344319_cov_21.9001_ID_31-processed-gene-1.140-mRNA-1	0.263925310361507	54.0258	0.371
snap_masked-NODE_15_length_346321_cov_21.575_ID_29-processed-gene-0.63-mRNA-1	0.230507369572087	54.0277	0.452
maker-NODE_11_length_473546_cov_21.5278_ID_21-snap-gene-3.275-mRNA-1	0.296442533738868	52.0929	0.577
snap_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-5.57-mRNA-1	0.211475229459821	56.3078	0.422
maker-NODE_8_length_529058_cov_21.6031_ID_15-snap-gene-4.216-mRNA-1	0.242206353753371	55.9600	0.375
snap_masked-NODE_6_length_613558_cov_21.9661_ID_11-processed-gene-2.10-mRNA-1	0.257767288937631	54.1115	0.450
snap_masked-NODE_4_length_673627_cov_21.8364_ID_7-processed-gene-4.10-mRNA-1	0.213855312318691	56.7058	0.377
snap_masked-NODE_21_length_287349_cov_21.5713_ID_41-processed-gene-1.75-mRNA-1	0.249993838334247	56.5337	0.469
maker-NODE_31_length_123011_cov_21.5885_ID_61-snap-gene-0.88-mRNA-1	0.224534996875156	58.8653	0.407
maker-NODE_19_length_326145_cov_21.5349_ID_37-snap-gene-1.106-mRNA-1	0.257469396317199	53.7546	0.449
snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-1.94-mRNA-1	0.2820200587974	57.1475	0.482
snap_masked-NODE_28_length_145818_cov_21.8846_ID_55-processed-gene-0.224-mRNA-1	0.245456778682625	57.8739	0.398
snap_masked-NODE_43_length_61133_cov_21.7677_ID_85-processed-gene-0.0-mRNA-1	0.283688858917741	51.6168	0.553
snap_masked-NODE_32_length_122121_cov_22.1876_ID_63-processed-gene-0.141-mRNA-1	0.316868849353031	51.6549	0.537
maker-NODE_3_length_834750_cov_21.9249_ID_5-snap-gene-6.79-mRNA-1	0.26541486435426	54.1683	0.552
maker-NODE_20_length_323102_cov_21.8934_ID_39-snap-gene-2.88-mRNA-1	0.241495506484925	57.3036	0.424
augustus_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-2.26-mRNA-1	0.257886316248449	58.3839	0.450
snap_masked-NODE_31_length_123011_cov_21.5885_ID_61-processed-gene-0.159-mRNA-1	0.309309975378923	52.5407	0.522
snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-3.204-mRNA-1	0.247987413204046	59.2955	0.423
maker-NODE_16_length_344319_cov_21.9001_ID_31-augustus-gene-0.111-mRNA-1	0.240411985783989	56.8621	0.379
snap_masked-NODE_41_length_80159_cov_21.486_ID_81-processed-gene-0.40-mRNA-1	0.198141044745082	55.5333	0.376
augustus_masked-NODE_16_length_344319_cov_21.9001_ID_31-processed-gene-0.149-mRNA-1	0.233407527659327	58.6126	0.452
snap_masked-NODE_11_length_473546_cov_21.5278_ID_21-processed-gene-0.127-mRNA-1	0.250908723855891	57.3249	0.417
snap_masked-NODE_17_length_337742_cov_21.7864_ID_33-processed-gene-2.144-mRNA-1	0.227054918792643	53.0429	0.318
maker-NODE_8_length_529058_cov_21.6031_ID_15-snap-gene-3.134-mRNA-1	0.244770633246566	58.2654	0.416
maker-NODE_7_length_563888_cov_21.4671_ID_13-snap-gene-1.150-mRNA-1	0.341612065530058	52.3356	0.601
genemark-NODE_27_length_157832_cov_21.7802_ID_53-processed-gene-0.116-mRNA-1	0.241757740774685	55.6196	0.378
snap_masked-NODE_23_length_242483_cov_21.5341_ID_45-processed-gene-1.126-mRNA-1	0.301014577285438	50.8483	0.569
maker-NODE_2_length_891861_cov_21.8302_ID_3-snap-gene-7.103-mRNA-1	0.232364352585809	57.3060	0.376
maker-NODE_1_length_933472_cov_21.5653_ID_1-snap-gene-3.95-mRNA-1	0.245908971297329	57.0901	0.402
maker-NODE_9_length_509433_cov_21.618_ID_17-snap-gene-0.60-mRNA-1	0.209873227586586	56.4691	0.395
snap_masked-NODE_15_length_346321_cov_21.575_ID_29-processed-gene-2.68-mRNA-1	0.217201749717278	56.6704	0.396
snap_masked-NODE_17_length_337742_cov_21.7864_ID_33-processed-gene-2.159-mRNA-1	0.24951678432313	57.4588	0.411
maker-NODE_5_length_616858_cov_21.8676_ID_9-augustus-gene-4.173-mRNA-1	0.219480020160217	57.7867	0.391
genemark-NODE_8_length_529058_cov_21.6031_ID_15-processed-gene-1.79-mRNA-1	0.273305717947102	56.4294	0.413
