Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                           SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------
augustus_masked-flattened_line_0-processed-gene-0.20-mRNA-1         1452       12        1        8   55.6587   59.6252
augustus_masked-flattened_line_0-processed-gene-0.3-mRNA-1           861       11        1        8   53.0526   61.0030
augustus_masked-flattened_line_0-processed-gene-0.21-mRNA-1          438       12        1        8   55.1449   57.4818
augustus_masked-flattened_line_0-processed-gene-0.5-mRNA-1           885       11        1        8   54.3127   61.2603
augustus_masked-flattened_line_0-processed-gene-0.22-mRNA-1          657       12        1        8   49.9331   56.9801
augustus_masked-flattened_line_0-processed-gene-0.6-mRNA-1          2265       12        1        8   54.6537   57.1956
augustus_masked-flattened_line_0-processed-gene-0.23-mRNA-1         1206       12        1        8   49.3625   56.9357
augustus_masked-flattened_line_0-processed-gene-0.7-mRNA-1          1347       12        1        8   54.2284   59.1201
snap_masked-flattened_line_0-processed-gene-0.61-mRNA-1             1413       12        1        8   53.8171   55.9515
augustus_masked-flattened_line_0-processed-gene-0.25-mRNA-1         1473       12        1        8   52.5005   55.9890
augustus_masked-flattened_line_0-processed-gene-0.8-mRNA-1          1713       12        1        8   48.4009   56.8892
augustus_masked-flattened_line_0-processed-gene-0.9-mRNA-1          1197       11        1        8   50.1795   55.3117
maker-flattened_line_0-augustus-gene-0.78-mRNA-1                    1371       12        1        8   52.2690   54.4625
augustus_masked-flattened_line_0-processed-gene-0.26-mRNA-1         1089       12        1        8   55.8904   59.8070
augustus_masked-flattened_line_0-processed-gene-0.11-mRNA-1         1566       12        1        8   51.1095   59.2052
augustus_masked-flattened_line_0-processed-gene-0.27-mRNA-1         3060       12        1        8   55.3832   57.4164
augustus_masked-flattened_line_0-processed-gene-0.12-mRNA-1          879       11        1        8   57.0928   62.6139
augustus_masked-flattened_line_0-processed-gene-0.28-mRNA-1         1557       12        1        8   55.7394   60.1902
augustus_masked-flattened_line_0-processed-gene-0.29-mRNA-1          960       12        1        8   44.1285   55.6296
augustus_masked-flattened_line_0-processed-gene-0.30-mRNA-1         1599       12        1        8   54.0420   56.3895
augustus_masked-flattened_line_0-processed-gene-0.13-mRNA-1         1125       12        1        8   54.3329   59.4246
augustus_masked-flattened_line_0-processed-gene-0.31-mRNA-1         1761       12        1        8   54.1008   56.9529
augustus_masked-flattened_line_0-processed-gene-0.32-mRNA-1         2127       12        1        8   57.4371   60.5101
augustus_masked-flattened_line_0-processed-gene-0.14-mRNA-1         2535       12        1        8   54.5760   59.6802
augustus_masked-flattened_line_0-processed-gene-0.15-mRNA-1          309       11        0        8   39.9698   58.0935
augustus_masked-flattened_line_0-processed-gene-0.33-mRNA-1          684       12        1        8   55.5050   61.2838
augustus_masked-flattened_line_0-processed-gene-0.34-mRNA-1         1128       12        1        8   48.2220   48.6381
snap_masked-flattened_line_0-processed-gene-0.53-mRNA-1             2964       12        1        8   57.0622   58.7329
snap_masked-flattened_line_0-processed-gene-0.72-mRNA-1             1179       12        1        8   52.2662   55.7823
augustus_masked-flattened_line_0-processed-gene-0.36-mRNA-1          978       12        1        8   56.8269   60.8944
augustus_masked-flattened_line_0-processed-gene-0.17-mRNA-1         1356       12        1        8   57.0241   59.8219
maker-flattened_line_0-augustus-gene-0.79-mRNA-1                     675       12        1        8   54.8938   59.2047
augustus_masked-flattened_line_0-processed-gene-0.18-mRNA-1         1122       12        1        8   51.1072   58.3209
augustus_masked-flattened_line_0-processed-gene-0.38-mRNA-1         3966       12        1        8   57.3966   59.0977
augustus_masked-flattened_line_0-processed-gene-0.39-mRNA-1          993       12        1        8   56.9516   61.7370
augustus_masked-flattened_line_0-processed-gene-0.19-mRNA-1         1251       12        1        8   51.2376   55.5275
augustus_masked-flattened_line_0-processed-gene-1.107-mRNA-1        1416       12        1        8   51.9438   59.2070
augustus_masked-flattened_line_0-processed-gene-1.111-mRNA-1         993       12        1        8   56.8793   60.8744
augustus_masked-flattened_line_0-processed-gene-1.108-mRNA-1        1458       12        1        8   51.6603   56.9725
augustus_masked-flattened_line_0-processed-gene-1.109-mRNA-1         909       12        1        8   51.3722   58.0039
augustus_masked-flattened_line_0-processed-gene-1.110-mRNA-1         444       10        1        8   40.0061   55.6817
augustus_masked-flattened_line_0-processed-gene-1.127-mRNA-1        1395       12        1        8   57.1411   58.4573
maker-flattened_line_0-augustus-gene-1.82-mRNA-1                    1095       12        1        8   56.5632   59.3206
augustus_masked-flattened_line_0-processed-gene-1.113-mRNA-1        1302       12        1        8   48.6243   56.7187
augustus_masked-flattened_line_0-processed-gene-1.128-mRNA-1        1965       12        1        8   52.1789   56.3898
maker-flattened_line_0-augustus-gene-1.83-mRNA-1                    1479       12        1        8   53.9374   56.2956
maker-flattened_line_0-augustus-gene-1.86-mRNA-1                    2292       12        1        8   56.9798   58.5305
augustus_masked-flattened_line_0-processed-gene-1.115-mRNA-1        1086       12        1        8   42.9732   59.9713
augustus_masked-flattened_line_0-processed-gene-1.130-mRNA-1        1323       12        1        8   45.0076   56.9274
snap_masked-flattened_line_0-processed-gene-1.10-mRNA-1              333       11        1        8   52.7087   58.5380
augustus_masked-flattened_line_0-processed-gene-1.131-mRNA-1        1128       12        1        8   53.2527   58.3697
augustus_masked-flattened_line_0-processed-gene-1.132-mRNA-1         822       11        1        8   52.9424   59.7614
augustus_masked-flattened_line_0-processed-gene-1.117-mRNA-1         339       12        1        8   56.1374   62.5598
augustus_masked-flattened_line_0-processed-gene-1.133-mRNA-1        1803       12        1        8   55.9383   60.2660
augustus_masked-flattened_line_0-processed-gene-1.134-mRNA-1         624       12        1        8   52.3512   56.3970
augustus_masked-flattened_line_0-processed-gene-1.118-mRNA-1        2292       12        1        8   52.7862   55.4894
augustus_masked-flattened_line_0-processed-gene-1.135-mRNA-1        1425       12        1        8   50.2402   56.3301
snap_masked-flattened_line_0-processed-gene-1.13-mRNA-1             3471       12        1        8   53.4911   55.6945
maker-flattened_line_0-snap-gene-1.97-mRNA-1                        2133       12        1        8   48.8527   51.4606
augustus_masked-flattened_line_0-processed-gene-1.121-mRNA-1        1320       12        1        8   56.3749   59.8975
augustus_masked-flattened_line_0-processed-gene-1.136-mRNA-1        3249       12        1        8   56.3020   59.0411
maker-flattened_line_0-snap-gene-1.98-mRNA-1                         348       10        1        8   43.7925   59.5922
maker-flattened_line_0-augustus-gene-1.87-mRNA-1                    1398       12        1        8   56.2111   57.9015
augustus_masked-flattened_line_0-processed-gene-1.138-mRNA-1         804       12        1        8   55.3954   58.4380
augustus_masked-flattened_line_0-processed-gene-1.123-mRNA-1        2679       12        1        8   54.9950   59.1009
maker-flattened_line_0-augustus-gene-1.88-mRNA-1                    2148       12        1        8   56.4515   57.8195
augustus_masked-flattened_line_0-processed-gene-1.124-mRNA-1        3012       12        1        8   56.2619   57.1952
augustus_masked-flattened_line_0-processed-gene-1.140-mRNA-1        3273       12        1        8   57.1286   58.0816
augustus_masked-flattened_line_0-processed-gene-1.141-mRNA-1        2280       12        1        8   54.6304   55.9723
augustus_masked-flattened_line_0-processed-gene-1.142-mRNA-1        4479       12        1        8   57.3008   58.7615
augustus_masked-flattened_line_0-processed-gene-1.143-mRNA-1        2118       12        1        8   55.6662   58.9306
augustus_masked-flattened_line_0-processed-gene-1.144-mRNA-1         903       12        1        8   53.4885   61.1841
augustus_masked-flattened_line_0-processed-gene-1.125-mRNA-1        1131       12        1        8   57.5106   59.2402
augustus_masked-flattened_line_0-processed-gene-1.126-mRNA-1        2406       12        1        8   54.3187   59.0091
maker-flattened_line_0-augustus-gene-1.89-mRNA-1                    3258       12        1        8   55.1745   59.5409
augustus_masked-flattened_line_0-processed-gene-1.146-mRNA-1         615       12        1        8   56.2387   59.8045
maker-flattened_line_0-augustus-gene-1.90-mRNA-1                    1068       12        1        8   52.4112   59.9148
augustus_masked-flattened_line_0-processed-gene-2.106-mRNA-1         936       12        1        8   53.7553   57.0427
augustus_masked-flattened_line_0-processed-gene-2.108-mRNA-1        1845       12        1        8   41.7354   55.8163
augustus_masked-flattened_line_0-processed-gene-2.109-mRNA-1         363       11        1        8   43.4961   60.2426
augustus_masked-flattened_line_0-processed-gene-2.107-mRNA-1         540       12        1        8   42.2548   56.2458
snap_masked-flattened_line_0-processed-gene-2.4-mRNA-1               408       12        1        8   54.9275   59.4689
augustus_masked-flattened_line_0-processed-gene-2.110-mRNA-1        1185       12        1        8   52.4021   56.8359
augustus_masked-flattened_line_0-processed-gene-2.133-mRNA-1         636       11        1        8   53.8452   56.6778
augustus_masked-flattened_line_0-processed-gene-2.111-mRNA-1        1683       12        1        8   53.2893   56.9507
snap_masked-flattened_line_0-processed-gene-2.28-mRNA-1             1155       12        1        8   51.5068   52.8167
augustus_masked-flattened_line_0-processed-gene-2.135-mRNA-1        1230       12        1        8   47.5149   51.0881
maker-flattened_line_0-augustus-gene-2.53-mRNA-1                     912       12        1        8   52.9602   57.0665
augustus_masked-flattened_line_0-processed-gene-2.112-mRNA-1        2316       12        1        8   54.0074   57.2713
augustus_masked-flattened_line_0-processed-gene-2.137-mRNA-1        1059       12        1        8   53.9831   57.2097
augustus_masked-flattened_line_0-processed-gene-2.113-mRNA-1        3903       12        1        8   47.3833   53.7819
augustus_masked-flattened_line_0-processed-gene-2.138-mRNA-1        1740       12        1        8   53.1666   54.2474
augustus_masked-flattened_line_0-processed-gene-2.114-mRNA-1        1416       12        1        8   50.6310   55.2866
augustus_masked-flattened_line_0-processed-gene-2.139-mRNA-1        1626       12        1        8   51.0943   53.8651
augustus_masked-flattened_line_0-processed-gene-2.115-mRNA-1        3813       12        1        8   51.4369   55.2720
augustus_masked-flattened_line_0-processed-gene-2.116-mRNA-1         741       12        1        8   40.4576   54.8926
augustus_masked-flattened_line_0-processed-gene-2.117-mRNA-1        2388       12        1        8   54.9920   57.3865
augustus_masked-flattened_line_0-processed-gene-2.140-mRNA-1        1620       12        1        8   54.1497   56.9824
maker-flattened_line_0-augustus-gene-2.50-mRNA-1                     585       12        1        7   46.3199   52.9767
augustus_masked-flattened_line_0-processed-gene-2.119-mRNA-1        3516       12        1        8   49.1535   54.9354
maker-flattened_line_0-snap-gene-2.104-mRNA-1                        675       12        1        8   52.5028   56.9176
maker-flattened_line_0-snap-gene-2.100-mRNA-1                       1452       12        1        8   56.4985   60.9361
augustus_masked-flattened_line_0-processed-gene-2.121-mRNA-1        1704       12        1        8   37.0079   52.4940
augustus_masked-flattened_line_0-processed-gene-2.142-mRNA-1        3177       12        1        8   47.9822   55.3152
snap_masked-flattened_line_0-processed-gene-2.37-mRNA-1              366       11        1        8   51.9188   55.8113
augustus_masked-flattened_line_0-processed-gene-2.122-mRNA-1        1011       12        1        8   51.0171   55.0617
augustus_masked-flattened_line_0-processed-gene-2.124-mRNA-1        1137       12        1        8   50.5033   54.8358
maker-flattened_line_0-snap-gene-2.101-mRNA-1                       1008       12        1        8   51.5514   56.7360
augustus_masked-flattened_line_0-processed-gene-2.144-mRNA-1        2679       12        1        8   44.3649   51.0917
augustus_masked-flattened_line_0-processed-gene-2.145-mRNA-1        1206       12        1        8   50.4462   55.8807
augustus_masked-flattened_line_0-processed-gene-2.127-mRNA-1         912       12        1        8   56.1505   60.5904
augustus_masked-flattened_line_0-processed-gene-2.128-mRNA-1        3327       12        1        8   54.2297   56.8710
augustus_masked-flattened_line_0-processed-gene-2.129-mRNA-1         768       12        1        8   52.8084   58.3372
maker-flattened_line_0-snap-gene-2.102-mRNA-1                       2205       12        1        8   54.1528   58.0685
augustus_masked-flattened_line_0-processed-gene-2.146-mRNA-1        1749       12        1        8   49.3061   54.2448
augustus_masked-flattened_line_0-processed-gene-2.131-mRNA-1         666       12        1        8   54.1755   61.1624
augustus_masked-flattened_line_0-processed-gene-2.147-mRNA-1        1326       12        1        8   41.9964   57.7606
maker-flattened_line_0-snap-gene-2.105-mRNA-1                        510       12        1        8   53.7113   61.8140
augustus_masked-flattened_line_0-processed-gene-2.132-mRNA-1        1053       12        1        8   48.9731   53.7022
augustus_masked-flattened_line_0-processed-gene-3.108-mRNA-1        1509       12        1        8   51.1557   54.7077
augustus_masked-flattened_line_0-processed-gene-3.104-mRNA-1        1314       12        1        8   52.0676   56.3952
augustus_masked-flattened_line_0-processed-gene-3.109-mRNA-1        1026       12        1        8   55.1186   57.7308
augustus_masked-flattened_line_0-processed-gene-3.105-mRNA-1        1971       12        1        8   52.0584   55.2911
augustus_masked-flattened_line_0-processed-gene-3.106-mRNA-1        1722       12        1        8   48.0843   54.5904
augustus_masked-flattened_line_0-processed-gene-3.107-mRNA-1        1389       12        1        8   52.7703   55.3821
augustus_masked-flattened_line_0-processed-gene-3.110-mRNA-1         489       12        1        8   51.1797   53.7741
augustus_masked-flattened_line_0-processed-gene-3.128-mRNA-1        2007       12        1        8   52.7412   53.7373
augustus_masked-flattened_line_0-processed-gene-3.129-mRNA-1        1398       12        1        8   50.2324   57.2384
augustus_masked-flattened_line_0-processed-gene-3.111-mRNA-1         849       12        1        8   55.6267   59.3235
augustus_masked-flattened_line_0-processed-gene-3.130-mRNA-1        2673       12        1        8   54.4483   56.7393
augustus_masked-flattened_line_0-processed-gene-3.131-mRNA-1        2070       12        1        8   52.7257   54.9778
augustus_masked-flattened_line_0-processed-gene-3.112-mRNA-1         336       11        1        8   51.0793   54.6205
maker-flattened_line_0-augustus-gene-3.48-mRNA-1                    1596       12        1        8   52.7768   57.3282
augustus_masked-flattened_line_0-processed-gene-3.113-mRNA-1        2061       12        1        8   53.5422   54.9302
augustus_masked-flattened_line_0-processed-gene-3.134-mRNA-1        2802       12        1        8   49.7972   54.0647
maker-flattened_line_0-augustus-gene-3.49-mRNA-1                    2046       12        1        8   51.4058   54.6768
augustus_masked-flattened_line_0-processed-gene-3.136-mRNA-1        3897       12        1        8   54.1659   55.6406
augustus_masked-flattened_line_0-processed-gene-3.137-mRNA-1        2106       12        1        8   54.9614   57.3991
augustus_masked-flattened_line_0-processed-gene-3.138-mRNA-1        1545       12        1        8   53.4408   57.6434
augustus_masked-flattened_line_0-processed-gene-3.114-mRNA-1        1635       12        1        8   50.4511   58.6427
augustus_masked-flattened_line_0-processed-gene-3.139-mRNA-1        1416       12        1        8   56.1524   60.3611
augustus_masked-flattened_line_0-processed-gene-3.140-mRNA-1        2748       12        1        8   56.7083   58.0562
augustus_masked-flattened_line_0-processed-gene-3.115-mRNA-1        1662       12        1        8   54.0841   57.4529
augustus_masked-flattened_line_0-processed-gene-3.141-mRNA-1        1137       12        1        8   48.7297   55.4399
augustus_masked-flattened_line_0-processed-gene-3.116-mRNA-1         873       12        1        8   54.4302   58.9800
augustus_masked-flattened_line_0-processed-gene-3.142-mRNA-1         633       12        1        8   52.2610   55.5231
maker-flattened_line_0-augustus-gene-3.46-mRNA-1                     642       11        1        8   54.2105   58.7707
augustus_masked-flattened_line_0-processed-gene-3.118-mRNA-1         657       12        1        8   52.6934   56.0904
augustus_masked-flattened_line_0-processed-gene-3.143-mRNA-1         579        9        1        8   49.6542   56.2527
augustus_masked-flattened_line_0-processed-gene-3.119-mRNA-1        2472       12        1        8   53.0080   54.6149
augustus_masked-flattened_line_0-processed-gene-3.144-mRNA-1         966       12        1        8   51.7475   56.8271
