gene_id	tAI	nc	gc3
snap_masked-NODE_27_length_84395_cov_65.0191_ID_53-processed-gene-0.39-mRNA-1	0.508899639818805	36.1541	0.096
genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-4.126-mRNA-1	0.451804282582037	45.8393	0.191
genemark-NODE_27_length_84395_cov_65.0191_ID_53-processed-gene-0.4-mRNA-1	0.388638465108879	50.8004	0.264
genemark-NODE_12_length_322370_cov_82.8878_ID_23-processed-gene-0.21-mRNA-1	0.444670527131019	46.6809	0.212
genemark-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-6.82-mRNA-1	0.405291747539591	50.3590	0.233
genemark-NODE_26_length_98585_cov_93.8562_ID_51-processed-gene-0.53-mRNA-1	0.39044890771439	46.8418	0.196
genemark-NODE_5_length_465336_cov_77.3081_ID_9-processed-gene-1.98-mRNA-1	0.452090479744778	49.3829	0.268
genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-0.109-mRNA-1	0.438233760193801	46.7772	0.231
genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-5.63-mRNA-1	0.458092008966464	41.8655	0.145
snap_masked-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-6.83-mRNA-1	0.464996327097496	45.4753	0.207
snap_masked-NODE_15_length_272279_cov_85.9412_ID_29-processed-gene-0.20-mRNA-1	0.444795362046781	38.1653	0.083
snap_masked-NODE_8_length_364696_cov_82.9624_ID_15-processed-gene-2.22-mRNA-1	0.456447258241925	42.8482	0.172
genemark-NODE_28_length_82678_cov_90.3501_ID_55-processed-gene-0.15-mRNA-1	0.456153368318046	45.9518	0.156
genemark-NODE_9_length_350369_cov_102.719_ID_17-processed-gene-1.54-mRNA-1	0.408127063119265	54.7195	0.364
genemark-NODE_6_length_409953_cov_99.5299_ID_11-processed-gene-0.4-mRNA-1	0.461441599607667	46.8842	0.209
genemark-NODE_31_length_72447_cov_92.9692_ID_61-processed-gene-0.41-mRNA-1	0.396975627206537	48.5218	0.212
genemark-NODE_15_length_272279_cov_85.9412_ID_29-processed-gene-1.173-mRNA-1	0.514703967239901	50.5851	0.336
genemark-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-3.107-mRNA-1	0.482419190140609	38.3301	0.136
genemark-NODE_10_length_334870_cov_78.2175_ID_19-processed-gene-2.125-mRNA-1	0.369502816296051	50.2903	0.271
genemark-NODE_32_length_66070_cov_132.446_ID_63-processed-gene-0.0-mRNA-1	0.472698946719229	44.9785	0.224
snap_masked-NODE_20_length_197075_cov_91.315_ID_39-processed-gene-0.192-mRNA-1	0.414621967042453	45.9961	0.205
