Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                          SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------------
snap_masked-flattened_line_0-processed-gene-0.47-mRNA-1             786       12        1        8   54.9636   61.1438
snap_masked-flattened_line_0-processed-gene-0.64-mRNA-1            1614       12        1        8   56.9500   58.8901
snap_masked-flattened_line_0-processed-gene-0.65-mRNA-1             666       11        1        8   56.5221   62.3571
snap_masked-flattened_line_0-processed-gene-0.48-mRNA-1            2139       12        1        8   57.3861   61.6832
snap_masked-flattened_line_0-processed-gene-0.66-mRNA-1            1335       11        1        8   55.6103   62.3407
snap_masked-flattened_line_0-processed-gene-0.67-mRNA-1             840       12        1        8   49.6923   53.3190
snap_masked-flattened_line_0-processed-gene-0.49-mRNA-1            1038       12        1        8   53.1920   60.4500
snap_masked-flattened_line_0-processed-gene-0.50-mRNA-1            2220       12        1        8   57.3579   62.2123
snap_masked-flattened_line_0-processed-gene-0.68-mRNA-1            1056       11        1        8   50.8134   61.6930
maker-flattened_line_0-snap-gene-0.129-mRNA-1                      1677       12        1        8   57.7136   62.0073
snap_masked-flattened_line_0-processed-gene-0.69-mRNA-1            1476       12        1        8   54.9200   59.8639
augustus_masked-flattened_line_0-processed-gene-0.93-mRNA-1         615       11        1        8   55.7472   61.5431
snap_masked-flattened_line_0-processed-gene-0.52-mRNA-1             801       11        1        8   53.2891   57.0276
maker-flattened_line_0-augustus-gene-0.44-mRNA-1                   3303       12        1        8   51.5770   59.7264
maker-flattened_line_0-snap-gene-0.132-mRNA-1                      1506       11        1        8   38.1987   54.3411
snap_masked-flattened_line_0-processed-gene-0.73-mRNA-1             840       12        1        8   58.2960   62.1977
snap_masked-flattened_line_0-processed-gene-0.54-mRNA-1            2145       12        1        8   57.3925   61.3098
snap_masked-flattened_line_0-processed-gene-0.55-mRNA-1             363       10        1        8   55.2961   60.6374
maker-flattened_line_0-snap-gene-0.131-mRNA-1                       459       12        1        8   55.9293   62.6485
snap_masked-flattened_line_0-processed-gene-0.74-mRNA-1            1146       12        1        8   53.5174   62.5313
snap_masked-flattened_line_0-processed-gene-0.57-mRNA-1            3564       12        1        8   50.4547   61.5725
genemark-flattened_line_0-processed-gene-0.27-mRNA-1                555       11        1        8   53.8403   58.4632
augustus_masked-flattened_line_0-processed-gene-0.115-mRNA-1       1872       12        1        8   55.6090   61.5900
snap_masked-flattened_line_0-processed-gene-0.76-mRNA-1            1047       12        1        8   54.9233   61.8628
augustus_masked-flattened_line_0-processed-gene-0.117-mRNA-1       3378       12        1        8   57.2712   60.6192
snap_masked-flattened_line_0-processed-gene-0.79-mRNA-1            1002       11        1        8   53.9211   61.8938
snap_masked-flattened_line_0-processed-gene-0.80-mRNA-1            1371       12        1        8   52.8185   62.4239
snap_masked-flattened_line_0-processed-gene-0.58-mRNA-1            2109       12        1        8   55.6091   62.0022
augustus_masked-flattened_line_0-processed-gene-0.120-mRNA-1       1644       12        1        8   54.1170   60.9189
augustus_masked-flattened_line_0-processed-gene-0.98-mRNA-1         921       12        1        8   59.5603   62.4338
