gene_id	tAI	nc	gc3
augustus_masked-abe-_s77-processed-gene-2.173-mRNA-1	0.414839227447049	49.3375	0.727
augustus_masked-abe-_s70-processed-gene-3.76-mRNA-1	0.389399129225725	49.0478	0.744
augustus_masked-abe-_s25-processed-gene-3.118-mRNA-1	0.322419688596464	53.8558	0.641
augustus_masked-abe-_s75-processed-gene-0.46-mRNA-1	0.369634746975617	55.3970	0.585
augustus_masked-abe-_s12-processed-gene-6.98-mRNA-1	0.385728017164281	56.4805	0.553
augustus_masked-abe-_s7-processed-gene-6.8-mRNA-1	0.33828893243363	56.6752	0.567
augustus_masked-abe-_s34-processed-gene-4.99-mRNA-1	0.362522036206415	53.4551	0.671
augustus_masked-abe-_s70-processed-gene-2.143-mRNA-1	0.404051615550037	55.6561	0.554
snap_masked-abe-_s7-processed-gene-1.47-mRNA-1	0.367103377254379	51.3784	0.651
genemark-abe-_s7-processed-gene-10.118-mRNA-1	0.359032045024668	55.7956	0.492
augustus_masked-abe-_s12-processed-gene-7.119-mRNA-1	0.418673782680287	53.9602	0.565
augustus_masked-abe-_s7-processed-gene-7.45-mRNA-1	0.453185460110566	50.3932	0.661
augustus_masked-abe-_s75-processed-gene-8.62-mRNA-1	0.382041046362685	52.0152	0.691
augustus_masked-abe-_s13-processed-gene-1.151-mRNA-1	0.376113399761168	55.2256	0.563
snap_masked-abe-_s13-processed-gene-9.31-mRNA-1	0.359014920912033	56.7947	0.556
augustus_masked-abe-_s77-processed-gene-1.8-mRNA-1	0.366641369227058	53.4770	0.606
augustus_masked-abe-_s25-processed-gene-3.119-mRNA-1	0.578403171316858	43.3948	0.630
augustus_masked-abe-_s12-processed-gene-4.21-mRNA-1	0.396991865442647	53.6824	0.632
augustus_masked-abe-_s12-processed-gene-5.101-mRNA-1	0.470604848572484	44.3088	0.789
augustus_masked-abe-_s2-processed-gene-3.112-mRNA-1	0.391623524375407	51.3970	0.667
augustus_masked-abe-_s25-processed-gene-6.140-mRNA-1	0.376255149143698	55.8863	0.569
