Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
------------------------------------------------------------------------------------------------------------
augustus_masked-LAME0A-processed-gene-0.46-mRNA-1         753       11        1        7   54.6277   61.7239
augustus_masked-LAME0A-processed-gene-0.34-mRNA-1         645       12        1        8   56.4394   61.4187
augustus_masked-LAME0A-processed-gene-0.35-mRNA-1         909       12        1        8   54.6674   61.8976
augustus_masked-LAME0A-processed-gene-0.47-mRNA-1        1797       12        1        8   58.2416   62.1157
augustus_masked-LAME0A-processed-gene-0.48-mRNA-1        1770       12        1        8   54.9733   62.1999
augustus_masked-LAME0A-processed-gene-0.49-mRNA-1        1599       12        1        8   58.2043   62.3354
augustus_masked-LAME0A-processed-gene-0.50-mRNA-1        1434       12        1        8   57.1115   61.8342
augustus_masked-LAME0A-processed-gene-0.51-mRNA-1         864       12        1        8   55.2859   60.0175
augustus_masked-LAME0A-processed-gene-0.52-mRNA-1        1590       12        1        8   56.7547   61.6081
snap_masked-LAME0A-processed-gene-0.68-mRNA-1             444       12        1        8   55.6654   60.2609
snap_masked-LAME0A-processed-gene-0.89-mRNA-1             441       12        1        8   56.1301   62.5566
augustus_masked-LAME0A-processed-gene-0.36-mRNA-1         849       12        1        8   55.2328   59.5445
augustus_masked-LAME0A-processed-gene-0.37-mRNA-1         714       12        1        8   56.9010   62.0409
augustus_masked-LAME0A-processed-gene-0.38-mRNA-1         789       12        1        8   57.3936   60.0886
augustus_masked-LAME0A-processed-gene-0.54-mRNA-1        1464       12        1        8   59.1918   62.0438
augustus_masked-LAME0A-processed-gene-0.55-mRNA-1        1233       12        1        8   54.6853   60.4209
augustus_masked-LAME0A-processed-gene-0.56-mRNA-1         786       12        1        8   53.8409   57.7724
genemark-LAME0A-processed-gene-0.25-mRNA-1                669       12        1        8   53.0672   60.3318
genemark-LAME0A-processed-gene-0.26-mRNA-1               1152       12        1        8   50.2210   57.4435
augustus_masked-LAME0A-processed-gene-0.58-mRNA-1        1692       12        1        8   53.8124   61.4258
augustus_masked-LAME0A-processed-gene-0.39-mRNA-1        1803       12        1        8   58.7079   62.3986
genemark-LAME0A-processed-gene-0.28-mRNA-1               2103       12        1        8   56.0696   60.1828
augustus_masked-LAME0A-processed-gene-0.40-mRNA-1        1410       11        1        8   47.8321   53.4247
augustus_masked-LAME0A-processed-gene-0.41-mRNA-1        1689       12        1        8   57.0071   62.1830
augustus_masked-LAME0A-processed-gene-0.60-mRNA-1         426       12        1        7   49.5829   58.6161
snap_masked-LAME0A-processed-gene-0.75-mRNA-1             555       12        1        8   55.5514   59.9311
augustus_masked-LAME0A-processed-gene-0.61-mRNA-1        1734       12        1        8   57.6221   61.8761
augustus_masked-LAME0A-processed-gene-0.42-mRNA-1        1647       12        1        8   57.4902   61.5068
augustus_masked-LAME0A-processed-gene-0.62-mRNA-1        4971       12        1        8   57.6043   62.6024
augustus_masked-LAME0A-processed-gene-0.43-mRNA-1        2103       12        1        8   57.8111   61.1488
augustus_masked-LAME0A-processed-gene-0.44-mRNA-1        1755       12        1        8   58.1160   61.5657
snap_masked-LAME0A-processed-gene-0.102-mRNA-1           1332       12        1        8   59.3102   62.6841
genemark-LAME0A-processed-gene-0.33-mRNA-1                846       12        1        8   57.0752   62.3441
snap_masked-LAME0A-processed-gene-0.79-mRNA-1             534       12        1        8   53.6827   62.0176
augustus_masked-LAME0A-processed-gene-1.4-mRNA-1          834       12        1        8   57.8503   61.8572
augustus_masked-LAME0A-processed-gene-1.5-mRNA-1         1206       12        1        8   57.8799   62.9500
augustus_masked-LAME0A-processed-gene-1.6-mRNA-1          594       12        1        8   57.6707   61.8853
augustus_masked-LAME0A-processed-gene-1.0-mRNA-1          816       12        1        8   54.6663   61.7855
augustus_masked-LAME0A-processed-gene-1.1-mRNA-1         1047       12        1        8   49.3207   57.1652
augustus_masked-LAME0A-processed-gene-1.2-mRNA-1         1626       12        1        8   45.2565   57.8159
maker-LAME0A-augustus-gene-1.50-mRNA-1                   1320       12        1        8   48.2423   61.0658
augustus_masked-LAME0A-processed-gene-1.29-mRNA-1         891       12        1        8   58.7653   61.6441
snap_masked-LAME0A-processed-gene-1.112-mRNA-1            330       11        1        7   47.6340   59.1888
augustus_masked-LAME0A-processed-gene-1.30-mRNA-1         426       11        1        8   42.2379   58.1935
augustus_masked-LAME0A-processed-gene-1.7-mRNA-1          594       10        1        8   42.2486   59.1953
augustus_masked-LAME0A-processed-gene-1.31-mRNA-1         315        9        1        6   43.7527   56.9281
augustus_masked-LAME0A-processed-gene-1.32-mRNA-1        1431       12        1        8   58.7138   62.7081
