gene_id	tAI	nc	gc3
genemark-ref|NC_001139|-processed-gene-6.104-mRNA-1	0.285885083982455	56.2204	0.338
genemark-ref|NC_001138|-processed-gene-1.206-mRNA-1	0.278170450224712	58.5947	0.468
snap_masked-ref|NC_001136|-processed-gene-10.37-mRNA-1	0.245674871238814	56.8502	0.361
genemark-ref|NC_001133|-processed-gene-1.127-mRNA-1	0.290759951565733	51.6095	0.339
snap_masked-ref|NC_001138|-processed-gene-1.153-mRNA-1	0.236456014042288	52.8180	0.286
genemark-ref|NC_001146|-processed-gene-4.0-mRNA-1	0.295062032406366	58.3729	0.407
maker-ref|NC_001141|-augustus-gene-2.90-mRNA-1	0.283023187551413	56.8614	0.432
genemark-ref|NC_001139|-processed-gene-1.28-mRNA-1	0.285004384185559	49.0147	0.287
genemark-ref|NC_001147|-processed-gene-7.122-mRNA-1	0.282832867062203	56.1722	0.475
genemark-ref|NC_001148|-processed-gene-7.112-mRNA-1	0.23959323509055	53.7394	0.306
genemark-ref|NC_001133|-processed-gene-1.139-mRNA-1	0.458642777505843	36.9787	0.436
genemark-ref|NC_001143|-processed-gene-4.124-mRNA-1	0.279044490715291	54.3725	0.325
genemark-ref|NC_001142|-processed-gene-6.41-mRNA-1	0.246437799671376	53.7239	0.324
genemark-ref|NC_001147|-processed-gene-9.1-mRNA-1	0.246332906415893	57.0301	0.349
snap_masked-ref|NC_001134|-processed-gene-0.51-mRNA-1	0.405936711965273	44.2416	0.431
genemark-ref|NC_001136|-processed-gene-12.22-mRNA-1	0.44703905299551	41.0536	0.343
genemark-ref|NC_001136|-processed-gene-1.144-mRNA-1	0.265906387273034	54.9557	0.394
genemark-ref|NC_001145|-processed-gene-0.3-mRNA-1	0.259260377870327	57.0111	0.471
genemark-ref|NC_001144|-processed-gene-9.28-mRNA-1	0.290990384784825	56.1671	0.388
genemark-ref|NC_001139|-processed-gene-4.151-mRNA-1	0.284422579760513	52.7949	0.318
maker-ref|NC_001145|-snap-gene-6.0-mRNA-1	0.353860033133902	51.1365	0.363
snap_masked-ref|NC_001148|-processed-gene-4.96-mRNA-1	0.24152763650981	54.8682	0.318
augustus_masked-ref|NC_001147|-processed-gene-8.95-mRNA-1	0.298757122118979	55.2368	0.362
genemark-ref|NC_001136|-processed-gene-11.120-mRNA-1	0.312546231101906	52.5244	0.336
genemark-ref|NC_001147|-processed-gene-6.102-mRNA-1	0.300328730661773	54.0084	0.376
genemark-ref|NC_001148|-processed-gene-8.168-mRNA-1	0.278817139064199	59.2453	0.471
genemark-ref|NC_001139|-processed-gene-2.96-mRNA-1	0.233631720761735	57.0808	0.376
genemark-ref|NC_001146|-processed-gene-6.207-mRNA-1	0.296576555965032	54.6690	0.379
genemark-ref|NC_001148|-processed-gene-5.23-mRNA-1	0.26997404952806	55.9765	0.353
genemark-ref|NC_001144|-processed-gene-3.21-mRNA-1	0.29532823740571	57.5821	0.488
genemark-ref|NC_001147|-processed-gene-2.29-mRNA-1	0.277814546079771	55.0263	0.353
genemark-ref|NC_001145|-processed-gene-0.13-mRNA-1	0.247210239252929	57.2183	0.483
genemark-ref|NC_001143|-processed-gene-5.197-mRNA-1	0.301766800819126	59.2287	0.403
genemark-ref|NC_001139|-processed-gene-9.182-mRNA-1	0.289197580467089	53.7605	0.397
genemark-ref|NC_001141|-processed-gene-0.24-mRNA-1	0.360118624810756	48.9670	0.745
genemark-ref|NC_001141|-processed-gene-0.1-mRNA-1	0.286795584889504	55.5019	0.417
genemark-ref|NC_001137|-processed-gene-2.118-mRNA-1	0.241761293515586	57.8137	0.389
genemark-ref|NC_001135|-processed-gene-0.123-mRNA-1	0.280776979579304	55.0477	0.361
augustus_masked-ref|NC_001146|-processed-gene-3.76-mRNA-1	0.246643236531772	56.1999	0.347
genemark-ref|NC_001137|-processed-gene-2.143-mRNA-1	0.265087979579427	55.1202	0.333
augustus_masked-ref|NC_001140|-processed-gene-4.140-mRNA-1	0.274124714272704	57.1681	0.419
genemark-ref|NC_001144|-processed-gene-3.28-mRNA-1	0.244818943202299	56.0489	0.350
genemark-ref|NC_001136|-processed-gene-9.113-mRNA-1	0.248016480832643	53.1941	0.304
genemark-ref|NC_001142|-processed-gene-5.9-mRNA-1	0.344817803435607	52.5139	0.467
genemark-ref|NC_001142|-processed-gene-6.28-mRNA-1	0.265303926816525	55.4574	0.316
snap_masked-ref|NC_001144|-processed-gene-3.65-mRNA-1	0.25125820638398	56.0793	0.350
genemark-ref|NC_001133|-processed-gene-1.118-mRNA-1	0.25917420937005	56.0488	0.339
genemark-ref|NC_001148|-processed-gene-4.30-mRNA-1	0.349180461089281	49.1710	0.367
augustus_masked-ref|NC_001134|-processed-gene-1.86-mRNA-1	0.274944622454298	53.6842	0.386
genemark-ref|NC_001148|-processed-gene-8.194-mRNA-1	0.287679265948197	56.2579	0.456
genemark-ref|NC_001143|-processed-gene-5.145-mRNA-1	0.308502193041659	48.5523	0.367
genemark-ref|NC_001144|-processed-gene-4.109-mRNA-1	0.301417853221161	55.8002	0.416
genemark-ref|NC_001134|-processed-gene-3.115-mRNA-1	0.312722027442932	56.6180	0.495
genemark-ref|NC_001136|-processed-gene-14.44-mRNA-1	0.286396212144586	54.8397	0.317
genemark-ref|NC_001136|-processed-gene-9.96-mRNA-1	0.418814689638737	41.7333	0.351
maker-ref|NC_001148|-snap-gene-4.3-mRNA-1	0.467124755800775	41.3909	0.430
genemark-ref|NC_001144|-processed-gene-1.7-mRNA-1	0.263966900373729	54.5902	0.324
genemark-ref|NC_001136|-processed-gene-7.2-mRNA-1	0.290293349514672	55.0492	0.368
genemark-ref|NC_001136|-processed-gene-7.3-mRNA-1	0.269657535004141	56.3256	0.346
genemark-ref|NC_001139|-processed-gene-9.255-mRNA-1	0.428193963435428	44.4639	0.425
genemark-ref|NC_001145|-processed-gene-2.36-mRNA-1	0.23814627354192	55.9741	0.366
genemark-ref|NC_001145|-processed-gene-1.39-mRNA-1	0.256074282160343	57.3584	0.350
genemark-ref|NC_001139|-processed-gene-1.19-mRNA-1	0.295039115853917	53.5369	0.312
genemark-ref|NC_001145|-processed-gene-0.6-mRNA-1	0.236980723655425	55.7442	0.324
genemark-ref|NC_001139|-processed-gene-6.125-mRNA-1	0.307096263823007	55.8130	0.463
genemark-ref|NC_001144|-processed-gene-4.94-mRNA-1	0.430523958582008	36.8610	0.391
snap_masked-ref|NC_001136|-processed-gene-1.67-mRNA-1	0.223972009042214	57.9621	0.393
genemark-ref|NC_001147|-processed-gene-0.37-mRNA-1	0.310541352389037	53.9007	0.435
augustus_masked-ref|NC_001135|-processed-gene-1.115-mRNA-1	0.263461597576421	56.0752	0.326
genemark-ref|NC_001136|-processed-gene-8.40-mRNA-1	0.251570856615848	53.0237	0.279
