gene_id	tAI	nc	gc3
snap_masked-NODE_32_length_125017_cov_20.7924_ID_63-processed-gene-0.41-mRNA-1	0.291630105375229	52.4097	0.643
genemark-NODE_21_length_167276_cov_13.7398_ID_41-processed-gene-0.100-mRNA-1	0.273426655748287	56.1337	0.368
genemark-NODE_100_length_18852_cov_13.0369_ID_199-processed-gene-0.13-mRNA-1	0.303296654312651	56.7178	0.508
genemark-NODE_39_length_100661_cov_14.0318_ID_77-processed-gene-0.59-mRNA-1	0.281739275008144	55.8643	0.360
genemark-NODE_80_length_34662_cov_16.1382_ID_159-processed-gene-0.16-mRNA-1	0.298870544762539	56.5770	0.472
snap_masked-NODE_112_length_8336_cov_16.2584_ID_223-processed-gene-0.7-mRNA-1	0.329174930925717	43.6794	0.441
snap_masked-NODE_3_length_408721_cov_12.9935_ID_5-processed-gene-3.139-mRNA-1	0.370578252430193	54.6855	0.592
genemark-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-0.13-mRNA-1	0.272102614203118	51.3626	0.735
snap_masked-NODE_23_length_160100_cov_17.154_ID_45-processed-gene-0.188-mRNA-1	0.287521607925132	52.4035	0.335
snap_masked-NODE_13_length_248499_cov_14.793_ID_25-processed-gene-1.185-mRNA-1	0.294236857092611	53.7581	0.535
snap_masked-NODE_36_length_110931_cov_16.3616_ID_71-processed-gene-0.9-mRNA-1	0.259692665325783	54.9747	0.434
snap_masked-NODE_7_length_298980_cov_13.174_ID_13-processed-gene-0.35-mRNA-1	0.29269998046414	57.0988	0.488
snap_masked-NODE_42_length_95905_cov_13.8637_ID_83-processed-gene-0.33-mRNA-1	0.277955783699116	49.0869	0.295
snap_masked-NODE_28_length_136305_cov_23.9313_ID_55-processed-gene-0.117-mRNA-1	0.293576078664129	47.5597	0.379
genemark-NODE_66_length_46008_cov_17.6833_ID_131-processed-gene-0.46-mRNA-1	0.310635705785927	42.0328	0.474
genemark-NODE_32_length_125017_cov_20.7924_ID_63-processed-gene-0.102-mRNA-1	0.262392741312511	53.5092	0.458
snap_masked-NODE_6_length_336941_cov_13.1986_ID_11-processed-gene-2.26-mRNA-1	0.285409397730534	55.3835	0.391
snap_masked-NODE_21_length_167276_cov_13.7398_ID_41-processed-gene-0.175-mRNA-1	0.27523689609985	56.1053	0.397
snap_masked-NODE_17_length_177823_cov_14.5037_ID_33-processed-gene-0.172-mRNA-1	0.270784555704359	49.4841	0.759
snap_masked-NODE_21_length_167276_cov_13.7398_ID_41-processed-gene-0.203-mRNA-1	0.269585586701866	53.6187	0.384
snap_masked-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-3.12-mRNA-1	0.25877809931638	54.8856	0.315
maker-NODE_2_length_426856_cov_13.6764_ID_3-augustus-gene-2.99-mRNA-1	0.327065540291551	52.2541	0.685
snap_masked-NODE_60_length_59351_cov_13.2682_ID_119-processed-gene-0.79-mRNA-1	0.281107600254824	57.5820	0.425
snap_masked-NODE_4_length_364426_cov_17.2751_ID_7-processed-gene-2.213-mRNA-1	0.289877821754307	53.6397	0.676
genemark-NODE_9_length_291294_cov_14.1555_ID_17-processed-gene-1.47-mRNA-1	0.270385480402331	54.3181	0.326
snap_masked-NODE_32_length_125017_cov_20.7924_ID_63-processed-gene-0.51-mRNA-1	0.290549613408737	53.4296	0.389
snap_masked-NODE_15_length_212988_cov_14.2066_ID_29-processed-gene-0.16-mRNA-1	0.244469724257643	57.6761	0.381
snap_masked-NODE_65_length_46641_cov_12.6516_ID_129-processed-gene-0.15-mRNA-1	0.289815333882723	53.7508	0.503
snap_masked-NODE_15_length_212988_cov_14.2066_ID_29-processed-gene-1.150-mRNA-1	0.287365279347535	57.1620	0.542
augustus_masked-NODE_24_length_154291_cov_16.9242_ID_47-processed-gene-0.118-mRNA-1	0.27496637162167	56.3614	0.334
augustus_masked-NODE_46_length_93283_cov_13.2941_ID_91-processed-gene-0.58-mRNA-1	0.2777627211788	56.5245	0.496
snap_masked-NODE_5_length_351971_cov_13.5911_ID_9-processed-gene-0.87-mRNA-1	0.290513470579162	57.9802	0.587
snap_masked-NODE_16_length_190544_cov_14.457_ID_31-processed-gene-0.150-mRNA-1	0.276908121656819	53.4060	0.396
genemark-NODE_33_length_122929_cov_14.7081_ID_65-processed-gene-0.52-mRNA-1	0.291427927355779	54.1858	0.357
snap_masked-NODE_52_length_75054_cov_17.1998_ID_103-processed-gene-0.69-mRNA-1	0.268930732092535	51.7980	0.292
snap_masked-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-1.40-mRNA-1	0.282537253540859	49.4195	0.362
snap_masked-NODE_9_length_291294_cov_14.1555_ID_17-processed-gene-0.99-mRNA-1	0.2735281074927	51.8492	0.287
snap_masked-NODE_3_length_408721_cov_12.9935_ID_5-processed-gene-1.18-mRNA-1	0.320665564663687	54.9467	0.503
snap_masked-NODE_9_length_291294_cov_14.1555_ID_17-processed-gene-1.249-mRNA-1	0.293942622472729	55.5859	0.609
snap_masked-NODE_93_length_22162_cov_13.3392_ID_185-processed-gene-0.4-mRNA-1	0.264019831357851	54.0312	0.545
genemark-NODE_36_length_110931_cov_16.3616_ID_71-processed-gene-0.99-mRNA-1	0.269593918573	57.3630	0.435
genemark-NODE_42_length_95905_cov_13.8637_ID_83-processed-gene-0.52-mRNA-1	0.297600885594402	55.4646	0.522
genemark-NODE_41_length_97040_cov_14.4426_ID_81-processed-gene-0.137-mRNA-1	0.277885469853651	55.5716	0.450
snap_masked-NODE_2_length_426856_cov_13.6764_ID_3-processed-gene-2.112-mRNA-1	0.269646264423439	52.9445	0.675
genemark-NODE_8_length_292825_cov_17.2616_ID_15-processed-gene-1.185-mRNA-1	0.309918916046371	51.2602	0.538
snap_masked-NODE_40_length_98049_cov_14.4109_ID_79-processed-gene-0.131-mRNA-1	0.383088941979772	39.9503	0.585
snap_masked-NODE_92_length_22376_cov_13.8607_ID_183-processed-gene-0.21-mRNA-1	0.268228961384673	51.8693	0.296
snap_masked-NODE_165_length_1503_cov_25.9566_ID_329-processed-gene-0.2-mRNA-1	0.30743617387816	49.5982	0.491
augustus_masked-NODE_12_length_279119_cov_14.1565_ID_23-processed-gene-1.66-mRNA-1	0.294806920937532	55.9938	0.491
snap_masked-NODE_7_length_298980_cov_13.174_ID_13-processed-gene-1.50-mRNA-1	0.320155126112283	50.9297	0.350
maker-NODE_20_length_173296_cov_14.6245_ID_39-augustus-gene-0.7-mRNA-1	0.256224892492886	57.6429	0.378
snap_masked-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-4.52-mRNA-1	0.271029954341657	58.5243	0.469
augustus_masked-NODE_3_length_408721_cov_12.9935_ID_5-processed-gene-2.79-mRNA-1	0.276895365035264	58.5394	0.420
snap_masked-NODE_91_length_22831_cov_14.9213_ID_181-processed-gene-0.43-mRNA-1	0.291875978894938	55.4817	0.537
snap_masked-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-2.38-mRNA-1	0.320255605368592	52.0566	0.513
augustus_masked-NODE_7_length_298980_cov_13.174_ID_13-processed-gene-1.183-mRNA-1	0.247073172435592	55.4427	0.333
genemark-NODE_27_length_148224_cov_15.9955_ID_53-processed-gene-0.185-mRNA-1	0.277093548091853	55.5219	0.467
snap_masked-NODE_7_length_298980_cov_13.174_ID_13-processed-gene-1.48-mRNA-1	0.290048386589794	55.6114	0.524
augustus_masked-NODE_21_length_167276_cov_13.7398_ID_41-processed-gene-0.52-mRNA-1	0.266500494775409	52.0879	0.622
augustus_masked-NODE_7_length_298980_cov_13.174_ID_13-processed-gene-1.103-mRNA-1	0.320121952143563	49.4493	0.720
snap_masked-NODE_24_length_154291_cov_16.9242_ID_47-processed-gene-0.20-mRNA-1	0.310360850300689	53.0217	0.437
snap_masked-NODE_11_length_281462_cov_14.3937_ID_21-processed-gene-0.36-mRNA-1	0.297273656350512	54.7109	0.561
snap_masked-NODE_126_length_3687_cov_59.0463_ID_251-processed-gene-0.2-mRNA-1	0.324768589345229	53.9027	0.447
snap_masked-NODE_5_length_351971_cov_13.5911_ID_9-processed-gene-2.16-mRNA-1	0.288374254666513	53.1323	0.395
snap_masked-NODE_24_length_154291_cov_16.9242_ID_47-processed-gene-0.13-mRNA-1	0.294717011046998	51.0061	0.626
maker-NODE_22_length_166511_cov_14.8775_ID_43-snap-gene-0.4-mRNA-1	0.340333414634504	43.1807	0.460
snap_masked-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-4.75-mRNA-1	0.286297795187839	55.3542	0.371
augustus_masked-NODE_19_length_174713_cov_14.3632_ID_37-processed-gene-0.113-mRNA-1	0.24400033227793	57.6333	0.383
snap_masked-NODE_23_length_160100_cov_17.154_ID_45-processed-gene-0.140-mRNA-1	0.292617833217942	55.2846	0.460
snap_masked-NODE_40_length_98049_cov_14.4109_ID_79-processed-gene-0.102-mRNA-1	0.324634335321894	44.0308	0.829
snap_masked-NODE_6_length_336941_cov_13.1986_ID_11-processed-gene-1.7-mRNA-1	0.286047810114411	58.6096	0.427
snap_masked-NODE_37_length_110318_cov_13.8186_ID_73-processed-gene-0.129-mRNA-1	0.29738324731851	53.4805	0.499
snap_masked-NODE_12_length_279119_cov_14.1565_ID_23-processed-gene-1.179-mRNA-1	0.386627325786057	44.2620	0.813
snap_masked-NODE_13_length_248499_cov_14.793_ID_25-processed-gene-1.184-mRNA-1	0.289063593368788	57.9846	0.492
