Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                         SeqLen       N2*      N3*      N4*       Nc     ExpNc
---------------------------------------------------------------------------------------------------------------------
augustus_masked-scf7180000043756-processed-gene-0.3-mRNA-1         654       12        1        8   51.4235   55.1121
augustus_masked-scf7180000043756-processed-gene-0.2-mRNA-1         837       12        1        8   50.3558   54.3665
augustus_masked-scf7180000043757-processed-gene-0.2-mRNA-1         489       11        1        6   53.0443   52.0821
augustus_masked-scf7180000043758-processed-gene-0.1-mRNA-1         651       12        1        8   50.1786   50.4894
snap_masked-scf7180000043759-processed-gene-0.1-mRNA-1             312        9        1        6   44.0235   58.0560
augustus_masked-scf7180000043760-processed-gene-0.2-mRNA-1        1761       12        1        8   48.0815   52.1713
augustus_masked-scf7180000043760-processed-gene-0.3-mRNA-1         864       12        1        8   45.0560   48.3601
snap_masked-scf7180000043761-processed-gene-0.2-mRNA-1             504       12        1        7   49.5301   42.7761
snap_masked-scf7180000043762-processed-gene-0.2-mRNA-1             360       11        1        8   46.8537   43.4943
augustus_masked-scf7180000043766-processed-gene-0.3-mRNA-1         579       12        1        7   43.8478   43.0901
snap_masked-scf7180000043776-processed-gene-0.1-mRNA-1             849        9        1        7   45.0230   46.3609
augustus_masked-scf7180000043777-processed-gene-0.1-mRNA-1         798       10        1        6   47.6709   48.6789
augustus_masked-scf7180000043783-processed-gene-0.0-mRNA-1        2382       12        1        8   44.4390   48.2478
augustus_masked-scf7180000043803-processed-gene-0.2-mRNA-1         480       11        1        7   52.7997   51.8219
augustus_masked-scf7180000043803-processed-gene-0.3-mRNA-1         399       12        1        7   49.0282   48.0670
augustus_masked-scf7180000043807-processed-gene-0.1-mRNA-1        1335       12        1        8   46.7991   48.0798
snap_masked-scf7180000043808-processed-gene-0.1-mRNA-1             609       12        1        8   52.9208   55.3720
augustus_masked-scf7180000043809-processed-gene-0.2-mRNA-1         807       12        1        7   44.0399   44.2426
augustus_masked-scf7180000043812-processed-gene-0.2-mRNA-1         480       11        1        7   52.7997   51.8219
