gene_id	tAI	nc	gc3
snap_masked-chromosome_1-processed-gene-14.48-mRNA-1	0.293507207215282	53.8412	0.357
snap_masked-chromosome_2-processed-gene-22.305-mRNA-1	0.288156376973426	53.1844	0.360
snap_masked-chromosome_1-processed-gene-12.12-mRNA-1	0.295737691636258	53.0041	0.403
snap_masked-chromosome_3-processed-gene-15.2-mRNA-1	0.278626964934156	57.8116	0.396
snap_masked-chromosome_2-processed-gene-21.173-mRNA-1	0.263387446745182	55.3881	0.358
snap_masked-chromosome_4-processed-gene-8.126-mRNA-1	0.262284103164698	56.4023	0.431
augustus_masked-chromosome_1-processed-gene-26.34-mRNA-1	0.315272296428453	57.1691	0.480
augustus_masked-chromosome_4-processed-gene-1.132-mRNA-1	0.273094126810699	57.7670	0.402
snap_masked-chromosome_2-processed-gene-20.155-mRNA-1	0.266348297985805	55.3836	0.357
snap_masked-chromosome_3-processed-gene-20.46-mRNA-1	0.284149706972199	56.1147	0.377
snap_masked-chromosome_4-processed-gene-11.9-mRNA-1	0.317129471249582	55.3163	0.408
snap_masked-chromosome_3-processed-gene-0.12-mRNA-1	0.333093867253471	53.2503	0.378
maker-chromosome_3-snap-gene-14.0-mRNA-1	0.284527132032764	56.7561	0.397
augustus_masked-chromosome_4-processed-gene-7.131-mRNA-1	0.254363461112984	57.1587	0.440
snap_masked-chromosome_1-processed-gene-24.66-mRNA-1	0.273203828064398	58.2513	0.442
snap_masked-chromosome_1-processed-gene-26.165-mRNA-1	0.261079983827887	57.0569	0.395
snap_masked-chromosome_2-processed-gene-3.34-mRNA-1	0.310388239749748	54.9610	0.523
snap_masked-chromosome_3-processed-gene-18.83-mRNA-1	0.337961385045713	52.0418	0.448
snap_masked-chromosome_2-processed-gene-9.67-mRNA-1	0.301805051187364	58.1905	0.442
augustus_masked-chromosome_1-processed-gene-17.8-mRNA-1	0.289079463139248	55.9301	0.418
snap_masked-chromosome_2-processed-gene-21.180-mRNA-1	0.261772201894793	54.1454	0.330
snap_masked-chromosome_4-processed-gene-7.98-mRNA-1	0.313753340599668	51.1512	0.384
snap_masked-chromosome_1-processed-gene-4.168-mRNA-1	0.275788893372529	58.6641	0.431
snap_masked-chromosome_4-processed-gene-14.37-mRNA-1	0.267547341725862	56.6415	0.368
genemark-chromosome_3-processed-gene-15.90-mRNA-1	0.306504406285928	56.0689	0.471
snap_masked-chromosome_3-processed-gene-9.65-mRNA-1	0.304501587733732	57.6149	0.424
augustus_masked-chromosome_2-processed-gene-13.53-mRNA-1	0.325530522736324	55.6201	0.486
snap_masked-chromosome_1-processed-gene-1.3-mRNA-1	0.319847320504415	56.2070	0.410
snap_masked-chromosome_2-processed-gene-19.70-mRNA-1	0.268373346426543	56.1060	0.370
augustus_masked-chromosome_2-processed-gene-8.18-mRNA-1	0.304225709603722	56.3735	0.399
snap_masked-chromosome_1-processed-gene-24.65-mRNA-1	0.280728736192135	56.4978	0.368
snap_masked-chromosome_3-processed-gene-17.66-mRNA-1	0.352599994787042	50.1560	0.500
snap_masked-chromosome_2-processed-gene-3.51-mRNA-1	0.25304431586279	55.5763	0.378
snap_masked-chromosome_2-processed-gene-12.120-mRNA-1	0.350660100500113	48.2693	0.413
snap_masked-chromosome_3-processed-gene-21.200-mRNA-1	0.274653254814703	55.1267	0.335
genemark-chromosome_1-processed-gene-9.53-mRNA-1	0.309454380205014	56.1001	0.490
augustus_masked-chromosome_3-processed-gene-6.15-mRNA-1	0.2853661491379	56.3517	0.405
snap_masked-chromosome_1-processed-gene-20.158-mRNA-1	0.312852372609833	57.0023	0.473
snap_masked-chromosome_3-processed-gene-11.104-mRNA-1	0.273811656315698	57.2807	0.374
snap_masked-chromosome_3-processed-gene-12.45-mRNA-1	0.282153571324036	57.4057	0.361
snap_masked-chromosome_2-processed-gene-17.3-mRNA-1	0.284795764242237	54.9529	0.382
snap_masked-chromosome_3-processed-gene-2.135-mRNA-1	0.314027826329101	55.0737	0.394
genemark-chromosome_1-processed-gene-8.59-mRNA-1	0.308798329588029	56.2302	0.480
snap_masked-chromosome_1-processed-gene-6.10-mRNA-1	0.273454895545832	56.7738	0.378
snap_masked-chromosome_1-processed-gene-3.158-mRNA-1	0.287600533322496	55.2155	0.392
snap_masked-chromosome_1-processed-gene-25.90-mRNA-1	0.34941099991147	54.0550	0.445
maker-chromosome_4-snap-gene-13.201-mRNA-1	0.278660963068351	53.5654	0.365
snap_masked-chromosome_2-processed-gene-9.78-mRNA-1	0.270465270635728	55.6139	0.388
snap_masked-chromosome_1-processed-gene-23.59-mRNA-1	0.286822252566455	54.3889	0.365
snap_masked-chromosome_4-processed-gene-13.101-mRNA-1	0.259172618269997	55.8729	0.332
snap_masked-chromosome_1-processed-gene-23.78-mRNA-1	0.343650592405186	55.5338	0.475
snap_masked-chromosome_1-processed-gene-5.35-mRNA-1	0.27918874994572	53.9908	0.355
snap_masked-chromosome_1-processed-gene-26.138-mRNA-1	0.288729532650575	57.4022	0.437
snap_masked-chromosome_3-processed-gene-6.78-mRNA-1	0.289545525733248	56.4535	0.356
augustus_masked-chromosome_4-processed-gene-7.167-mRNA-1	0.309577564970328	50.5367	0.347
snap_masked-chromosome_4-processed-gene-1.32-mRNA-1	0.297520407826257	56.9557	0.392
snap_masked-chromosome_2-processed-gene-21.171-mRNA-1	0.302448772460497	54.6652	0.378
augustus_masked-chromosome_4-processed-gene-11.118-mRNA-1	0.317437761694576	55.5201	0.470
maker-chromosome_4-snap-gene-5.10-mRNA-1	0.320607975761771	54.3689	0.443
snap_masked-chromosome_2-processed-gene-22.273-mRNA-1	0.37253008830854	54.6068	0.500
snap_masked-chromosome_1-processed-gene-23.92-mRNA-1	0.299017124351635	57.2970	0.385
snap_masked-chromosome_4-processed-gene-3.16-mRNA-1	0.279044377680751	57.2548	0.369
snap_masked-chromosome_4-processed-gene-14.18-mRNA-1	0.288353185032267	55.8012	0.398
