Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
------------------------------------------------------------------------------------------------------------
maker-Sbay_1-snap-gene-0.223-mRNA-1                      3870       12        1        8   47.2431   52.8946
genemark-Sbay_1-processed-gene-0.0-mRNA-1                1368       12        1        8   48.3235   51.7999
maker-Sbay_1-snap-gene-0.216-mRNA-1                      2379       12        1        8   54.7014   59.0099
genemark-Sbay_1-processed-gene-0.3-mRNA-1                 570       11        1        8   55.8215   61.6236
augustus_masked-Sbay_1-processed-gene-0.157-mRNA-1       4710       12        1        8   57.9313   60.7821
genemark-Sbay_1-processed-gene-0.35-mRNA-1               2133       12        1        8   50.4407   57.2381
augustus_masked-Sbay_1-processed-gene-0.158-mRNA-1       2346       12        1        8   54.8101   58.8827
genemark-Sbay_1-processed-gene-0.7-mRNA-1                3132       12        1        8   56.1650   59.9235
augustus_masked-Sbay_1-processed-gene-0.185-mRNA-1       2709       12        1        8   58.7319   61.9471
maker-Sbay_1-augustus-gene-0.238-mRNA-1                  2184       12        1        8   57.5711   61.7597
augustus_masked-Sbay_1-processed-gene-0.160-mRNA-1        327       11        1        8   52.6223   52.2507
genemark-Sbay_1-processed-gene-0.40-mRNA-1               2973       12        1        8   44.3005   44.8487
maker-Sbay_1-augustus-gene-0.232-mRNA-1                  3909       12        1        8   56.0363   60.1853
genemark-Sbay_1-processed-gene-0.41-mRNA-1               1752       12        1        8   53.7538   58.2726
genemark-Sbay_1-processed-gene-0.42-mRNA-1                831       12        1        8   50.3394   50.6530
genemark-Sbay_1-processed-gene-0.10-mRNA-1               1497       11        1        7   35.3269   58.7532
genemark-Sbay_1-processed-gene-0.11-mRNA-1                792       12        1        8   56.9184   62.2085
genemark-Sbay_1-processed-gene-0.43-mRNA-1               1104       12        1        8   47.3233   61.9338
genemark-Sbay_1-processed-gene-0.12-mRNA-1               2961       12        1        8   45.0438   61.6501
genemark-Sbay_1-processed-gene-0.13-mRNA-1                861       12        1        8   55.2532   60.9161
genemark-Sbay_1-processed-gene-0.44-mRNA-1               1215       12        1        8   57.9608   62.6996
genemark-Sbay_1-processed-gene-0.14-mRNA-1                501       12        1        8   53.2354   58.0713
maker-Sbay_1-augustus-gene-0.240-mRNA-1                  3450       12        1        8   57.6523   61.9822
genemark-Sbay_1-processed-gene-0.15-mRNA-1                348       12        1        8   55.8914   59.2178
genemark-Sbay_1-processed-gene-0.47-mRNA-1               4410       12        1        8   58.5326   62.4638
augustus_masked-Sbay_1-processed-gene-0.168-mRNA-1       2244       12        1        8   59.2980   62.7242
genemark-Sbay_1-processed-gene-0.48-mRNA-1               4062       12        1        8   54.3073   58.5801
genemark-Sbay_1-processed-gene-0.49-mRNA-1                906       12        1        8   50.1541   61.7772
genemark-Sbay_1-processed-gene-0.50-mRNA-1               4323       12        1        8   58.1722   60.5786
genemark-Sbay_1-processed-gene-0.51-mRNA-1               2274       12        1        8   52.4517   59.9293
augustus_masked-Sbay_1-processed-gene-0.198-mRNA-1       5073       12        1        8   48.2066   50.5415
genemark-Sbay_1-processed-gene-0.18-mRNA-1               3381       12        1        8   57.8769   61.8528
genemark-Sbay_1-processed-gene-0.54-mRNA-1                978       12        1        8   56.2341   62.0556
genemark-Sbay_1-processed-gene-0.19-mRNA-1               4077       12        1        8   59.2452   61.7507
genemark-Sbay_1-processed-gene-0.20-mRNA-1               1890       12        1        8   55.9320   61.8388
snap_masked-Sbay_1-processed-gene-0.133-mRNA-1           1914       12        1        8   53.1131   57.8656
augustus_masked-Sbay_1-processed-gene-0.172-mRNA-1       2466       12        1        8   42.6022   46.0979
genemark-Sbay_1-processed-gene-0.23-mRNA-1               1914       12        1        8   57.5267   61.9988
genemark-Sbay_1-processed-gene-0.57-mRNA-1               1473       12        1        8   57.5817   59.5660
augustus_masked-Sbay_1-processed-gene-0.174-mRNA-1       1293       12        1        8   56.7181   61.3875
snap_masked-Sbay_1-processed-gene-0.135-mRNA-1            642       11        1        8   53.5685   61.1075
snap_masked-Sbay_1-processed-gene-0.137-mRNA-1           1536       12        1        8   38.2202   60.3085
maker-Sbay_1-augustus-gene-0.234-mRNA-1                   618       11        1        7   40.5904   59.6980
genemark-Sbay_1-processed-gene-0.27-mRNA-1               3810       12        1        8   56.8914   59.2388
genemark-Sbay_1-processed-gene-0.60-mRNA-1               3480       12        1        8   57.6442   59.9642
genemark-Sbay_1-processed-gene-0.28-mRNA-1               1593       12        1        8   52.9305   53.8872
genemark-Sbay_1-processed-gene-0.61-mRNA-1                654       12        1        8   52.3227   59.4847
genemark-Sbay_1-processed-gene-0.29-mRNA-1               1281       12        1        8   55.2282   59.3250
genemark-Sbay_1-processed-gene-0.62-mRNA-1               1860       12        1        8   53.3654   60.5971
snap_masked-Sbay_1-processed-gene-0.104-mRNA-1            861       12        1        8   54.6426   62.4649
