Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                  SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------
maker-CR382121-augustus-gene-0.38-mRNA-1                    873       12        1        8   56.4639   61.1067
genemark-CR382121-processed-gene-0.73-mRNA-1               1494       12        1        8   57.0629   62.2748
snap_masked-CR382121-processed-gene-0.2-mRNA-1              414       10        1        7   52.9132   55.3903
augustus_masked-CR382121-processed-gene-0.55-mRNA-1        1404       12        1        8   52.9775   58.0746
augustus_masked-CR382121-processed-gene-0.56-mRNA-1         969       12        1        8   43.9062   56.1241
snap_masked-CR382121-processed-gene-0.3-mRNA-1              480       11        1        8   53.3093   58.9167
augustus_masked-CR382121-processed-gene-0.57-mRNA-1         828       12        1        8   53.3461   59.5949
augustus_masked-CR382121-processed-gene-0.43-mRNA-1         699       11        1        8   55.3262   61.9663
augustus_masked-CR382121-processed-gene-0.58-mRNA-1        3669       12        1        8   56.9671   58.2420
augustus_masked-CR382121-processed-gene-0.59-mRNA-1         651       12        1        8   56.3570   57.8431
augustus_masked-CR382121-processed-gene-0.44-mRNA-1         888       12        1        8   49.5466   57.3998
augustus_masked-CR382121-processed-gene-0.45-mRNA-1        3033       12        1        8   56.9678   58.7276
augustus_masked-CR382121-processed-gene-0.60-mRNA-1        1923       12        1        8   45.8137   56.6112
augustus_masked-CR382121-processed-gene-0.61-mRNA-1        1062       12        1        8   56.3902   59.3308
augustus_masked-CR382121-processed-gene-0.46-mRNA-1        1056       12        1        8   56.8819   59.8284
augustus_masked-CR382121-processed-gene-0.62-mRNA-1        1626       12        1        8   41.0120   59.0615
snap_masked-CR382121-processed-gene-0.8-mRNA-1              369       12        1        8   55.9729   59.0553
augustus_masked-CR382121-processed-gene-0.63-mRNA-1        3684       12        1        8   56.1698   58.5006
augustus_masked-CR382121-processed-gene-0.47-mRNA-1        1137       12        1        8   56.0060   60.2124
snap_masked-CR382121-processed-gene-0.29-mRNA-1            1728       12        1        8   55.1134   58.9705
snap_masked-CR382121-processed-gene-0.30-mRNA-1            5241       12        1        8   55.5012   57.1533
augustus_masked-CR382121-processed-gene-0.66-mRNA-1        3462       12        1        8   52.8383   56.6088
augustus_masked-CR382121-processed-gene-0.67-mRNA-1        1569       12        1        8   54.9931   57.8660
augustus_masked-CR382121-processed-gene-0.48-mRNA-1        2121       12        1        8   44.2556   60.7814
augustus_masked-CR382121-processed-gene-0.68-mRNA-1        1770       12        1        8   56.8245   59.4473
augustus_masked-CR382121-processed-gene-0.49-mRNA-1        1743       12        1        8   53.0842   57.5533
snap_masked-CR382121-processed-gene-0.12-mRNA-1            1137       12        1        8   55.8953   59.6599
augustus_masked-CR382121-processed-gene-0.69-mRNA-1         510       12        1        8   53.3508   56.4096
snap_masked-CR382121-processed-gene-0.13-mRNA-1            2853       12        1        8   54.7684   57.5507
snap_masked-CR382121-processed-gene-0.14-mRNA-1            1002       12        1        8   55.1135   58.3237
augustus_masked-CR382121-processed-gene-0.52-mRNA-1         777       12        1        8   58.3948   62.3586
augustus_masked-CR382121-processed-gene-0.53-mRNA-1        2877       12        1        8   55.6342   58.4993
maker-CR382121-snap-gene-0.106-mRNA-1                      2925       12        1        8   53.8071   56.2695
augustus_masked-CR382121-processed-gene-0.54-mRNA-1         759       12        1        8   54.6935   57.5618
augustus_masked-CR382121-processed-gene-1.50-mRNA-1        2373       12        1        8   46.4603   57.5324
augustus_masked-CR382121-processed-gene-1.54-mRNA-1        1026       12        1        8   53.1291   58.4287
augustus_masked-CR382121-processed-gene-1.51-mRNA-1        1455       12        1        8   46.2846   59.5369
augustus_masked-CR382121-processed-gene-1.52-mRNA-1        2580       12        1        8   56.1687   59.0916
augustus_masked-CR382121-processed-gene-1.53-mRNA-1         924       12        1        8   52.4386   58.5938
augustus_masked-CR382121-processed-gene-1.73-mRNA-1         603       11        1        8   54.5957   59.1413
augustus_masked-CR382121-processed-gene-1.55-mRNA-1         696       12        1        8   54.4488   59.7985
genemark-CR382121-processed-gene-1.119-mRNA-1               624       12        1        8   53.9652   59.5884
augustus_masked-CR382121-processed-gene-1.56-mRNA-1         828       12        1        8   55.9321   61.5148
