Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                          SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------------
augustus_masked-flattened_line_0-processed-gene-0.62-mRNA-1         747       11        3        7   44.8048   44.4934
augustus_masked-flattened_line_0-processed-gene-0.63-mRNA-1         924       11        3        7   47.7932   50.4305
augustus_masked-flattened_line_0-processed-gene-0.45-mRNA-1        1161       11        3        7   54.2813   61.8222
augustus_masked-flattened_line_0-processed-gene-0.64-mRNA-1        2583       11        3        7   56.9045   61.4395
augustus_masked-flattened_line_0-processed-gene-0.46-mRNA-1        1911       11        3        7   53.8716   57.4481
augustus_masked-flattened_line_0-processed-gene-0.47-mRNA-1        1365       11        3        7   55.8392   60.7340
augustus_masked-flattened_line_0-processed-gene-0.65-mRNA-1        1467       11        3        7   47.3651   50.0019
maker-flattened_line_0-augustus-gene-0.80-mRNA-1                   1662       11        3        7   46.4696   47.7654
augustus_masked-flattened_line_0-processed-gene-0.48-mRNA-1        1014       11        3        7   49.6078   50.7490
augustus_masked-flattened_line_0-processed-gene-0.67-mRNA-1        1605       11        3        7   52.1916   54.5852
snap_masked-flattened_line_0-processed-gene-0.102-mRNA-1           2052       11        3        7   51.5393   54.3877
snap_masked-flattened_line_0-processed-gene-0.103-mRNA-1           1326       11        3        7   53.9641   55.5949
maker-flattened_line_0-snap-gene-0.40-mRNA-1                       1629       11        3        7   52.8793   55.5356
genemark-flattened_line_0-processed-gene-0.5-mRNA-1                2274       11        3        7   55.5642   60.1451
