gene_id	tAI	nc	gc3
augustus_masked-scf7180000048806-processed-gene-0.2-mRNA-1	0.510947825343484	54.5501	0.316
genemark-scf7180000049558-processed-gene-0.170-mRNA-1	0.593014997806893	44.4837	0.241
augustus_masked-scf7180000049566-processed-gene-1.12-mRNA-1	0.57784265130642	45.1912	0.083
snap_masked-scf7180000049569-processed-gene-0.139-mRNA-1	0.506976893702426	50.5625	0.213
maker-scf7180000049562-augustus-gene-0.3-mRNA-1	0.551752118196024	48.6589	0.329
snap_masked-scf7180000049499-processed-gene-0.51-mRNA-1	0.512887840429499	53.3595	0.289
augustus_masked-scf7180000049588-processed-gene-3.69-mRNA-1	0.564726810509798	44.9839	0.213
augustus_masked-scf7180000049514-processed-gene-0.103-mRNA-1	0.582518772873904	46.0878	0.347
maker-scf7180000049582-augustus-gene-2.5-mRNA-1	0.602707507814776	41.2486	0.256
augustus_masked-scf7180000049530-processed-gene-0.44-mRNA-1	0.507008307811499	51.5236	0.282
snap_masked-scf7180000049493-processed-gene-1.27-mRNA-1	0.57500785884563	48.6959	0.253
augustus_masked-scf7180000049523-processed-gene-0.79-mRNA-1	0.533746889795872	45.9369	0.193
augustus_masked-scf7180000049481-processed-gene-0.56-mRNA-1	0.599800493673904	45.3981	0.253
augustus_masked-scf7180000049481-processed-gene-0.44-mRNA-1	0.569379850653393	46.7082	0.221
maker-scf7180000049566-augustus-gene-1.3-mRNA-1	0.514293379028036	48.6753	0.200
augustus_masked-scf7180000049577-processed-gene-0.27-mRNA-1	0.509003761043415	49.6255	0.319
snap_masked-scf7180000049528-processed-gene-0.3-mRNA-1	0.573060744395395	39.9579	0.111
snap_masked-scf7180000049566-processed-gene-2.43-mRNA-1	0.487300599411506	55.1838	0.338
snap_masked-scf7180000049581-processed-gene-3.90-mRNA-1	0.534093976202817	55.0163	0.308
snap_masked-scf7180000049551-processed-gene-0.2-mRNA-1	0.50375149512679	52.4409	0.279
augustus_masked-scf7180000049522-processed-gene-0.69-mRNA-1	0.544743316100248	47.8347	0.321
augustus_masked-scf7180000049515-processed-gene-1.190-mRNA-1	0.560759926427947	48.5969	0.239
augustus_masked-scf7180000049432-processed-gene-0.15-mRNA-1	0.552445355661325	50.2741	0.224
augustus_masked-scf7180000049569-processed-gene-0.39-mRNA-1	0.550234778749504	48.4114	0.254
augustus_masked-scf7180000049586-processed-gene-3.31-mRNA-1	0.513600480367817	48.1204	0.231
augustus_masked-scf7180000049546-processed-gene-0.75-mRNA-1	0.54866070627671	48.5265	0.240
augustus_masked-scf7180000049507-processed-gene-0.62-mRNA-1	0.75138394121696	36.9277	0.373
maker-scf7180000049562-augustus-gene-0.2-mRNA-1	0.674762888541927	37.9561	0.385
maker-scf7180000049493-snap-gene-0.44-mRNA-1	0.709609125233438	35.7803	0.257
augustus_masked-scf7180000049499-processed-gene-0.168-mRNA-1	0.523358133986031	48.8939	0.217
snap_masked-scf7180000048719-processed-gene-0.4-mRNA-1	0.565199572871624	49.3897	0.250
augustus_masked-scf7180000049496-processed-gene-0.18-mRNA-1	0.542075189793468	49.5488	0.295
snap_masked-scf7180000049586-processed-gene-1.103-mRNA-1	0.51710494385113	50.2084	0.251
augustus_masked-scf7180000049585-processed-gene-1.9-mRNA-1	0.645174966568659	43.2314	0.141
augustus_masked-scf7180000049515-processed-gene-1.184-mRNA-1	0.645652817454129	39.9082	0.217
augustus_masked-scf7180000049523-processed-gene-0.113-mRNA-1	0.63865860791165	43.3398	0.279
augustus_masked-scf7180000049590-processed-gene-2.70-mRNA-1	0.472422998666177	54.2318	0.306
augustus_masked-scf7180000049558-processed-gene-0.136-mRNA-1	0.545874028407247	48.5626	0.252
augustus_masked-scf7180000049585-processed-gene-5.166-mRNA-1	0.484045359077291	54.0342	0.285
augustus_masked-scf7180000049574-processed-gene-0.8-mRNA-1	0.72660590426041	34.0022	0.285
augustus_masked-scf7180000049520-processed-gene-0.41-mRNA-1	0.506427672631137	52.9004	0.289
