gene_id	tAI	nc	gc3
genemark-CACA0S05-processed-gene-13.82-mRNA-1	0.244301140565182	56.1397	0.385
genemark-CACA0S27-processed-gene-9.77-mRNA-1	0.338043967978821	51.2415	0.739
snap_masked-CACA0S05-processed-gene-3.102-mRNA-1	0.259822057798327	53.1863	0.403
snap_masked-CACA0S21-processed-gene-3.39-mRNA-1	0.228868238158834	54.5842	0.324
snap_masked-CACA0S27-processed-gene-6.104-mRNA-1	0.250633831445247	54.8907	0.331
augustus_masked-CACA0S36-processed-gene-1.51-mRNA-1	0.260303542438244	59.3395	0.423
genemark-CACA0S12-processed-gene-8.108-mRNA-1	0.255796765266373	53.8082	0.360
augustus_masked-CACA0S05-processed-gene-8.42-mRNA-1	0.275671049004001	56.4964	0.384
genemark-CACA0S12-processed-gene-12.76-mRNA-1	0.246808447710982	54.1645	0.381
genemark-CACA0S21-processed-gene-9.64-mRNA-1	0.267410225001852	57.8257	0.424
genemark-CACA0S12-processed-gene-1.46-mRNA-1	0.282336012542148	58.6598	0.423
augustus_masked-CACA0S27-processed-gene-5.133-mRNA-1	0.236589750175413	56.5027	0.378
genemark-CACA0S05-processed-gene-11.49-mRNA-1	0.230381992456343	57.4050	0.393
snap_masked-CACA0S27-processed-gene-6.117-mRNA-1	0.247184929700939	55.1482	0.320
augustus_masked-CACA0S21-processed-gene-11.150-mRNA-1	0.250440653203116	55.2978	0.320
augustus_masked-CACA0S12-processed-gene-6.122-mRNA-1	0.305800207585929	47.5899	0.795
augustus_masked-CACA0S15-processed-gene-4.76-mRNA-1	0.251276569476171	55.1848	0.388
maker-CACA0S17-augustus-gene-0.118-mRNA-1	0.245855255390105	56.7617	0.350
maker-CACA0S33-augustus-gene-1.134-mRNA-1	0.257410702704873	57.6276	0.368
genemark-CACA0S21-processed-gene-8.80-mRNA-1	0.261014487107001	56.1853	0.338
snap_masked-CACA0S27-processed-gene-3.17-mRNA-1	0.238204963802285	55.8177	0.355
genemark-CACA0S05-processed-gene-15.14-mRNA-1	0.281108254963331	58.9098	0.414
genemark-CACA0S05-processed-gene-17.104-mRNA-1	0.286377433217248	58.3413	0.427
genemark-CACA0S15-processed-gene-0.49-mRNA-1	0.282327537761641	54.2597	0.428
augustus_masked-CACA0S05-processed-gene-1.85-mRNA-1	0.29161778352962	56.8724	0.474
snap_masked-CACA0S05-processed-gene-5.14-mRNA-1	0.240000966540397	57.3886	0.344
snap_masked-CACA0S21-processed-gene-9.115-mRNA-1	0.257055658439171	54.1783	0.283
genemark-CACA0S05-processed-gene-9.69-mRNA-1	0.277482473481729	56.1290	0.356
snap_masked-CACA0S15-processed-gene-2.16-mRNA-1	0.23453119852698	57.0053	0.360
augustus_masked-CACA0S05-processed-gene-1.83-mRNA-1	0.266051851335293	57.1970	0.454
genemark-CACA0S17-processed-gene-7.96-mRNA-1	0.276276058190818	55.9950	0.583
augustus_masked-CACA0S21-processed-gene-2.108-mRNA-1	0.280220780477034	59.0778	0.448
genemark-CACA0S15-processed-gene-0.61-mRNA-1	0.294506854788113	56.2143	0.473
snap_masked-CACA0S36-processed-gene-9.138-mRNA-1	0.258677382826662	57.3655	0.373
snap_masked-CACA0S15-processed-gene-6.123-mRNA-1	0.242060634940044	55.0252	0.342
augustus_masked-CACA0S36-processed-gene-1.57-mRNA-1	0.237500515973116	56.2739	0.413
genemark-CACA0S36-processed-gene-0.46-mRNA-1	0.26163654827072	57.1795	0.377
maker-CACA0S27-augustus-gene-1.0-mRNA-1	0.325258587643133	53.4771	0.472
genemark-CACA0S17-processed-gene-6.111-mRNA-1	0.247062383057669	56.5480	0.365
genemark-CACA0S12-processed-gene-1.4-mRNA-1	0.234947389113241	57.9679	0.392
genemark-CACA0S12-processed-gene-10.13-mRNA-1	0.294625858179524	54.8792	0.330
augustus_masked-CACA0S33-processed-gene-8.28-mRNA-1	0.250340340600349	56.6726	0.364
genemark-CACA0S17-processed-gene-7.101-mRNA-1	0.209624100438474	54.1227	0.331
genemark-CACA0S12-processed-gene-0.58-mRNA-1	0.297451768170712	52.1481	0.379
augustus_masked-CACA0S12-processed-gene-13.42-mRNA-1	0.25091365693395	56.9247	0.376
genemark-CACA0S21-processed-gene-4.61-mRNA-1	0.289738500334953	55.5088	0.425
genemark-CACA0S21-processed-gene-11.60-mRNA-1	0.233432235234251	54.1238	0.306
augustus_masked-CACA0S17-processed-gene-5.27-mRNA-1	0.264815305636945	55.7473	0.477
augustus_masked-CACA0S05-processed-gene-19.18-mRNA-1	0.22936381432496	56.5998	0.358
augustus_masked-CACA0S36-processed-gene-3.72-mRNA-1	0.258813543593978	56.1341	0.367
genemark-CACA0S17-processed-gene-1.36-mRNA-1	0.261598133570872	52.8091	0.290
genemark-CACA0S27-processed-gene-1.17-mRNA-1	0.232210003446854	57.0222	0.383
genemark-CACA0S36-processed-gene-4.77-mRNA-1	0.237953032789304	51.7568	0.323
genemark-CACA0S12-processed-gene-6.70-mRNA-1	0.287889135314576	53.8190	0.354
genemark-CACA0S21-processed-gene-4.53-mRNA-1	0.290534755776519	57.1831	0.462
genemark-CACA0S21-processed-gene-9.95-mRNA-1	0.261930550531442	56.5779	0.395
genemark-CACA0S15-processed-gene-8.192-mRNA-1	0.295950220040879	53.8737	0.409
genemark-CACA0S17-processed-gene-5.63-mRNA-1	0.257118220419833	55.1160	0.334
snap_masked-CACA0S05-processed-gene-15.86-mRNA-1	0.229667593593275	57.6895	0.352
augustus_masked-CACA0S05-processed-gene-4.50-mRNA-1	0.313541424845615	53.4749	0.599
augustus_masked-CACA0S21-processed-gene-5.103-mRNA-1	0.243253226530012	57.4376	0.349
genemark-CACA0S21-processed-gene-10.17-mRNA-1	0.269381241194127	57.6176	0.372
genemark-CACA0S36-processed-gene-6.45-mRNA-1	0.295151618218611	54.8331	0.361
snap_masked-CACA0S05-processed-gene-10.121-mRNA-1	0.24049618094286	58.1679	0.405
genemark-CACA0S36-processed-gene-7.84-mRNA-1	0.285119864921433	55.0705	0.340
augustus_masked-CACA0S12-processed-gene-8.59-mRNA-1	0.243180132401918	57.3758	0.348
genemark-CACA0S05-processed-gene-8.94-mRNA-1	0.277149966148557	56.8984	0.377
snap_masked-CACA0S27-processed-gene-7.29-mRNA-1	0.228382090579506	54.4934	0.322
genemark-CACA0S12-processed-gene-2.33-mRNA-1	0.289968760454416	56.3996	0.561
genemark-CACA0S27-processed-gene-10.13-mRNA-1	0.280687545139481	55.1359	0.379
genemark-CACA0S12-processed-gene-2.38-mRNA-1	0.252482621293433	54.9380	0.362
genemark-CACA0S33-processed-gene-8.74-mRNA-1	0.26361276548005	54.9541	0.394
genemark-CACA0S33-processed-gene-2.70-mRNA-1	0.278585637951427	53.4738	0.355
snap_masked-CACA0S33-processed-gene-3.128-mRNA-1	0.27230599103671	52.8133	0.354
genemark-CACA0S17-processed-gene-3.117-mRNA-1	0.224077682783462	55.8147	0.350
genemark-CACA0S36-processed-gene-9.97-mRNA-1	0.227555936544065	57.0343	0.356
genemark-CACA0S17-processed-gene-0.57-mRNA-1	0.25457259664472	56.8656	0.390
genemark-CACA0S15-processed-gene-5.72-mRNA-1	0.275677243874389	57.0698	0.432
snap_masked-CACA0S12-processed-gene-12.90-mRNA-1	0.245014004594534	55.9342	0.326
snap_masked-CACA0S21-processed-gene-11.180-mRNA-1	0.263230513235092	54.6865	0.335
genemark-CACA0S27-processed-gene-3.78-mRNA-1	0.234025329503882	53.5001	0.304
augustus_masked-CACA0S33-processed-gene-6.38-mRNA-1	0.352535928191757	54.2016	0.544
genemark-CACA0S21-processed-gene-2.79-mRNA-1	0.252675723090879	54.6230	0.347
snap_masked-CACA0S15-processed-gene-3.116-mRNA-1	0.256515966396564	56.8275	0.352
snap_masked-CACA0S23-processed-gene-0.6-mRNA-1	0.236775977658167	54.6556	0.332
genemark-CACA0S21-processed-gene-4.54-mRNA-1	0.225872252653873	55.5311	0.345
genemark-CACA0S15-processed-gene-8.196-mRNA-1	0.351798248031801	54.7360	0.509
genemark-CACA0S05-processed-gene-19.63-mRNA-1	0.239616691788956	56.4373	0.346
genemark-CACA0S33-processed-gene-7.36-mRNA-1	0.299914277565123	54.5620	0.363
genemark-CACA0S05-processed-gene-18.23-mRNA-1	0.339102977693692	48.3315	0.510
genemark-CACA0S05-processed-gene-18.47-mRNA-1	0.258055139724613	56.4007	0.404
snap_masked-CACA0S21-processed-gene-4.27-mRNA-1	0.285029333519789	55.1666	0.401
genemark-CACA0S33-processed-gene-6.49-mRNA-1	0.258324665716531	54.7057	0.330
augustus_masked-CACA0S12-processed-gene-0.87-mRNA-1	0.289370407474108	57.8510	0.495
genemark-CACA0S33-processed-gene-10.142-mRNA-1	0.265813443830346	56.2070	0.360
augustus_masked-CACA0S12-processed-gene-15.44-mRNA-1	0.197597422077784	53.3403	0.296
maker-CACA0S05-augustus-gene-7.142-mRNA-1	0.325153785103985	54.3449	0.647
genemark-CACA0S12-processed-gene-9.103-mRNA-1	0.310365019085871	55.0532	0.448
genemark-CACA0S05-processed-gene-13.72-mRNA-1	0.28728684865004	56.7225	0.356
genemark-CACA0S36-processed-gene-3.45-mRNA-1	0.238613456504238	57.0524	0.346
genemark-CACA0S27-processed-gene-5.73-mRNA-1	0.247103975485576	54.1083	0.310
genemark-CACA0S15-processed-gene-8.193-mRNA-1	0.269889115741196	55.7857	0.367
snap_masked-CACA0S12-processed-gene-15.118-mRNA-1	0.225055960543808	56.7203	0.367
genemark-CACA0S27-processed-gene-8.95-mRNA-1	0.406296601593925	37.4073	0.547
genemark-CACA0S21-processed-gene-3.62-mRNA-1	0.24539716429387	53.7318	0.312
genemark-CACA0S05-processed-gene-9.63-mRNA-1	0.257200824490471	58.4420	0.401
augustus_masked-CACA0S12-processed-gene-4.11-mRNA-1	0.271476433338765	58.1744	0.436
snap_masked-CACA0S15-processed-gene-1.121-mRNA-1	0.286462839143087	58.6075	0.576
augustus_masked-CACA0S05-processed-gene-0.65-mRNA-1	0.261500319951549	54.5584	0.376
genemark-CACA0S33-processed-gene-9.76-mRNA-1	0.271622759103417	56.6651	0.356
genemark-CACA0S27-processed-gene-7.69-mRNA-1	0.26795844856126	53.5345	0.356
genemark-CACA0S36-processed-gene-4.102-mRNA-1	0.356852055566134	50.7033	0.732
genemark-CACA0S12-processed-gene-2.11-mRNA-1	0.239779074083113	55.3815	0.348
genemark-CACA0S27-processed-gene-7.91-mRNA-1	0.251881739103134	57.0551	0.391
genemark-CACA0S36-processed-gene-8.85-mRNA-1	0.279853447658432	52.5305	0.352
augustus_masked-CACA0S12-processed-gene-3.105-mRNA-1	0.315120823449848	49.3293	0.780
genemark-CACA0S12-processed-gene-15.12-mRNA-1	0.261711200180896	55.3658	0.366
augustus_masked-CACA0S27-processed-gene-3.98-mRNA-1	0.257769438584272	54.2621	0.370
augustus_masked-CACA0S12-processed-gene-3.125-mRNA-1	0.335438277159705	53.5524	0.589
snap_masked-CACA0S17-processed-gene-0.78-mRNA-1	0.231400344119176	57.0555	0.348
