Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
genemark-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.8-mRNA-1              1557       12        1        8   56.5617   59.7345
maker-NODE_100_length_29638_cov_59.8999_ID_199-snap-gene-0.11-mRNA-1                      681       12        1        8   57.4705   62.7844
snap_masked-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.20-mRNA-1           339       12        1        8   55.1075   62.3032
maker-NODE_100_length_29638_cov_59.8999_ID_199-snap-gene-0.14-mRNA-1                      435       12        1        8   56.8743   61.0482
genemark-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.10-mRNA-1             1026       12        1        8   55.0007   59.0111
genemark-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.5-mRNA-1               471       11        1        8   52.6974   59.1915
augustus_masked-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.1-mRNA-1       1176       10        1        7   57.0058   59.8919
genemark-NODE_101_length_27650_cov_10.3829_ID_201-processed-gene-0.18-mRNA-1             1674       12        1        8   57.9674   61.7286
genemark-NODE_101_length_27650_cov_10.3829_ID_201-processed-gene-0.19-mRNA-1             1491       12        1        8   58.6332   62.5024
genemark-NODE_101_length_27650_cov_10.3829_ID_201-processed-gene-0.20-mRNA-1              732       12        1        8   53.6788   57.3743
genemark-NODE_101_length_27650_cov_10.3829_ID_201-processed-gene-0.25-mRNA-1             5547       12        1        8   60.1417   62.2235
augustus_masked-NODE_101_length_27650_cov_10.3829_ID_201-processed-gene-0.3-mRNA-1       9318       12        1        8   57.8057   60.7983
augustus_masked-NODE_101_length_27650_cov_10.3829_ID_201-processed-gene-0.4-mRNA-1        786       12        1        8   49.5870   58.4624
maker-NODE_101_length_27650_cov_10.3829_ID_201-augustus-gene-0.8-mRNA-1                  1176       12        1        8   56.9532   60.6082
genemark-NODE_101_length_27650_cov_10.3829_ID_201-processed-gene-0.26-mRNA-1             2109       12        1        8   48.2189   48.3543
snap_masked-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.7-mRNA-1           4563       12        1        8   44.9720   58.4099
snap_masked-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.8-mRNA-1           1611       12        1        8   58.1858   62.7826
genemark-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.22-mRNA-1              417       11        1        8   52.8149   61.7931
genemark-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.20-mRNA-1             5496       12        1        8   56.6247   61.2577
augustus_masked-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.4-mRNA-1       3462       12        1        8   58.6427   62.4227
snap_masked-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.10-mRNA-1          1044       12        1        8   57.3842   62.0364
snap_masked-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.15-mRNA-1          1947       12        1        8   56.3471   60.2860
snap_masked-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.16-mRNA-1          1596       12        1        8   50.0580   51.8381
genemark-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.28-mRNA-1             1413       12        1        8   48.3009   51.4764
augustus_masked-NODE_103_length_26248_cov_9.43939_ID_205-processed-gene-0.2-mRNA-1       2178       12        1        8   47.3817   49.6285
augustus_masked-NODE_103_length_26248_cov_9.43939_ID_205-processed-gene-0.6-mRNA-1       8871       12        1        8   59.5634   61.9455
genemark-NODE_103_length_26248_cov_9.43939_ID_205-processed-gene-0.10-mRNA-1             1248       12        1        8   55.8684   62.2041
genemark-NODE_103_length_26248_cov_9.43939_ID_205-processed-gene-0.20-mRNA-1             2193       12        1        8   58.4922   62.1872
augustus_masked-NODE_103_length_26248_cov_9.43939_ID_205-processed-gene-0.4-mRNA-1        927       12        1        8   55.5045   61.5525
augustus_masked-NODE_103_length_26248_cov_9.43939_ID_205-processed-gene-0.5-mRNA-1       2415       12        1        8   55.9633   60.9504
genemark-NODE_103_length_26248_cov_9.43939_ID_205-processed-gene-0.21-mRNA-1             1341       12        1        8   57.2922   61.2245
