gene_id	tAI	nc	gc3
maker-flattened_line_182-augustus-gene-0.84-mRNA-1	0.440142484638576	56.9668	0.525
maker-flattened_line_98-snap-gene-0.8-mRNA-1	0.447366892973579	57.5397	0.529
maker-flattened_line_68-snap-gene-0.14-mRNA-1	0.440388579925559	55.0291	0.647
augustus_masked-flattened_line_409-processed-gene-0.11-mRNA-1	0.448681091514012	57.2281	0.564
augustus_masked-flattened_line_511-processed-gene-0.4-mRNA-1	0.452600900413513	57.4098	0.573
augustus_masked-flattened_line_40-processed-gene-0.195-mRNA-1	0.43385939083229	50.1274	0.722
augustus_masked-flattened_line_11-processed-gene-1.74-mRNA-1	0.441695571116847	57.5216	0.608
augustus_masked-flattened_line_306-processed-gene-0.25-mRNA-1	0.458890084595095	53.4537	0.689
maker-flattened_line_84-snap-gene-0.66-mRNA-1	0.462393022671482	57.5319	0.577
maker-flattened_line_160-snap-gene-0.109-mRNA-1	0.466051845862407	59.0164	0.487
maker-flattened_line_19-snap-gene-1.177-mRNA-1	0.43499554122297	55.6743	0.474
augustus_masked-flattened_line_152-processed-gene-0.2-mRNA-1	0.459680468492789	59.3402	0.487
augustus_masked-flattened_line_6-processed-gene-2.34-mRNA-1	0.456616763870725	57.8878	0.563
genemark-flattened_line_40-processed-gene-0.283-mRNA-1	0.461678290571111	60.3067	0.504
augustus_masked-flattened_line_2-processed-gene-1.149-mRNA-1	0.475027724854896	56.9209	0.549
augustus_masked-flattened_line_880-processed-gene-0.1-mRNA-1	0.447698703434476	53.7383	0.522
augustus_masked-flattened_line_112-processed-gene-0.28-mRNA-1	0.467887490996123	58.9406	0.530
augustus_masked-flattened_line_1-processed-gene-1.86-mRNA-1	0.458941182563606	59.8457	0.509
maker-flattened_line_298-augustus-gene-0.6-mRNA-1	0.482446497845574	49.0021	0.725
augustus_masked-flattened_line_1-processed-gene-2.87-mRNA-1	0.458941182563606	59.8457	0.509
maker-flattened_line_44-augustus-gene-0.198-mRNA-1	0.439965097790664	58.7962	0.484
augustus_masked-flattened_line_15-processed-gene-0.63-mRNA-1	0.44093317617594	53.8721	0.676
augustus_masked-flattened_line_35-processed-gene-0.53-mRNA-1	0.454756246023984	57.7543	0.588
maker-flattened_line_46-augustus-gene-0.135-mRNA-1	0.456687421268557	54.2464	0.467
augustus_masked-flattened_line_218-processed-gene-0.32-mRNA-1	0.445030485939609	55.4713	0.614
maker-flattened_line_25-snap-gene-0.63-mRNA-1	0.466546000204711	58.1849	0.439
maker-flattened_line_144-snap-gene-0.131-mRNA-1	0.42686531958064	55.4896	0.422
augustus_masked-flattened_line_76-processed-gene-0.70-mRNA-1	0.451860300597894	57.4780	0.491
augustus_masked-flattened_line_116-processed-gene-0.78-mRNA-1	0.467859235118166	59.6326	0.495
augustus_masked-flattened_line_62-processed-gene-0.75-mRNA-1	0.527615959470481	47.7406	0.657
snap_masked-flattened_line_525-processed-gene-0.1-mRNA-1	0.448796317681171	52.8759	0.675
snap_masked-flattened_line_0-processed-gene-3.243-mRNA-1	0.444477557280073	60.1957	0.495
maker-flattened_line_21-augustus-gene-1.0-mRNA-1	0.434757239010639	56.8112	0.553
augustus_masked-flattened_line_140-processed-gene-0.2-mRNA-1	0.483506074920978	53.8954	0.552
maker-flattened_line_8-augustus-gene-1.24-mRNA-1	0.43051679608517	56.2042	0.565
maker-flattened_line_48-augustus-gene-0.54-mRNA-1	0.469760688630279	58.5098	0.492
maker-flattened_line_176-augustus-gene-0.32-mRNA-1	0.476915242504929	56.2989	0.453
augustus_masked-flattened_line_92-processed-gene-0.89-mRNA-1	0.467286797470946	58.3540	0.499
maker-flattened_line_6-augustus-gene-1.139-mRNA-1	0.45740599511178	58.7279	0.573
maker-flattened_line_8-augustus-gene-1.7-mRNA-1	0.476002495268597	52.5241	0.667
augustus_masked-flattened_line_126-processed-gene-0.99-mRNA-1	0.447253643355798	54.6909	0.629
augustus_masked-flattened_line_152-processed-gene-0.11-mRNA-1	0.493269345117089	58.9314	0.520
snap_masked-flattened_line_158-processed-gene-0.8-mRNA-1	0.469409844512551	47.7933	0.746
augustus_masked-flattened_line_1-processed-gene-1.63-mRNA-1	0.449349535707635	56.9355	0.538
augustus_masked-flattened_line_104-processed-gene-0.60-mRNA-1	0.436422367626583	57.8927	0.517
maker-flattened_line_17-snap-gene-1.155-mRNA-1	0.466216708001855	60.2310	0.475
maker-flattened_line_168-augustus-gene-0.75-mRNA-1	0.444699290529262	53.4606	0.688
maker-flattened_line_25-augustus-gene-1.125-mRNA-1	0.518472143784881	41.8361	0.793
augustus_masked-flattened_line_774-processed-gene-0.3-mRNA-1	0.455031866308692	55.0628	0.444
snap_masked-flattened_line_184-processed-gene-0.17-mRNA-1	0.441598994563915	55.8229	0.486
augustus_masked-flattened_line_380-processed-gene-0.21-mRNA-1	0.438144709009339	55.0343	0.655
genemark-flattened_line_397-processed-gene-0.11-mRNA-1	0.453365266126783	59.0272	0.525
augustus_masked-flattened_line_21-processed-gene-1.113-mRNA-1	0.49144994268761	49.2779	0.696
augustus_masked-flattened_line_126-processed-gene-0.108-mRNA-1	0.446353522346359	56.6209	0.534
maker-flattened_line_234-augustus-gene-0.1-mRNA-1	0.436629778956852	57.1505	0.519
snap_masked-flattened_line_455-processed-gene-0.7-mRNA-1	0.48998503869124	54.0818	0.622
augustus_masked-flattened_line_4-processed-gene-0.73-mRNA-1	0.473400431968629	54.3878	0.455
augustus_masked-flattened_line_31-processed-gene-0.137-mRNA-1	0.421768477444495	54.3922	0.650
augustus_masked-flattened_line_88-processed-gene-0.139-mRNA-1	0.442689774841992	54.0150	0.458
genemark-flattened_line_6-processed-gene-2.68-mRNA-1	0.458757576515477	54.9877	0.626
maker-flattened_line_4-augustus-gene-0.100-mRNA-1	0.454787760161927	57.4413	0.532
genemark-flattened_line_158-processed-gene-0.78-mRNA-1	0.459025791999859	55.7110	0.596
maker-flattened_line_9-snap-gene-2.179-mRNA-1	0.476974115678371	53.1257	0.681
genemark-flattened_line_154-processed-gene-0.18-mRNA-1	0.453416773911128	58.7083	0.566
maker-flattened_line_56-augustus-gene-0.126-mRNA-1	0.450453175446775	58.8385	0.571
maker-flattened_line_129-augustus-gene-0.134-mRNA-1	0.440363056203442	54.5359	0.649
augustus_masked-flattened_line_142-processed-gene-0.69-mRNA-1	0.475851759845212	56.0417	0.504
maker-flattened_line_170-augustus-gene-0.15-mRNA-1	0.46590865637131	56.0743	0.517
augustus_masked-flattened_line_9-processed-gene-0.16-mRNA-1	0.443363929549512	58.3782	0.477
maker-flattened_line_230-augustus-gene-0.44-mRNA-1	0.474579884321972	56.8771	0.526
maker-flattened_line_68-augustus-gene-0.109-mRNA-1	0.453046276711771	56.2664	0.596
maker-flattened_line_106-snap-gene-0.74-mRNA-1	0.440703824489549	54.7854	0.554
augustus_masked-flattened_line_1-processed-gene-3.245-mRNA-1	0.449349535707635	56.9355	0.538
snap_masked-flattened_line_158-processed-gene-0.10-mRNA-1	0.407046089761624	56.2102	0.476
augustus_masked-flattened_line_13-processed-gene-1.238-mRNA-1	0.436184116233515	53.1322	0.705
maker-flattened_line_370-augustus-gene-0.11-mRNA-1	0.480022884886742	56.7736	0.493
augustus_masked-flattened_line_142-processed-gene-0.82-mRNA-1	0.459947707910432	59.2999	0.532
augustus_masked-flattened_line_124-processed-gene-0.120-mRNA-1	0.473131222513877	52.9919	0.580
maker-flattened_line_66-augustus-gene-0.7-mRNA-1	0.465240943015416	57.6894	0.553
augustus_masked-flattened_line_148-processed-gene-0.75-mRNA-1	0.45991018314639	55.8135	0.530
maker-flattened_line_230-augustus-gene-0.46-mRNA-1	0.476227990558689	55.7595	0.591
augustus_masked-flattened_line_6-processed-gene-2.13-mRNA-1	0.488501876304908	56.6678	0.512
genemark-flattened_line_68-processed-gene-0.155-mRNA-1	0.449961030952668	52.0909	0.620
maker-flattened_line_150-snap-gene-0.73-mRNA-1	0.459939246315105	58.6980	0.480
augustus_masked-flattened_line_1-processed-gene-1.89-mRNA-1	0.447211882633174	54.3273	0.666
maker-flattened_line_35-augustus-gene-0.224-mRNA-1	0.44682042926508	58.3313	0.528
snap_masked-flattened_line_712-processed-gene-0.1-mRNA-1	0.447179975597162	52.1820	0.597
maker-flattened_line_195-augustus-gene-0.74-mRNA-1	0.46947977617542	54.3184	0.586
maker-flattened_line_282-augustus-gene-0.33-mRNA-1	0.481718582460837	50.4263	0.727
maker-flattened_line_23-augustus-gene-1.82-mRNA-1	0.48357492930535	52.5131	0.628
snap_masked-flattened_line_150-processed-gene-0.98-mRNA-1	0.443898142102879	51.4956	0.675
augustus_masked-flattened_line_240-processed-gene-0.58-mRNA-1	0.443340582878371	55.2337	0.584
augustus_masked-flattened_line_250-processed-gene-0.6-mRNA-1	0.432699019536001	52.8717	0.677
augustus_masked-flattened_line_286-processed-gene-0.3-mRNA-1	0.450853491438843	58.9632	0.540
genemark-flattened_line_190-processed-gene-0.17-mRNA-1	0.46146958148917	55.9670	0.621
snap_masked-flattened_line_668-processed-gene-0.10-mRNA-1	0.492784662740744	54.9987	0.623
snap_masked-flattened_line_334-processed-gene-0.5-mRNA-1	0.447058839141198	52.3347	0.557
maker-flattened_line_42-augustus-gene-0.214-mRNA-1	0.495159300742352	50.8624	0.702
snap_masked-flattened_line_102-processed-gene-0.104-mRNA-1	0.442932974261914	54.0567	0.462
augustus_masked-flattened_line_17-processed-gene-1.46-mRNA-1	0.476498444514005	58.3820	0.486
snap_masked-flattened_line_15-processed-gene-1.195-mRNA-1	0.430776136273492	57.7390	0.506
augustus_masked-flattened_line_1-processed-gene-0.115-mRNA-1	0.465665595029499	57.9360	0.480
augustus_masked-flattened_line_174-processed-gene-0.9-mRNA-1	0.483321705014635	56.5551	0.534
maker-flattened_line_33-augustus-gene-0.28-mRNA-1	0.449179891305293	59.1700	0.526
snap_masked-flattened_line_342-processed-gene-0.24-mRNA-1	0.467845429039507	56.2177	0.641
maker-flattened_line_74-augustus-gene-0.160-mRNA-1	0.461215912864674	56.7875	0.559
maker-flattened_line_134-augustus-gene-0.71-mRNA-1	0.461853722376263	56.4841	0.610
genemark-flattened_line_6-processed-gene-2.58-mRNA-1	0.466042942932831	58.3158	0.581
maker-flattened_line_395-augustus-gene-0.15-mRNA-1	0.469724203352972	53.8035	0.471
snap_masked-flattened_line_114-processed-gene-0.154-mRNA-1	0.439546064554355	55.9032	0.491
augustus_masked-flattened_line_88-processed-gene-0.140-mRNA-1	0.442573570695812	55.9024	0.637
maker-flattened_line_208-augustus-gene-0.34-mRNA-1	0.426183074964148	52.2636	0.672
augustus_masked-flattened_line_199-processed-gene-0.50-mRNA-1	0.474259774659356	49.9653	0.714
genemark-flattened_line_4-processed-gene-0.38-mRNA-1	0.442269304253599	51.1996	0.689
augustus_masked-flattened_line_170-processed-gene-0.52-mRNA-1	0.452398687878482	54.0526	0.675
augustus_masked-flattened_line_110-processed-gene-0.76-mRNA-1	0.473080523979693	50.1366	0.676
snap_masked-flattened_line_178-processed-gene-0.43-mRNA-1	0.443318421804417	56.8737	0.417
augustus_masked-flattened_line_6-processed-gene-2.45-mRNA-1	0.480435075131874	52.4592	0.616
maker-flattened_line_88-augustus-gene-0.52-mRNA-1	0.452718859168536	55.6632	0.650
augustus_masked-flattened_line_224-processed-gene-0.52-mRNA-1	0.430384338098289	57.5619	0.451
augustus_masked-flattened_line_78-processed-gene-0.201-mRNA-1	0.471032082604453	55.5150	0.527
augustus_masked-flattened_line_197-processed-gene-0.18-mRNA-1	0.448897241477343	57.1254	0.538
maker-flattened_line_98-augustus-gene-0.102-mRNA-1	0.450138855985027	58.2948	0.580
augustus_masked-flattened_line_19-processed-gene-1.130-mRNA-1	0.452741083983007	58.9725	0.498
snap_masked-flattened_line_76-processed-gene-0.189-mRNA-1	0.440224698892051	54.4599	0.656
augustus_masked-flattened_line_35-processed-gene-0.65-mRNA-1	0.504210544798528	54.8532	0.589
augustus_masked-flattened_line_108-processed-gene-0.7-mRNA-1	0.43127683747721	53.7977	0.641
maker-flattened_line_58-augustus-gene-0.94-mRNA-1	0.458187854022114	58.3894	0.582
maker-flattened_line_264-augustus-gene-0.74-mRNA-1	0.443344241699608	56.5293	0.430
snap_masked-flattened_line_31-processed-gene-0.262-mRNA-1	0.454581084879254	58.5159	0.510
maker-flattened_line_6-snap-gene-2.185-mRNA-1	0.454220202737004	58.5966	0.508
augustus_masked-flattened_line_17-processed-gene-1.52-mRNA-1	0.475198688026465	54.1866	0.440
maker-flattened_line_27-augustus-gene-1.0-mRNA-1	0.475045177068812	55.2268	0.554
maker-flattened_line_131-augustus-gene-0.103-mRNA-1	0.455004123250591	57.5097	0.586
maker-flattened_line_102-augustus-gene-0.90-mRNA-1	0.475954865232356	57.3636	0.489
augustus_masked-flattened_line_78-processed-gene-0.203-mRNA-1	0.436292801742465	53.6302	0.552
maker-flattened_line_50-augustus-gene-0.135-mRNA-1	0.494943427725893	52.1351	0.636
maker-flattened_line_1-augustus-gene-3.92-mRNA-1	0.461733376790699	56.8871	0.596
augustus_masked-flattened_line_54-processed-gene-0.72-mRNA-1	0.447388845286052	58.2834	0.501
genemark-flattened_line_42-processed-gene-0.43-mRNA-1	0.437030218625723	55.5509	0.397
augustus_masked-flattened_line_124-processed-gene-0.90-mRNA-1	0.439395657425025	59.0048	0.488
maker-flattened_line_29-augustus-gene-0.50-mRNA-1	0.456659841034088	57.7307	0.459
