Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                        SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------
genemark-scaffold_00001-processed-gene-0.1-mRNA-1                1017       11        3        7   53.4998   61.6964
augustus_masked-scaffold_00002-processed-gene-0.5-mRNA-1         1239       11        3        7   54.8638   62.1563
augustus_masked-scaffold_00003-processed-gene-0.1-mRNA-1          621       10        3        6   49.2588   56.7351
snap_masked-scaffold_00004-processed-gene-0.31-mRNA-1            1425       11        3        7   50.8051   58.3145
snap_masked-scaffold_00004-processed-gene-0.32-mRNA-1            1710       11        3        7   54.2151   57.3848
maker-scaffold_00004-augustus-gene-0.102-mRNA-1                  1851       11        3        7   57.5997   61.4025
snap_masked-scaffold_00004-processed-gene-0.2-mRNA-1              951       11        3        7   55.7352   60.4421
snap_masked-scaffold_00004-processed-gene-0.3-mRNA-1             1836       11        2        7   36.1983   59.7872
snap_masked-scaffold_00004-processed-gene-0.33-mRNA-1            1275       11        3        7   54.4238   60.8581
augustus_masked-scaffold_00004-processed-gene-0.57-mRNA-1        1368       11        3        7   56.5502   59.8853
snap_masked-scaffold_00004-processed-gene-0.34-mRNA-1            2460       11        3        7   55.1812   60.4496
snap_masked-scaffold_00004-processed-gene-0.5-mRNA-1              813       11        3        7   57.1228   62.8920
snap_masked-scaffold_00004-processed-gene-0.6-mRNA-1              351        9        2        6   42.5628   60.8717
snap_masked-scaffold_00004-processed-gene-0.7-mRNA-1             1752       11        3        7   54.4402   61.2323
snap_masked-scaffold_00004-processed-gene-0.8-mRNA-1             3633       11        3        7   53.5537   59.9254
snap_masked-scaffold_00004-processed-gene-0.35-mRNA-1             843       11        3        7   53.4365   56.2792
snap_masked-scaffold_00004-processed-gene-0.9-mRNA-1             2316       11        3        7   53.5939   58.1196
snap_masked-scaffold_00004-processed-gene-0.36-mRNA-1             900       11        3        6   54.5835   62.7455
snap_masked-scaffold_00004-processed-gene-0.10-mRNA-1             477       11        3        7   54.6317   60.7736
snap_masked-scaffold_00004-processed-gene-0.37-mRNA-1            1368       11        3        7   53.7076   62.6648
snap_masked-scaffold_00004-processed-gene-0.11-mRNA-1            2394       11        3        7   54.5996   61.1638
snap_masked-scaffold_00004-processed-gene-0.38-mRNA-1             486       11        3        6   50.7157   58.4345
snap_masked-scaffold_00004-processed-gene-0.39-mRNA-1            1920       11        3        7   56.9827   62.3399
maker-scaffold_00004-snap-gene-0.101-mRNA-1                       333       10        3        7   54.6581   60.4088
augustus_masked-scaffold_00004-processed-gene-0.65-mRNA-1        6696       11        3        7   55.7050   61.1376
maker-scaffold_00004-augustus-gene-0.104-mRNA-1                  4554       11        3        7   59.0311   62.7351
snap_masked-scaffold_00004-processed-gene-0.42-mRNA-1            2547       11        3        7   56.8660   60.9562
augustus_masked-scaffold_00004-processed-gene-0.68-mRNA-1        1845       11        3        7   55.8895   62.9670
snap_masked-scaffold_00004-processed-gene-0.44-mRNA-1            1524       11        3        7   56.8384   62.9418
snap_masked-scaffold_00004-processed-gene-0.45-mRNA-1             396       10        3        7   57.1467   59.8882
augustus_masked-scaffold_00004-processed-gene-0.69-mRNA-1        1614       11        3        7   56.6104   62.1375
snap_masked-scaffold_00004-processed-gene-0.46-mRNA-1            2637       11        3        7   57.2157   61.3808
snap_masked-scaffold_00004-processed-gene-0.23-mRNA-1             642        9        3        7   54.3424   61.4462
snap_masked-scaffold_00004-processed-gene-0.47-mRNA-1            1959       11        3        7   56.4053   61.5320
snap_masked-scaffold_00004-processed-gene-0.48-mRNA-1            2277       11        3        7   56.7553   62.0643
snap_masked-scaffold_00004-processed-gene-0.24-mRNA-1            2595       11        3        7   57.7059   61.7529
augustus_masked-scaffold_00004-processed-gene-0.92-mRNA-1         483       11        3        7   54.5298   62.2062
snap_masked-scaffold_00004-processed-gene-0.25-mRNA-1            2067       11        3        7   55.9226   62.4690
augustus_masked-scaffold_00004-processed-gene-0.73-mRNA-1        1233       11        3        7   51.6944   61.6868
snap_masked-scaffold_00004-processed-gene-0.50-mRNA-1            1572       11        3        7   56.3802   61.5936
snap_masked-scaffold_00004-processed-gene-0.28-mRNA-1             777       10        3        7   54.8196   60.6040
snap_masked-scaffold_00004-processed-gene-0.51-mRNA-1             633       11        3        7   56.6857   61.5178
snap_masked-scaffold_00004-processed-gene-0.52-mRNA-1             723       11        3        6   56.9576   62.1547
snap_masked-scaffold_00004-processed-gene-0.29-mRNA-1            1344       11        3        7   57.2755   62.3401
augustus_masked-scaffold_00004-processed-gene-0.76-mRNA-1        2391       11        3        7   57.0517   61.0967
snap_masked-scaffold_00004-processed-gene-0.53-mRNA-1             306       10        1        6   47.5860   57.9477
snap_masked-scaffold_00004-processed-gene-1.55-mRNA-1            1305       11        3        7   56.6454   61.7187
snap_masked-scaffold_00004-processed-gene-1.53-mRNA-1             831       10        3        7   50.4751   61.8309
augustus_masked-scaffold_00004-processed-gene-1.13-mRNA-1         945       11        3        7   56.6731   62.1197
augustus_masked-scaffold_00004-processed-gene-1.11-mRNA-1        1278       11        3        7   58.6633   62.0506
snap_masked-scaffold_00004-processed-gene-1.57-mRNA-1            2007       11        3        7   56.4737   61.4845
maker-scaffold_00004-augustus-gene-1.3-mRNA-1                    4623       11        3        7   57.0696   61.7186
augustus_masked-scaffold_00004-processed-gene-1.33-mRNA-1        5487       11        3        7   51.8871   59.1844
maker-scaffold_00004-augustus-gene-1.0-mRNA-1                    1212       11        3        7   53.7175   61.0269
augustus_masked-scaffold_00004-processed-gene-1.17-mRNA-1        5130       11        3        7   54.4292   61.0232
snap_masked-scaffold_00004-processed-gene-1.83-mRNA-1            1539       11        3        7   54.3196   61.0675
maker-scaffold_00004-augustus-gene-1.1-mRNA-1                    3234       11        3        7   56.4912   60.7028
augustus_masked-scaffold_00004-processed-gene-1.35-mRNA-1         894       11        3        6   51.0173   57.0946
snap_masked-scaffold_00004-processed-gene-1.65-mRNA-1            1464       11        3        7   49.7136   56.5821
snap_masked-scaffold_00004-processed-gene-1.84-mRNA-1             960       11        3        7   55.3766   61.2186
snap_masked-scaffold_00004-processed-gene-1.85-mRNA-1            1266       11        3        6   44.1660   61.1318
snap_masked-scaffold_00004-processed-gene-1.86-mRNA-1            2028       11        3        7   56.3047   61.6113
snap_masked-scaffold_00004-processed-gene-1.66-mRNA-1            2706       11        3        7   57.2946   61.4307
snap_masked-scaffold_00004-processed-gene-1.67-mRNA-1            1590       11        3        7   57.2646   61.3604
augustus_masked-scaffold_00004-processed-gene-1.23-mRNA-1        3069       11        3        7   52.5085   60.8663
snap_masked-scaffold_00004-processed-gene-1.88-mRNA-1            1620       11        3        7   56.7564   61.4378
snap_masked-scaffold_00004-processed-gene-1.89-mRNA-1            1965       11        3        7   55.4669   60.5470
augustus_masked-scaffold_00004-processed-gene-1.24-mRNA-1        1716       11        3        7   57.2202   62.0543
snap_masked-scaffold_00004-processed-gene-1.73-mRNA-1             981       11        3        7   56.4887   59.7318
snap_masked-scaffold_00004-processed-gene-1.91-mRNA-1            1863       11        3        7   56.7372   61.3011
snap_masked-scaffold_00004-processed-gene-1.92-mRNA-1            2769       11        3        7   53.3757   60.8131
snap_masked-scaffold_00004-processed-gene-1.74-mRNA-1             639       11        2        7   54.1990   62.3804
snap_masked-scaffold_00004-processed-gene-1.93-mRNA-1            1065       11        3        7   56.4995   61.8455
snap_masked-scaffold_00004-processed-gene-1.94-mRNA-1            2997       11        3        7   53.0259   61.8462
snap_masked-scaffold_00004-processed-gene-1.75-mRNA-1             846       11        3        7   57.6421   62.7383
snap_masked-scaffold_00004-processed-gene-1.76-mRNA-1             846       11        3        7   57.7875   61.3992
augustus_masked-scaffold_00004-processed-gene-1.46-mRNA-1        1974       11        3        7   57.0157   62.5036
augustus_masked-scaffold_00004-processed-gene-1.29-mRNA-1         621       10        3        6   54.9223   60.8695
augustus_masked-scaffold_00004-processed-gene-1.47-mRNA-1        2370       11        3        7   56.0776   61.6884
maker-scaffold_00004-snap-gene-1.7-mRNA-1                        1932       11        3        7   42.0310   60.4654
snap_masked-scaffold_00004-processed-gene-1.80-mRNA-1             825       11        3        7   57.7973   59.5039
snap_masked-scaffold_00004-processed-gene-1.99-mRNA-1            2523       11        3        7   54.9219   62.3197
snap_masked-scaffold_00004-processed-gene-1.100-mRNA-1           1743       10        3        7   52.9722   62.3178
augustus_masked-scaffold_00004-processed-gene-1.50-mRNA-1        1749       11        3        7   53.4572   59.5508
snap_masked-scaffold_00004-processed-gene-1.103-mRNA-1            780       11        3        7   53.8653   60.5978
snap_masked-scaffold_00004-processed-gene-1.104-mRNA-1           4044       11        3        7   57.3964   62.6872
snap_masked-scaffold_00004-processed-gene-2.0-mRNA-1             1587       11        3        7   57.6843   62.9558
maker-scaffold_00004-augustus-gene-2.106-mRNA-1                  3399       11        3        7   57.2898   61.6592
augustus_masked-scaffold_00004-processed-gene-2.56-mRNA-1        6057       11        3        7   52.6645   61.1200
snap_masked-scaffold_00004-processed-gene-2.4-mRNA-1             1734       11        3        7   56.3256   61.1722
snap_masked-scaffold_00004-processed-gene-2.5-mRNA-1             1152       11        3        6   49.8206   62.2088
snap_masked-scaffold_00004-processed-gene-2.29-mRNA-1            1167       11        3        7   57.8647   62.7394
snap_masked-scaffold_00004-processed-gene-2.6-mRNA-1              819       11        3        7   52.7455   59.9976
snap_masked-scaffold_00004-processed-gene-2.30-mRNA-1             432        9        3        6   47.2130   56.2971
snap_masked-scaffold_00004-processed-gene-2.8-mRNA-1             1641       11        3        6   50.8183   58.0769
augustus_masked-scaffold_00004-processed-gene-2.61-mRNA-1        3564       11        3        7   54.7250   59.4717
snap_masked-scaffold_00004-processed-gene-2.31-mRNA-1            1398       11        3        7   54.3736   61.1605
snap_masked-scaffold_00004-processed-gene-2.11-mRNA-1            3849       11        3        7   55.9725   60.2795
snap_masked-scaffold_00004-processed-gene-2.32-mRNA-1            1335       11        3        7   56.0233   59.8072
snap_masked-scaffold_00004-processed-gene-2.12-mRNA-1             846       11        3        7   55.3371   62.1395
snap_masked-scaffold_00004-processed-gene-2.13-mRNA-1             627       10        3        7   55.7378   61.9302
augustus_masked-scaffold_00004-processed-gene-2.85-mRNA-1         417       11        3        7   56.0945   61.6803
snap_masked-scaffold_00004-processed-gene-2.14-mRNA-1             918       11        3        7   52.6825   56.3491
maker-scaffold_00004-augustus-gene-2.110-mRNA-1                  3606       11        3        7   55.4051   60.0553
snap_masked-scaffold_00004-processed-gene-2.15-mRNA-1            1476       11        3        7   52.9288   59.8912
snap_masked-scaffold_00004-processed-gene-2.36-mRNA-1             996       11        3        7   50.7566   58.3858
snap_masked-scaffold_00004-processed-gene-2.37-mRNA-1            1155       11        3        7   57.2045   62.0137
snap_masked-scaffold_00004-processed-gene-2.16-mRNA-1             888       11        3        6   54.6737   61.3993
snap_masked-scaffold_00004-processed-gene-2.38-mRNA-1             867       10        3        7   54.8295   58.7000
snap_masked-scaffold_00004-processed-gene-2.17-mRNA-1            3696       11        3        7   46.5793   57.4105
snap_masked-scaffold_00004-processed-gene-2.39-mRNA-1             519       11        3        7   53.5365   59.4644
