gene_id	tAI	nc	gc3
augustus_masked-flattened_line_60-processed-gene-0.109-mRNA-1	0.387953102198828	57.6147	0.486
augustus_masked-flattened_line_2-processed-gene-1.74-mRNA-1	0.414779076753857	54.2723	0.543
augustus_masked-flattened_line_12-processed-gene-1.17-mRNA-1	0.407440682717957	52.4329	0.565
augustus_masked-flattened_line_8-processed-gene-0.56-mRNA-1	0.385097319871787	58.3183	0.440
snap_masked-flattened_line_8-processed-gene-1.25-mRNA-1	0.365825915725393	56.7915	0.383
augustus_masked-flattened_line_27-processed-gene-1.24-mRNA-1	0.436965840806484	51.6517	0.551
augustus_masked-flattened_line_50-processed-gene-0.95-mRNA-1	0.373060015548244	58.1745	0.553
augustus_masked-flattened_line_80-processed-gene-0.84-mRNA-1	0.38676924647435	57.4476	0.465
augustus_masked-flattened_line_25-processed-gene-2.172-mRNA-1	0.419313824680283	57.5687	0.424
augustus_masked-flattened_line_13-processed-gene-1.83-mRNA-1	0.411513881513393	48.5226	0.514
augustus_masked-flattened_line_58-processed-gene-0.129-mRNA-1	0.390217693733782	44.8774	0.777
augustus_masked-flattened_line_76-processed-gene-0.0-mRNA-1	0.409478398300431	55.2260	0.445
augustus_masked-flattened_line_31-processed-gene-2.49-mRNA-1	0.392807382472595	56.5789	0.486
snap_masked-flattened_line_19-processed-gene-1.103-mRNA-1	0.369967469220747	56.5692	0.389
augustus_masked-flattened_line_29-processed-gene-0.40-mRNA-1	0.437901585757151	50.5184	0.603
augustus_masked-flattened_line_112-processed-gene-0.28-mRNA-1	0.405343300582951	51.5306	0.728
augustus_masked-flattened_line_21-processed-gene-0.99-mRNA-1	0.344182019835527	55.7907	0.370
augustus_masked-flattened_line_34-processed-gene-2.171-mRNA-1	0.354551533666284	55.6627	0.506
augustus_masked-flattened_line_15-processed-gene-0.63-mRNA-1	0.363970500050195	57.5759	0.413
augustus_masked-flattened_line_12-processed-gene-2.94-mRNA-1	0.403237943467446	56.4712	0.520
augustus_masked-flattened_line_2-processed-gene-3.98-mRNA-1	0.376376726704895	58.6161	0.467
augustus_masked-flattened_line_15-processed-gene-0.46-mRNA-1	0.416862942315387	56.0548	0.428
snap_masked-flattened_line_32-processed-gene-1.55-mRNA-1	0.383097984403091	57.6288	0.452
augustus_masked-flattened_line_8-processed-gene-0.52-mRNA-1	0.394698838281447	57.2382	0.493
augustus_masked-flattened_line_62-processed-gene-0.75-mRNA-1	0.404376196558056	53.3445	0.611
augustus_masked-flattened_line_15-processed-gene-1.32-mRNA-1	0.405614720529975	57.3536	0.404
augustus_masked-flattened_line_31-processed-gene-1.52-mRNA-1	0.431915786750775	49.4847	0.616
augustus_masked-flattened_line_15-processed-gene-0.57-mRNA-1	0.412461303729407	56.6517	0.490
augustus_masked-flattened_line_80-processed-gene-0.85-mRNA-1	0.399403143349785	56.5434	0.435
augustus_masked-flattened_line_38-processed-gene-1.78-mRNA-1	0.355920680814995	56.1515	0.472
augustus_masked-flattened_line_8-processed-gene-2.46-mRNA-1	0.386215031874991	54.8170	0.370
augustus_masked-flattened_line_92-processed-gene-0.89-mRNA-1	0.436161968842812	51.8932	0.660
augustus_masked-flattened_line_29-processed-gene-0.53-mRNA-1	0.429505591871999	54.1862	0.483
augustus_masked-flattened_line_152-processed-gene-0.11-mRNA-1	0.394221464428743	48.9708	0.761
augustus_masked-flattened_line_80-processed-gene-0.82-mRNA-1	0.397363254301093	56.8912	0.456
augustus_masked-flattened_line_36-processed-gene-0.45-mRNA-1	0.386768774815437	52.2457	0.631
snap_masked-flattened_line_90-processed-gene-0.99-mRNA-1	0.360504247974432	55.7650	0.376
augustus_masked-flattened_line_4-processed-gene-3.154-mRNA-1	0.450378943320484	51.7619	0.473
augustus_masked-flattened_line_27-processed-gene-2.85-mRNA-1	0.406276380204411	56.9028	0.488
maker-flattened_line_19-augustus-gene-1.77-mRNA-1	0.39330795664633	56.2347	0.417
snap_masked-flattened_line_134-processed-gene-0.36-mRNA-1	0.380792952193958	56.6817	0.491
augustus_masked-flattened_line_23-processed-gene-2.131-mRNA-1	0.505479140437316	47.8241	0.606
augustus_masked-flattened_line_27-processed-gene-0.77-mRNA-1	0.385986189826477	57.1977	0.456
augustus_masked-flattened_line_42-processed-gene-1.149-mRNA-1	0.372373807767012	58.4053	0.412
augustus_masked-flattened_line_0-processed-gene-4.203-mRNA-1	0.426932820350948	52.2900	0.677
augustus_masked-flattened_line_19-processed-gene-1.67-mRNA-1	0.432130506068068	53.8864	0.465
maker-flattened_line_23-augustus-gene-2.1-mRNA-1	0.378688809083712	58.7926	0.398
snap_masked-flattened_line_72-processed-gene-0.108-mRNA-1	0.353558705599676	55.3959	0.371
augustus_masked-flattened_line_138-processed-gene-0.25-mRNA-1	0.417717209782482	48.6791	0.756
augustus_masked-flattened_line_64-processed-gene-0.98-mRNA-1	0.394221538907575	56.1894	0.492
augustus_masked-flattened_line_150-processed-gene-0.9-mRNA-1	0.409056446822925	50.8940	0.540
augustus_masked-flattened_line_106-processed-gene-0.2-mRNA-1	0.411445007319928	54.7619	0.519
snap_masked-flattened_line_2-processed-gene-3.250-mRNA-1	0.361187529131586	58.3981	0.424
augustus_masked-flattened_line_0-processed-gene-2.99-mRNA-1	0.417010965936084	54.4347	0.487
augustus_masked-flattened_line_8-processed-gene-2.32-mRNA-1	0.451244975546048	51.5824	0.517
augustus_masked-flattened_line_25-processed-gene-1.13-mRNA-1	0.36153850289595	57.3321	0.443
maker-flattened_line_46-augustus-gene-0.28-mRNA-1	0.40665917853246	46.8788	0.806
augustus_masked-flattened_line_32-processed-gene-0.1-mRNA-1	0.391154340537092	57.3959	0.488
augustus_masked-flattened_line_4-processed-gene-0.29-mRNA-1	0.395801574731713	56.7899	0.473
augustus_masked-flattened_line_25-processed-gene-0.4-mRNA-1	0.409849378515099	55.4815	0.572
augustus_masked-flattened_line_34-processed-gene-1.54-mRNA-1	0.427169647591146	55.3543	0.391
augustus_masked-flattened_line_60-processed-gene-0.79-mRNA-1	0.416498144366008	53.5629	0.559
augustus_masked-flattened_line_50-processed-gene-0.88-mRNA-1	0.409827593302865	44.7652	0.793
genemark-flattened_line_34-processed-gene-2.106-mRNA-1	0.376064339440391	57.9231	0.413
augustus_masked-flattened_line_44-processed-gene-0.79-mRNA-1	0.400490933288083	56.3622	0.514
maker-flattened_line_23-snap-gene-2.159-mRNA-1	0.381177746333343	58.8807	0.430
augustus_masked-flattened_line_15-processed-gene-2.160-mRNA-1	0.390562643387988	51.8913	0.668
augustus_masked-flattened_line_19-processed-gene-2.156-mRNA-1	0.355568174736474	54.9894	0.453
augustus_masked-flattened_line_13-processed-gene-1.102-mRNA-1	0.368020875177621	59.8284	0.472
maker-flattened_line_48-augustus-gene-0.157-mRNA-1	0.414038988671808	51.5489	0.371
augustus_masked-flattened_line_6-processed-gene-3.183-mRNA-1	0.374523383202104	55.7544	0.404
snap_masked-flattened_line_25-processed-gene-0.115-mRNA-1	0.371705365756245	57.8551	0.458
augustus_masked-flattened_line_76-processed-gene-0.2-mRNA-1	0.386584276869474	57.9025	0.400
augustus_masked-flattened_line_2-processed-gene-0.94-mRNA-1	0.375032079082473	56.0639	0.491
augustus_masked-flattened_line_31-processed-gene-0.87-mRNA-1	0.379778376734608	49.1542	0.718
