gene_id	tAI	nc	gc3
augustus_masked-NC_016453.1-processed-gene-2.75-mRNA-1	0.352806793482805	56.8569	0.394
snap_masked-NC_016450.1-processed-gene-15.143-mRNA-1	0.319828515329548	55.7336	0.343
snap_masked-NC_016449.1-processed-gene-1.67-mRNA-1	0.395311627268137	49.5475	0.784
snap_masked-NC_016455.1-processed-gene-7.45-mRNA-1	0.404250778511448	49.6696	0.364
snap_masked-NC_016450.1-processed-gene-7.26-mRNA-1	0.315237030530514	54.9234	0.326
snap_masked-NC_016453.1-processed-gene-12.95-mRNA-1	0.331168274719324	56.7652	0.368
snap_masked-NC_016453.1-processed-gene-3.110-mRNA-1	0.327769775559044	56.1468	0.538
augustus_masked-NC_016455.1-processed-gene-8.187-mRNA-1	0.361711316187312	54.8717	0.355
snap_masked-NC_016451.1-processed-gene-1.83-mRNA-1	0.345236948350365	57.2551	0.415
snap_masked-NC_016453.1-processed-gene-2.99-mRNA-1	0.314337102261138	59.5780	0.417
snap_masked-NC_016455.1-processed-gene-4.21-mRNA-1	0.328837741520439	56.6244	0.427
snap_masked-NC_016456.1-processed-gene-7.79-mRNA-1	0.370807167103783	54.6107	0.519
snap_masked-NC_016449.1-processed-gene-7.60-mRNA-1	0.322210918277768	52.3930	0.341
snap_masked-NC_016450.1-processed-gene-0.29-mRNA-1	0.372303152233937	50.9019	0.333
snap_masked-NC_016455.1-processed-gene-5.43-mRNA-1	0.336922698322215	55.5491	0.357
snap_masked-NC_016452.1-processed-gene-14.150-mRNA-1	0.307147366023566	54.7349	0.356
augustus_masked-NC_016455.1-processed-gene-7.83-mRNA-1	0.33390315051507	55.5609	0.496
snap_masked-NC_016450.1-processed-gene-1.71-mRNA-1	0.346201871263901	54.7200	0.351
snap_masked-NC_016452.1-processed-gene-13.100-mRNA-1	0.353505565267136	55.1551	0.360
augustus_masked-NC_016452.1-processed-gene-2.81-mRNA-1	0.329919462598599	55.2930	0.401
snap_masked-NC_016454.1-processed-gene-8.41-mRNA-1	0.336530193315234	56.6358	0.383
snap_masked-NC_016455.1-processed-gene-8.59-mRNA-1	0.37350537269292	52.5986	0.635
maker-NC_016450.1-augustus-gene-11.105-mRNA-1	0.343269344989764	56.4202	0.363
snap_masked-NC_016454.1-processed-gene-0.27-mRNA-1	0.357810104778687	55.0994	0.442
snap_masked-NC_016456.1-processed-gene-4.49-mRNA-1	0.334132268295435	54.3196	0.344
maker-NC_016450.1-snap-gene-11.162-mRNA-1	0.34984404155778	53.5855	0.317
snap_masked-NC_016453.1-processed-gene-12.184-mRNA-1	0.338499213858351	54.3759	0.339
snap_masked-NC_016453.1-processed-gene-6.121-mRNA-1	0.326714721753272	55.8161	0.362
augustus_masked-NC_016454.1-processed-gene-0.71-mRNA-1	0.346726504386155	53.8894	0.356
snap_masked-NC_016450.1-processed-gene-5.72-mRNA-1	0.361716075168175	54.0191	0.347
augustus_masked-NC_016456.1-processed-gene-2.31-mRNA-1	0.374031875726969	53.4791	0.426
snap_masked-NC_016450.1-processed-gene-7.29-mRNA-1	0.346763264206637	58.4133	0.413
snap_masked-NC_016453.1-processed-gene-1.89-mRNA-1	0.377585623995346	56.5311	0.407
snap_masked-NC_016452.1-processed-gene-11.71-mRNA-1	0.332555413062228	55.1546	0.400
snap_masked-NC_016452.1-processed-gene-10.64-mRNA-1	0.329973994012515	54.8270	0.394
snap_masked-NC_016452.1-processed-gene-11.93-mRNA-1	0.390280169633055	54.6824	0.490
snap_masked-NC_016452.1-processed-gene-9.151-mRNA-1	0.33347536668741	56.9570	0.414
augustus_masked-NC_016451.1-processed-gene-2.125-mRNA-1	0.365334534983333	57.8877	0.438
snap_masked-NC_016450.1-processed-gene-15.114-mRNA-1	0.337865760241603	53.9921	0.613
genemark-NC_016454.1-processed-gene-5.10-mRNA-1	0.312128397490613	54.9511	0.349
snap_masked-NC_016449.1-processed-gene-0.107-mRNA-1	0.322172389844498	56.2215	0.385
snap_masked-NC_016449.1-processed-gene-0.90-mRNA-1	0.3474730851037	55.6002	0.379
snap_masked-NC_016450.1-processed-gene-14.84-mRNA-1	0.32215905355885	57.3448	0.367
augustus_masked-NC_016453.1-processed-gene-8.58-mRNA-1	0.336352426468417	54.2334	0.309
snap_masked-NC_016456.1-processed-gene-1.74-mRNA-1	0.336702207819499	53.3905	0.518
snap_masked-NC_016449.1-processed-gene-3.70-mRNA-1	0.343296583110552	56.3495	0.369
snap_masked-NC_016452.1-processed-gene-6.91-mRNA-1	0.347123238418725	54.1569	0.379
snap_masked-NC_016451.1-processed-gene-10.61-mRNA-1	0.357286008909334	57.2319	0.394
genemark-NC_016450.1-processed-gene-12.138-mRNA-1	0.341857263094612	56.1010	0.354
augustus_masked-NC_016451.1-processed-gene-6.85-mRNA-1	0.336565213763228	54.0722	0.339
augustus_masked-NC_016449.1-processed-gene-5.10-mRNA-1	0.334059719356719	56.8257	0.396
snap_masked-NC_016454.1-processed-gene-6.46-mRNA-1	0.303557937226574	56.3978	0.455
snap_masked-NC_016452.1-processed-gene-7.108-mRNA-1	0.335961592353747	55.5444	0.351
augustus_masked-NC_016454.1-processed-gene-4.73-mRNA-1	0.354077947437261	58.3331	0.506
snap_masked-NC_016452.1-processed-gene-10.100-mRNA-1	0.317669500807447	56.8070	0.344
snap_masked-NC_016452.1-processed-gene-13.105-mRNA-1	0.33898846738587	55.4325	0.357
snap_masked-NC_016453.1-processed-gene-9.83-mRNA-1	0.337716723362462	55.6877	0.381
snap_masked-NC_016450.1-processed-gene-5.75-mRNA-1	0.345080653655858	55.5068	0.374
