gene_id	tAI	nc	gc3
genemark-ZYBA0S06-processed-gene-5.91-mRNA-1	0.162333813639619	55.7256	0.571
genemark-ZYBA0S11-processed-gene-2.209-mRNA-1	0.242212218302803	43.9782	0.593
genemark-ZYBA0S04-processed-gene-6.87-mRNA-1	0.128866436861311	57.5250	0.388
genemark-ZYBA0S09-processed-gene-1.16-mRNA-1	0.252544247178536	44.4724	0.570
genemark-ZYBA0S01-processed-gene-12.25-mRNA-1	0.178620526414069	48.0074	0.435
genemark-ZYBA0S08-processed-gene-3.125-mRNA-1	0.149048213648432	57.5191	0.421
genemark-ZYBA0S02-processed-gene-1.15-mRNA-1	0.166844661840682	56.7315	0.505
genemark-ZYBA0S01-processed-gene-15.132-mRNA-1	0.112086325033679	55.3256	0.343
genemark-ZYBA0S10-processed-gene-0.37-mRNA-1	0.142390332637744	58.6744	0.431
genemark-ZYBA0S04-processed-gene-5.91-mRNA-1	0.145168600411056	54.8671	0.580
genemark-ZYBA0S03-processed-gene-0.44-mRNA-1	0.144416574332806	56.9438	0.387
genemark-ZYBA0S04-processed-gene-6.49-mRNA-1	0.149616545434162	55.9792	0.428
genemark-ZYBA0S03-processed-gene-4.109-mRNA-1	0.137516483596174	57.5102	0.443
genemark-ZYBA0S10-processed-gene-2.47-mRNA-1	0.219851909991591	43.5971	0.593
genemark-ZYBA0S05-processed-gene-2.88-mRNA-1	0.136329821313426	56.7142	0.428
genemark-ZYBA0S17-processed-gene-0.52-mRNA-1	0.125972882983903	58.9719	0.458
genemark-ZYBA0S01-processed-gene-12.8-mRNA-1	0.1360678079383	55.8613	0.395
augustus_masked-ZYBA0S02-processed-gene-9.112-mRNA-1	0.15404600020975	53.1785	0.392
genemark-ZYBA0S02-processed-gene-9.66-mRNA-1	0.141842754505558	57.1121	0.363
genemark-ZYBA0S02-processed-gene-2.167-mRNA-1	0.140957735999029	56.9596	0.441
genemark-ZYBA0S01-processed-gene-4.111-mRNA-1	0.12528285519861	54.4119	0.391
genemark-ZYBA0S05-processed-gene-1.83-mRNA-1	0.12718792800617	56.9327	0.396
snap_masked-ZYBA0S12-processed-gene-1.251-mRNA-1	0.167300533253503	54.7696	0.598
genemark-ZYBA0S10-processed-gene-2.60-mRNA-1	0.190748955175165	53.7806	0.497
genemark-ZYBA0S11-processed-gene-2.205-mRNA-1	0.131768272178358	60.4247	0.476
genemark-ZYBA0S01-processed-gene-5.79-mRNA-1	0.144103207816202	57.4922	0.412
genemark-ZYBA0S02-processed-gene-3.108-mRNA-1	0.133937102634107	53.2068	0.390
genemark-ZYBA0S04-processed-gene-2.110-mRNA-1	0.14755544960062	59.2662	0.414
maker-ZYBA0S10-snap-gene-2.44-mRNA-1	0.140947410305536	57.5853	0.458
genemark-ZYBA0S09-processed-gene-0.52-mRNA-1	0.234654743591599	52.5912	0.644
genemark-ZYBA0S06-processed-gene-1.38-mRNA-1	0.145268139803309	54.9386	0.391
genemark-ZYBA0S04-processed-gene-7.156-mRNA-1	0.144395962544057	54.9785	0.389
