Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
snap_masked-NODE_100_length_2162_cov_42.7604_ID_199-processed-gene-0.4-mRNA-1             471       11        1        7   45.6573   53.1335
snap_masked-NODE_102_length_2076_cov_117.045_ID_203-processed-gene-0.0-mRNA-1             621       12        1        8   52.3636   53.0361
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.100-mRNA-1       666       10        1        7   41.2279   43.6947
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.101-mRNA-1      1779       12        1        8   57.2908   61.2743
snap_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.43-mRNA-1            513        8        1        7   54.3487   58.1105
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.102-mRNA-1      2724       12        1        8   50.1207   50.1633
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.103-mRNA-1       366       11        1        7   43.0484   51.5717
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.87-mRNA-1       4389       12        1        8   51.2143   53.5366
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.88-mRNA-1        540       11        1        8   54.8015   57.6899
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.104-mRNA-1       546       12        1        8   49.5667   51.1936
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.105-mRNA-1       771       12        1        8   48.7451   50.8926
snap_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.46-mRNA-1            936       12        1        8   55.5836   60.6975
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.90-mRNA-1       1146       12        1        8   50.0788   51.5247
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.106-mRNA-1      1098       12        1        8   53.4349   54.4478
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.107-mRNA-1      1467       12        1        8   47.6944   52.2433
genemark-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.19-mRNA-1              1449       12        1        8   45.7308   53.9677
snap_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.50-mRNA-1           1005       12        1        8   47.5909   46.4982
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.109-mRNA-1       696       11        1        8   49.7396   48.8538
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.110-mRNA-1      1317       12        1        8   46.6417   47.4052
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.111-mRNA-1      2490       12        1        8   43.5370   48.8332
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.112-mRNA-1       780       12        1        8   52.6493   56.1060
augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.93-mRNA-1       1005       11        1        8   48.2351   47.4848
snap_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.69-mRNA-1           1695       12        1        8   49.0548   50.4929
