Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
------------------------------------------------------------------------------------------------------------
genemark-LADA0A-processed-gene-0.95-mRNA-1               1491       12        1        8   57.4595   60.2767
genemark-LADA0A-processed-gene-0.77-mRNA-1               1119       12        1        8   55.7359   59.2386
snap_masked-LADA0A-processed-gene-0.1-mRNA-1             1905       12        1        8   55.8418   61.4416
snap_masked-LADA0A-processed-gene-0.21-mRNA-1             453       12        1        8   57.1176   60.5468
genemark-LADA0A-processed-gene-0.97-mRNA-1                570       12        1        8   55.4069   60.0394
genemark-LADA0A-processed-gene-0.98-mRNA-1               1593       12        1        8   58.6084   61.4800
genemark-LADA0A-processed-gene-0.79-mRNA-1                618       12        1        8   59.6367   62.3786
genemark-LADA0A-processed-gene-0.99-mRNA-1                663       12        1        8   58.5999   61.9438
genemark-LADA0A-processed-gene-0.80-mRNA-1               1476       12        1        8   58.3888   62.8494
genemark-LADA0A-processed-gene-0.81-mRNA-1               1959       12        1        8   57.0730   61.2791
snap_masked-LADA0A-processed-gene-0.5-mRNA-1              639       11        1        8   56.7652   62.3327
genemark-LADA0A-processed-gene-0.100-mRNA-1              1218       12        1        8   58.9513   62.6657
genemark-LADA0A-processed-gene-0.83-mRNA-1               4107       12        1        8   59.1854   62.0146
augustus_masked-LADA0A-processed-gene-0.48-mRNA-1        1044       12        1        8   58.0169   62.0052
genemark-LADA0A-processed-gene-0.101-mRNA-1               552       12        1        8   55.7257   61.1928
genemark-LADA0A-processed-gene-0.102-mRNA-1              2325       12        1        8   59.3433   62.4223
genemark-LADA0A-processed-gene-0.85-mRNA-1               2904       12        1        8   57.1321   61.0655
genemark-LADA0A-processed-gene-0.103-mRNA-1              1914       12        1        8   53.1984   61.3208
snap_masked-LADA0A-processed-gene-0.29-mRNA-1             969       12        1        8   58.6106   61.9273
