gene_id	tAI	nc	gc3
augustus_masked-CP014500.1-processed-gene-25.48-mRNA-1	0.370514456547143	46.2289	0.418
augustus_masked-CP014502.1-processed-gene-5.94-mRNA-1	0.385923221350423	50.9920	0.497
augustus_masked-CP014500.1-processed-gene-15.25-mRNA-1	0.306252062167409	54.8520	0.348
augustus_masked-CP014500.1-processed-gene-0.84-mRNA-1	0.277471239601737	55.0593	0.324
maker-CP014503.1-augustus-gene-1.103-mRNA-1	0.282692965953482	57.0409	0.361
snap_masked-CP014500.1-processed-gene-5.30-mRNA-1	0.463292747017647	40.2041	0.541
augustus_masked-CP014502.1-processed-gene-5.102-mRNA-1	0.352720902402988	53.3389	0.528
augustus_masked-CP014501.1-processed-gene-32.50-mRNA-1	0.297831614556212	57.1433	0.423
augustus_masked-CP014501.1-processed-gene-2.97-mRNA-1	0.266066411482608	56.3200	0.376
augustus_masked-CP014503.1-processed-gene-40.119-mRNA-1	0.327286841520102	56.4698	0.436
augustus_masked-CP014503.1-processed-gene-9.25-mRNA-1	0.363057969292732	55.0019	0.470
augustus_masked-CP014501.1-processed-gene-35.66-mRNA-1	0.349039693121355	54.2902	0.415
genemark-CP014500.1-processed-gene-14.94-mRNA-1	0.297951140100172	55.1852	0.482
maker-CP014501.1-augustus-gene-52.91-mRNA-1	0.227782394178675	54.2090	0.324
maker-CP014500.1-augustus-gene-8.43-mRNA-1	0.289367700112103	56.5295	0.398
maker-CP014501.1-augustus-gene-1.72-mRNA-1	0.23332791616208	54.6276	0.299
augustus_masked-CP014503.1-processed-gene-21.37-mRNA-1	0.297471525731786	55.4894	0.416
augustus_masked-CP014500.1-processed-gene-20.84-mRNA-1	0.301719580789396	56.4642	0.421
augustus_masked-CP014503.1-processed-gene-18.107-mRNA-1	0.314773208075286	53.3445	0.317
augustus_masked-CP014503.1-processed-gene-45.24-mRNA-1	0.243907729664951	53.8312	0.350
maker-CP014502.1-augustus-gene-17.5-mRNA-1	0.362470419307663	52.9240	0.470
augustus_masked-CP014501.1-processed-gene-3.17-mRNA-1	0.285369157966919	55.5512	0.351
maker-CP014502.1-augustus-gene-13.84-mRNA-1	0.282695994845898	55.6827	0.359
maker-CP014503.1-augustus-gene-0.73-mRNA-1	0.341303225386088	56.2212	0.403
maker-CP014501.1-augustus-gene-18.48-mRNA-1	0.281754776789947	54.4459	0.339
snap_masked-CP014501.1-processed-gene-11.36-mRNA-1	0.268259192521832	54.9956	0.347
augustus_masked-CP014503.1-processed-gene-9.23-mRNA-1	0.295842356040479	56.5138	0.368
augustus_masked-CP014502.1-processed-gene-19.15-mRNA-1	0.323126868049013	53.0759	0.484
augustus_masked-CP014500.1-processed-gene-16.40-mRNA-1	0.442233349479567	44.7981	0.520
genemark-CP014500.1-processed-gene-17.127-mRNA-1	0.322964135868617	54.7941	0.359
augustus_masked-CP014503.1-processed-gene-36.131-mRNA-1	0.303783413583988	56.6270	0.347
augustus_masked-CP014501.1-processed-gene-18.46-mRNA-1	0.434039642245361	49.6281	0.595
maker-CP014503.1-snap-gene-7.132-mRNA-1	0.301654032803079	57.3733	0.378
augustus_masked-CP014501.1-processed-gene-29.47-mRNA-1	0.30457710466568	49.3303	0.348
augustus_masked-CP014501.1-processed-gene-29.72-mRNA-1	0.329391823545828	56.1551	0.549
augustus_masked-CP014503.1-processed-gene-10.125-mRNA-1	0.260564985556568	55.3892	0.502
augustus_masked-CP014503.1-processed-gene-24.53-mRNA-1	0.259110335866253	54.8530	0.347
augustus_masked-CP014500.1-processed-gene-3.13-mRNA-1	0.230919172108629	53.8455	0.310
maker-CP014502.1-snap-gene-21.145-mRNA-1	0.294889698329093	52.2294	0.388
maker-CP014503.1-augustus-gene-46.44-mRNA-1	0.226468668990718	54.5248	0.339
augustus_masked-CP014503.1-processed-gene-7.89-mRNA-1	0.382991563550002	53.4290	0.541
augustus_masked-CP014501.1-processed-gene-28.52-mRNA-1	0.30087256648829	54.8004	0.411
maker-CP014501.1-augustus-gene-20.53-mRNA-1	0.283661681162865	53.4158	0.420
augustus_masked-CP014503.1-processed-gene-4.75-mRNA-1	0.27987569321972	55.6615	0.414
maker-CP014500.1-augustus-gene-13.120-mRNA-1	0.298944837593738	55.2862	0.426
snap_masked-CP014500.1-processed-gene-1.92-mRNA-1	0.327490695376704	50.5792	0.525
augustus_masked-CP014501.1-processed-gene-43.21-mRNA-1	0.385226570106092	42.1500	0.429
augustus_masked-CP014501.1-processed-gene-21.22-mRNA-1	0.322836180113984	55.2917	0.372
snap_masked-CP014503.1-processed-gene-30.93-mRNA-1	0.389583330748134	39.0930	0.404
augustus_masked-CP014501.1-processed-gene-5.33-mRNA-1	0.332290068779478	50.8845	0.369
augustus_masked-CP014501.1-processed-gene-29.68-mRNA-1	0.427419659570349	43.4920	0.522
augustus_masked-CP014502.1-processed-gene-5.85-mRNA-1	0.301351949429088	53.4499	0.387
augustus_masked-CP014503.1-processed-gene-30.49-mRNA-1	0.28329549980902	56.0668	0.372
augustus_masked-CP014500.1-processed-gene-19.96-mRNA-1	0.32654467288884	51.4007	0.645
augustus_masked-CP014503.1-processed-gene-24.87-mRNA-1	0.267346060259321	52.0230	0.320
augustus_masked-CP014503.1-processed-gene-5.101-mRNA-1	0.262706053124461	57.2637	0.362
augustus_masked-CP014502.1-processed-gene-18.101-mRNA-1	0.3089572486687	54.9204	0.562
snap_masked-CP014500.1-processed-gene-6.49-mRNA-1	0.290808046586296	54.3366	0.406
augustus_masked-CP014501.1-processed-gene-1.64-mRNA-1	0.33561133613898	55.9366	0.372
augustus_masked-CP014503.1-processed-gene-29.21-mRNA-1	0.286453754067415	51.9788	0.368
augustus_masked-CP014501.1-processed-gene-7.116-mRNA-1	0.534013444948818	46.9598	0.653
augustus_masked-CP014501.1-processed-gene-45.74-mRNA-1	0.431349296760289	39.2495	0.510
augustus_masked-CP014503.1-processed-gene-6.55-mRNA-1	0.332937763421947	53.7876	0.458
maker-CP014501.1-augustus-gene-21.5-mRNA-1	0.275124483914409	57.8976	0.365
augustus_masked-CP014500.1-processed-gene-26.229-mRNA-1	0.293622712971175	53.2681	0.415
augustus_masked-CP014500.1-processed-gene-22.40-mRNA-1	0.339419577188019	55.3777	0.541
augustus_masked-CP014502.1-processed-gene-14.25-mRNA-1	0.390655813387017	52.7656	0.509
snap_masked-CP014501.1-processed-gene-2.52-mRNA-1	0.327696334034708	52.3339	0.569
augustus_masked-CP014501.1-processed-gene-7.103-mRNA-1	0.300158266169201	55.8823	0.338
augustus_masked-CP014503.1-processed-gene-4.74-mRNA-1	0.290563945426866	56.4270	0.403
maker-CP014503.1-augustus-gene-38.17-mRNA-1	0.227522183252466	55.4274	0.342
augustus_masked-CP014501.1-processed-gene-18.15-mRNA-1	0.359112710741378	55.7859	0.445
augustus_masked-CP014500.1-processed-gene-16.58-mRNA-1	0.327287242943129	56.1424	0.523
genemark-CP014501.1-processed-gene-42.10-mRNA-1	0.303232114694011	55.9437	0.344
augustus_masked-CP014503.1-processed-gene-38.58-mRNA-1	0.323857751011696	55.2514	0.364
genemark-CP014501.1-processed-gene-46.95-mRNA-1	0.533022377268864	41.3634	0.656
snap_masked-CP014503.1-processed-gene-14.83-mRNA-1	0.268133298620989	54.5219	0.469
augustus_masked-CP014501.1-processed-gene-55.39-mRNA-1	0.287980954900654	54.4862	0.333
augustus_masked-CP014500.1-processed-gene-22.24-mRNA-1	0.26708202390792	55.8334	0.373
augustus_masked-CP014503.1-processed-gene-8.7-mRNA-1	0.275920959751226	55.2883	0.352
maker-CP014501.1-snap-gene-19.65-mRNA-1	0.294503672700615	55.9607	0.363
augustus_masked-CP014501.1-processed-gene-44.40-mRNA-1	0.388301514513186	52.1269	0.579
augustus_masked-CP014501.1-processed-gene-23.85-mRNA-1	0.321939459929404	53.2086	0.516
augustus_masked-CP014502.1-processed-gene-20.18-mRNA-1	0.275490933134256	55.0304	0.381
maker-CP014500.1-augustus-gene-26.167-mRNA-1	0.261718907610911	57.1672	0.379
augustus_masked-CP014501.1-processed-gene-11.14-mRNA-1	0.399302890026598	50.6530	0.503
augustus_masked-CP014502.1-processed-gene-7.30-mRNA-1	0.312695883480097	48.6109	0.401
augustus_masked-CP014500.1-processed-gene-14.6-mRNA-1	0.361685246466335	54.1599	0.443
augustus_masked-CP014501.1-processed-gene-26.81-mRNA-1	0.254590380582959	57.0972	0.364
snap_masked-CP014502.1-processed-gene-17.83-mRNA-1	0.278509999758565	58.9724	0.420
augustus_masked-CP014501.1-processed-gene-49.91-mRNA-1	0.306555827550049	50.5998	0.384
