Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                           SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------
snap_masked-flattened_line_0-processed-gene-0.108-mRNA-1             672       12        1        8   44.7449   46.1821
snap_masked-flattened_line_0-processed-gene-0.109-mRNA-1            2637       12        1        7   43.6670   48.2740
genemark-flattened_line_0-processed-gene-0.40-mRNA-1                 936       12        1        7   49.6304   49.9793
snap_masked-flattened_line_0-processed-gene-0.110-mRNA-1            1137       12        1        8   47.8799   49.0436
snap_masked-flattened_line_0-processed-gene-0.85-mRNA-1             1470       12        1        8   39.5468   45.6782
genemark-flattened_line_0-processed-gene-0.64-mRNA-1                 573       12        1        8   53.0051   56.6263
snap_masked-flattened_line_0-processed-gene-0.86-mRNA-1             1128       12        1        8   49.5055   53.6505
snap_masked-flattened_line_0-processed-gene-0.111-mRNA-1            1020       12        1        8   42.4085   45.6352
snap_masked-flattened_line_0-processed-gene-0.112-mRNA-1            1233       12        1        7   43.9317   47.4266
snap_masked-flattened_line_0-processed-gene-0.87-mRNA-1             1578       12        1        7   40.4392   47.3567
augustus_masked-flattened_line_0-processed-gene-0.25-mRNA-1         4515       12        1        8   43.6527   48.0584
snap_masked-flattened_line_0-processed-gene-0.115-mRNA-1            1377       12        1        7   35.4475   49.1482
snap_masked-flattened_line_0-processed-gene-0.117-mRNA-1             633       12        1        7   51.2450   54.4444
snap_masked-flattened_line_0-processed-gene-0.88-mRNA-1              459       12        1        7   45.5810   47.6054
snap_masked-flattened_line_0-processed-gene-0.89-mRNA-1             1344       12        1        7   46.8238   52.1318
snap_masked-flattened_line_0-processed-gene-0.118-mRNA-1            1683       12        1        8   44.1421   49.6086
snap_masked-flattened_line_0-processed-gene-0.119-mRNA-1            1683       12        1        8   44.3131   49.6164
maker-flattened_line_0-snap-gene-0.132-mRNA-1                        357       11        1        7   52.6271   54.0876
genemark-flattened_line_0-processed-gene-0.47-mRNA-1                 954       12        1        7   47.1131   52.8778
snap_masked-flattened_line_0-processed-gene-0.95-mRNA-1             1485       12        1        8   49.0735   50.3626
snap_masked-flattened_line_0-processed-gene-0.120-mRNA-1            1398       12        1        8   38.1647   41.9123
snap_masked-flattened_line_0-processed-gene-0.96-mRNA-1             1473       12        1        8   49.9545   51.6374
snap_masked-flattened_line_0-processed-gene-0.121-mRNA-1            1710       12        1        7   46.7243   51.2144
snap_masked-flattened_line_0-processed-gene-0.122-mRNA-1            1374       12        1        8   47.5225   47.6485
snap_masked-flattened_line_0-processed-gene-0.98-mRNA-1              510       11        1        8   46.5280   50.0669
snap_masked-flattened_line_0-processed-gene-0.99-mRNA-1             1971       12        1        8   37.3333   44.5003
snap_masked-flattened_line_0-processed-gene-0.100-mRNA-1             573       11        1        7   47.2504   49.1048
augustus_masked-flattened_line_0-processed-gene-0.33-mRNA-1         3288       12        1        8   44.4501   47.8573
maker-flattened_line_0-snap-gene-0.138-mRNA-1                        336       10        1        8   55.0728   62.0925
maker-flattened_line_0-snap-gene-0.137-mRNA-1                        687       12        1        8   52.2899   58.6593
snap_masked-flattened_line_0-processed-gene-0.127-mRNA-1             843       11        1        8   48.3818   50.5247
snap_masked-flattened_line_0-processed-gene-0.101-mRNA-1            1554       12        1        7   44.3094   46.5158
snap_masked-flattened_line_0-processed-gene-0.128-mRNA-1             630       12        1        8   49.1808   46.3657
snap_masked-flattened_line_0-processed-gene-0.102-mRNA-1            1251       12        1        7   44.8523   47.6844
snap_masked-flattened_line_0-processed-gene-0.129-mRNA-1            1221       12        1        8   46.3713   48.1537
snap_masked-flattened_line_0-processed-gene-0.130-mRNA-1            1551       12        1        8   47.9001   52.4709
snap_masked-flattened_line_0-processed-gene-0.103-mRNA-1            1416       12        1        8   47.1794   52.7937
snap_masked-flattened_line_0-processed-gene-0.104-mRNA-1            1203       12        1        7   47.9098   50.2680
snap_masked-flattened_line_0-processed-gene-0.105-mRNA-1             810       12        1        7   48.8671   49.4353
augustus_masked-flattened_line_0-processed-gene-0.39-mRNA-1          786       12        1        8   50.7448   50.3481
snap_masked-flattened_line_0-processed-gene-0.106-mRNA-1             879       12        1        8   47.3197   53.3882
snap_masked-flattened_line_0-processed-gene-0.107-mRNA-1            3594       12        1        8   42.7057   48.5374
snap_masked-flattened_line_0-processed-gene-1.49-mRNA-1             2010       12        1        8   40.9225   46.9020
maker-flattened_line_0-snap-gene-1.2-mRNA-1                          858       12        1        8   52.2896   56.1890
augustus_masked-flattened_line_0-processed-gene-1.92-mRNA-1         1299       12        1        8   46.6085   47.5709
snap_masked-flattened_line_0-processed-gene-1.52-mRNA-1             2319       11        1        8   42.7088   44.3879
snap_masked-flattened_line_0-processed-gene-1.72-mRNA-1             2778       12        1        8   42.1146   44.3975
snap_masked-flattened_line_0-processed-gene-1.73-mRNA-1             2022       12        1        8   46.1581   49.6282
snap_masked-flattened_line_0-processed-gene-1.74-mRNA-1             1770       12        1        8   50.2616   52.5611
augustus_masked-flattened_line_0-processed-gene-1.94-mRNA-1         1968       12        1        8   42.3070   48.5267
snap_masked-flattened_line_0-processed-gene-1.75-mRNA-1             1347       11        1        8   34.4446   45.4492
snap_masked-flattened_line_0-processed-gene-1.76-mRNA-1             1326       12        1        8   40.6581   46.7534
snap_masked-flattened_line_0-processed-gene-1.77-mRNA-1             1728       11        1        8   42.5438   47.7358
augustus_masked-flattened_line_0-processed-gene-1.119-mRNA-1        3423       12        1        8   44.9561   49.4976
augustus_masked-flattened_line_0-processed-gene-1.95-mRNA-1         1611       12        1        8   54.0602   59.0327
augustus_masked-flattened_line_0-processed-gene-1.96-mRNA-1         2814       12        1        8   45.1919   49.4413
augustus_masked-flattened_line_0-processed-gene-1.97-mRNA-1         1548       12        1        8   48.4352   51.6468
snap_masked-flattened_line_0-processed-gene-1.57-mRNA-1             1203       11        1        8   46.3782   55.2852
snap_masked-flattened_line_0-processed-gene-1.58-mRNA-1             1698       12        1        7   46.0341   49.4432
snap_masked-flattened_line_0-processed-gene-1.59-mRNA-1             2700       12        1        8   37.3557   42.4330
genemark-flattened_line_0-processed-gene-1.39-mRNA-1                 744       11        1        8   45.5294   50.9333
augustus_masked-flattened_line_0-processed-gene-1.101-mRNA-1        1587       12        1        8   45.1765   49.9989
snap_masked-flattened_line_0-processed-gene-1.61-mRNA-1              519       12        1        8   49.3306   50.0332
snap_masked-flattened_line_0-processed-gene-1.79-mRNA-1             2928       12        1        8   42.8504   48.1754
snap_masked-flattened_line_0-processed-gene-1.80-mRNA-1              747       11        1        8   49.1249   52.4629
augustus_masked-flattened_line_0-processed-gene-1.123-mRNA-1        1434       12        1        8   49.8582   55.9495
genemark-flattened_line_0-processed-gene-1.23-mRNA-1                1365       12        1        8   53.2764   55.9115
augustus_masked-flattened_line_0-processed-gene-1.104-mRNA-1         564       11        1        8   50.8954   53.7392
augustus_masked-flattened_line_0-processed-gene-1.105-mRNA-1        2184       12        1        8   45.5958   48.3097
snap_masked-flattened_line_0-processed-gene-1.65-mRNA-1             1251       12        1        7   43.3785   45.9486
genemark-flattened_line_0-processed-gene-1.26-mRNA-1                 318       11        1        7   41.9019   47.0795
snap_masked-flattened_line_0-processed-gene-1.82-mRNA-1             2268       12        1        8   40.6168   45.2279
snap_masked-flattened_line_0-processed-gene-1.83-mRNA-1              840       11        1        8   49.8567   57.5963
snap_masked-flattened_line_0-processed-gene-1.84-mRNA-1             2730       12        1        8   51.4092   56.2604
snap_masked-flattened_line_0-processed-gene-1.68-mRNA-1             2220       12        1        8   42.7616   47.6445
snap_masked-flattened_line_0-processed-gene-1.85-mRNA-1             1710       12        1        8   46.9396   49.5989
genemark-flattened_line_0-processed-gene-1.29-mRNA-1                 981       12        1        8   52.8529   61.9277
augustus_masked-flattened_line_0-processed-gene-1.127-mRNA-1        1125       12        1        8   48.7246   51.7211
snap_masked-flattened_line_0-processed-gene-1.70-mRNA-1              723       12        1        8   52.5548   56.4467
snap_masked-flattened_line_0-processed-gene-1.87-mRNA-1             1482       12        1        8   43.6839   47.0279
snap_masked-flattened_line_0-processed-gene-1.88-mRNA-1             1440       12        1        8   46.6600   49.2570
snap_masked-flattened_line_0-processed-gene-1.71-mRNA-1              534       12        1        8   49.4437   50.2628
snap_masked-flattened_line_0-processed-gene-1.89-mRNA-1              756       12        1        7   45.8519   49.7798
snap_masked-flattened_line_0-processed-gene-2.85-mRNA-1              600       11        1        7   44.4295   53.3273
maker-flattened_line_0-snap-gene-2.130-mRNA-1                        318       12        1        7   54.3446   60.6110
snap_masked-flattened_line_0-processed-gene-2.87-mRNA-1             1944       12        1        8   42.4979   46.7152
maker-flattened_line_0-augustus-gene-2.136-mRNA-1                   1698       12        1        8   49.5515   54.8795
augustus_masked-flattened_line_0-processed-gene-2.5-mRNA-1           567       12        1        8   53.0295   62.8630
snap_masked-flattened_line_0-processed-gene-2.90-mRNA-1              702       12        1        8   47.4341   53.4531
snap_masked-flattened_line_0-processed-gene-2.91-mRNA-1             7425       12        1        8   39.1552   44.8247
snap_masked-flattened_line_0-processed-gene-2.92-mRNA-1             1266       12        1        7   47.5895   49.6371
snap_masked-flattened_line_0-processed-gene-2.113-mRNA-1             393       11        1        6   40.9794   44.7212
snap_masked-flattened_line_0-processed-gene-2.93-mRNA-1              396       10        1        6   40.8687   48.8623
snap_masked-flattened_line_0-processed-gene-2.94-mRNA-1             1680       12        1        8   43.7441   47.2686
genemark-flattened_line_0-processed-gene-2.51-mRNA-1                 789       12        1        8   52.1688   55.4137
snap_masked-flattened_line_0-processed-gene-2.96-mRNA-1             1926       12        1        8   42.8751   47.5129
snap_masked-flattened_line_0-processed-gene-2.97-mRNA-1             2076       11        1        8   41.2398   44.1541
snap_masked-flattened_line_0-processed-gene-2.98-mRNA-1              495       12        1        8   49.1087   48.8007
snap_masked-flattened_line_0-processed-gene-2.99-mRNA-1              999       12        1        7   42.2537   46.1059
maker-flattened_line_0-snap-gene-2.134-mRNA-1                        423       10        1        7   40.2591   46.7595
snap_masked-flattened_line_0-processed-gene-2.115-mRNA-1             603       12        1        8   48.2834   48.7396
snap_masked-flattened_line_0-processed-gene-2.100-mRNA-1            1089       12        1        8   45.4617   46.4075
snap_masked-flattened_line_0-processed-gene-2.116-mRNA-1            1416       12        1        8   51.4056   54.8199
snap_masked-flattened_line_0-processed-gene-2.117-mRNA-1            1263       12        1        8   46.4425   46.7059
