Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                    SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------
augustus_masked-scaffold_1-processed-gene-0.29-mRNA-1        1776       11        3        7   47.6721   50.1498
genemark-scaffold_1-processed-gene-0.70-mRNA-1               1518       11        3        7   41.9338   47.5468
genemark-scaffold_1-processed-gene-0.71-mRNA-1               1785       11        3        7   44.7311   47.5113
maker-scaffold_1-augustus-gene-0.2-mRNA-1                    3474       11        3        7   44.8747   48.7075
genemark-scaffold_1-processed-gene-0.47-mRNA-1               1392       11        3        7   49.0194   50.9705
genemark-scaffold_1-processed-gene-0.48-mRNA-1               2103       11        3        7   43.6547   48.7719
genemark-scaffold_1-processed-gene-0.72-mRNA-1               1542       11        3        7   47.3969   50.2871
snap_masked-scaffold_1-processed-gene-0.119-mRNA-1           2265       11        3        7   43.8340   45.8037
snap_masked-scaffold_1-processed-gene-0.95-mRNA-1             303        9        3        6   45.8108   46.3290
genemark-scaffold_1-processed-gene-0.49-mRNA-1               1971       11        3        7   48.2319   51.5032
augustus_masked-scaffold_1-processed-gene-0.34-mRNA-1        1089       11        3        7   49.2275   50.1838
genemark-scaffold_1-processed-gene-0.50-mRNA-1                864       11        3        7   49.1004   49.4207
genemark-scaffold_1-processed-gene-0.75-mRNA-1                741       10        3        7   51.7463   51.0613
snap_masked-scaffold_1-processed-gene-0.98-mRNA-1            3015       11        3        7   52.9070   56.2905
genemark-scaffold_1-processed-gene-0.76-mRNA-1               1539       11        3        7   51.2499   53.2599
genemark-scaffold_1-processed-gene-0.53-mRNA-1               3351       11        3        7   48.4605   52.5485
maker-scaffold_1-augustus-gene-0.5-mRNA-1                    2679       11        3        7   44.9255   47.4454
genemark-scaffold_1-processed-gene-0.55-mRNA-1                996       11        3        7   51.2302   56.4813
genemark-scaffold_1-processed-gene-0.56-mRNA-1               1521       11        3        7   42.8834   48.4954
maker-scaffold_1-augustus-gene-0.6-mRNA-1                    3204       11        3        7   47.0897   54.2114
augustus_masked-scaffold_1-processed-gene-0.21-mRNA-1         384       11        3        7   45.6043   44.8877
genemark-scaffold_1-processed-gene-0.77-mRNA-1                936       11        3        7   46.6018   53.2292
genemark-scaffold_1-processed-gene-0.61-mRNA-1                450        9        3        6   43.5286   51.0419
genemark-scaffold_1-processed-gene-0.78-mRNA-1                642       11        3        7   45.0017   42.2361
augustus_masked-scaffold_1-processed-gene-0.39-mRNA-1         315        9        3        6   42.4157   44.2639
genemark-scaffold_1-processed-gene-0.62-mRNA-1                471       11        3        7   49.6788   57.0055
genemark-scaffold_1-processed-gene-0.63-mRNA-1               1137       11        3        7   39.5002   45.1272
augustus_masked-scaffold_1-processed-gene-0.40-mRNA-1        5598       11        3        7   47.0493   51.8232
genemark-scaffold_1-processed-gene-0.81-mRNA-1               1671       11        3        7   39.0275   43.2002
genemark-scaffold_1-processed-gene-0.64-mRNA-1               1086       11        2        7   37.2123   48.5703
genemark-scaffold_1-processed-gene-0.82-mRNA-1               1065       11        3        6   39.1498   43.7694
genemark-scaffold_1-processed-gene-0.65-mRNA-1               2703       11        3        7   43.7672   48.0934
genemark-scaffold_1-processed-gene-0.83-mRNA-1               2718       11        3        7   52.1807   54.6637
genemark-scaffold_1-processed-gene-0.84-mRNA-1               1695       11        3        7   48.2678   49.4496
genemark-scaffold_1-processed-gene-0.85-mRNA-1               2316       11        3        7   47.1175   52.3414
genemark-scaffold_1-processed-gene-0.66-mRNA-1               2268       11        3        7   50.4562   55.4196
genemark-scaffold_1-processed-gene-0.67-mRNA-1                378       10        3        7   50.8218   55.6699
genemark-scaffold_1-processed-gene-1.43-mRNA-1               3654       11        3        7   50.3490   53.2161
genemark-scaffold_1-processed-gene-1.44-mRNA-1               1044       11        3        7   51.8020   54.6641
genemark-scaffold_1-processed-gene-1.46-mRNA-1               4320       11        3        7   40.9641   48.6064
genemark-scaffold_1-processed-gene-1.45-mRNA-1               1539       11        3        7   48.1665   52.2224
genemark-scaffold_1-processed-gene-1.47-mRNA-1               1515       10        3        7   53.1203   55.2437
genemark-scaffold_1-processed-gene-1.48-mRNA-1               1503       11        3        7   53.0618   57.7867
genemark-scaffold_1-processed-gene-1.63-mRNA-1               1512       11        3        7   50.0813   55.0356
augustus_masked-scaffold_1-processed-gene-1.89-mRNA-1        3225       11        3        7   54.1363   57.9816
augustus_masked-scaffold_1-processed-gene-1.101-mRNA-1       3249       11        3        7   42.1105   47.6217
genemark-scaffold_1-processed-gene-1.51-mRNA-1               3075       11        3        7   47.6636   50.5816
genemark-scaffold_1-processed-gene-1.66-mRNA-1                921       11        3        7   48.3719   49.1821
genemark-scaffold_1-processed-gene-1.52-mRNA-1               1143       11        3        7   53.8308   56.2266
genemark-scaffold_1-processed-gene-1.67-mRNA-1               2346       11        2        7   35.0425   46.4866
maker-scaffold_1-augustus-gene-1.120-mRNA-1                  4923       11        3        7   48.3137   53.7321
genemark-scaffold_1-processed-gene-1.68-mRNA-1               1050       10        3        7   50.6334   52.3034
genemark-scaffold_1-processed-gene-1.55-mRNA-1               1746       11        3        7   50.7042   53.9717
genemark-scaffold_1-processed-gene-1.69-mRNA-1               1731       11        3        7   45.0590   49.9295
augustus_masked-scaffold_1-processed-gene-1.106-mRNA-1       2469       11        3        7   52.2763   54.7585
genemark-scaffold_1-processed-gene-1.56-mRNA-1               7269       11        3        7   50.4900   55.9391
genemark-scaffold_1-processed-gene-1.71-mRNA-1               2532       11        3        7   47.9790   52.4025
genemark-scaffold_1-processed-gene-1.72-mRNA-1                822       11        3        7   48.8971   59.2906
augustus_masked-scaffold_1-processed-gene-1.109-mRNA-1        534       11        3        7   55.3272   60.9208
genemark-scaffold_1-processed-gene-1.57-mRNA-1               1851       11        3        7   46.1861   49.3353
genemark-scaffold_1-processed-gene-1.74-mRNA-1               1350       11        3        7   44.8113   45.1298
genemark-scaffold_1-processed-gene-1.58-mRNA-1               2946       11        3        7   42.2485   45.4699
