gene_id	tAI	nc	gc3
augustus_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-3.2-mRNA-1	0.166065665573646	54.2290	0.396
snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-3.75-mRNA-1	0.407710060155121	48.6125	0.346
snap_masked-NODE_22_length_202797_cov_90.5711_ID_43-processed-gene-0.66-mRNA-1	0.3714381427047	50.4413	0.312
augustus_masked-NODE_21_length_207486_cov_71.6837_ID_41-processed-gene-1.130-mRNA-1	0.305034284695705	57.8961	0.454
augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-3.115-mRNA-1	0.346966243784737	54.8741	0.483
snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-1.70-mRNA-1	0.40766936138296	43.8586	0.503
snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-5.188-mRNA-1	0.44248233356751	38.2056	0.314
augustus_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-1.30-mRNA-1	0.266091931719927	48.7562	0.728
snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-2.90-mRNA-1	0.281287509229949	53.5841	0.431
augustus_masked-NODE_25_length_171835_cov_70.1684_ID_49-processed-gene-0.92-mRNA-1	0.365862160419363	50.0719	0.283
snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.73-mRNA-1	0.43927645628962	41.0726	0.467
snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-0.73-mRNA-1	0.370364884930565	50.0032	0.421
snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-5.177-mRNA-1	0.279253917562588	55.2718	0.343
augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-6.111-mRNA-1	0.283947589095345	58.0556	0.442
snap_masked-NODE_28_length_139703_cov_65.3203_ID_55-processed-gene-0.120-mRNA-1	0.300918726637001	53.7952	0.483
snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-6.67-mRNA-1	0.315519833675053	53.7884	0.453
maker-NODE_5_length_751471_cov_67.627_ID_9-snap-gene-2.131-mRNA-1	0.336811617381897	52.3419	0.513
snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-2.114-mRNA-1	0.295978590075863	54.8542	0.327
snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.82-mRNA-1	0.29312932162189	57.3812	0.437
augustus_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.144-mRNA-1	0.287562163239825	56.1354	0.374
snap_masked-NODE_27_length_143028_cov_71.4765_ID_53-processed-gene-0.61-mRNA-1	0.311155612444597	56.5293	0.446
snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-4.2-mRNA-1	0.422291027742815	48.0175	0.447
snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-2.125-mRNA-1	0.328927060393761	54.5159	0.491
snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-0.81-mRNA-1	0.440256025226056	42.0699	0.362
augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-0.100-mRNA-1	0.304482143556004	53.1507	0.562
maker-NODE_1_length_933283_cov_68.0403_ID_1-snap-gene-7.43-mRNA-1	0.26579752793913	55.1439	0.614
snap_masked-NODE_19_length_288497_cov_86.145_ID_37-processed-gene-1.99-mRNA-1	0.407108020585365	46.9167	0.415
snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-3.63-mRNA-1	0.402777701126705	46.3194	0.390
snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-1.3-mRNA-1	0.346074365665867	54.7215	0.454
snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.87-mRNA-1	0.303330821884592	52.2583	0.549
snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-1.67-mRNA-1	0.235043166426197	55.4475	0.393
augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.0-mRNA-1	0.332614389799636	51.1192	0.283
snap_masked-NODE_24_length_178994_cov_74.8349_ID_47-processed-gene-0.207-mRNA-1	0.270327160859967	56.5408	0.514
snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-3.76-mRNA-1	0.381432440238441	51.9909	0.354
snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.76-mRNA-1	0.310307514790666	53.5803	0.426
snap_masked-NODE_26_length_162235_cov_68.3165_ID_51-processed-gene-0.138-mRNA-1	0.317383940716124	55.5541	0.368
maker-NODE_6_length_660448_cov_75.8544_ID_11-snap-gene-3.105-mRNA-1	0.332072664046677	51.5342	0.580
snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-2.84-mRNA-1	0.343826010004161	53.5050	0.450
augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.22-mRNA-1	0.258616911553385	55.8653	0.360
snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.84-mRNA-1	0.356644303861716	53.4916	0.493
snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.84-mRNA-1	0.351339741568378	53.7687	0.486
snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.121-mRNA-1	0.348526773798995	49.1853	0.402
maker-NODE_18_length_296463_cov_85.1512_ID_35-augustus-gene-1.163-mRNA-1	0.367546594691515	54.0164	0.418
snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-1.25-mRNA-1	0.290128243006218	49.9495	0.357
snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-4.118-mRNA-1	0.356566275065809	55.5519	0.426
