gene_id	tAI	nc	gc3
augustus_masked-NODE_24_length_260337_cov_11.7136_ID_47-processed-gene-1.158-mRNA-1	0.419767259196158	57.4286	0.430
genemark-NODE_36_length_89125_cov_17.9037_ID_71-processed-gene-0.34-mRNA-1	0.457650827334703	55.1382	0.470
genemark-NODE_25_length_257974_cov_11.421_ID_49-processed-gene-1.186-mRNA-1	0.449780637518163	56.8915	0.525
augustus_masked-NODE_34_length_99183_cov_13.1758_ID_67-processed-gene-0.63-mRNA-1	0.42912382386828	53.7380	0.404
genemark-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-3.8-mRNA-1	0.484923548074885	51.2474	0.489
augustus_masked-NODE_18_length_333966_cov_12.1282_ID_35-processed-gene-0.119-mRNA-1	0.415256865747391	56.8792	0.395
genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-7.35-mRNA-1	0.444678523613885	55.2785	0.439
augustus_masked-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-2.80-mRNA-1	0.425533791645473	57.1158	0.464
genemark-NODE_15_length_350517_cov_11.3523_ID_29-processed-gene-0.71-mRNA-1	0.551161940839087	46.4547	0.586
genemark-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-0.1-mRNA-1	0.423759503782052	57.2318	0.430
genemark-NODE_28_length_230499_cov_10.9408_ID_55-processed-gene-0.9-mRNA-1	0.444030496467902	56.3004	0.527
snap_masked-NODE_17_length_343940_cov_11.2238_ID_33-processed-gene-0.115-mRNA-1	0.438237068443579	58.5766	0.454
genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-0.58-mRNA-1	0.428447585144611	57.7737	0.492
genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-2.85-mRNA-1	0.43602093940168	54.9848	0.431
snap_masked-NODE_14_length_375947_cov_14.1806_ID_27-processed-gene-0.60-mRNA-1	0.455988687055921	56.0023	0.453
snap_masked-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-5.104-mRNA-1	0.421950849403858	56.0340	0.411
genemark-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-0.47-mRNA-1	0.439684792583628	56.4826	0.424
genemark-NODE_8_length_530029_cov_13.7433_ID_15-processed-gene-2.75-mRNA-1	0.489243222050391	53.1932	0.502
