Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_103_length_434_cov_0.865014_ID_205-processed-gene-0.2-mRNA-1         330       11        1        8   53.3112   61.3348
snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-0.35-mRNA-1            321       12        1        8   54.5830   61.4388
augustus_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-0.96-mRNA-1       1476       12        1        8   57.7236   62.4691
maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-0.9-mRNA-1                       1437       12        1        8   59.3143   61.9709
maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-0.10-mRNA-1                       426       10        1        8   42.4604   46.1011
maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-0.0-mRNA-1                        633       10        1        8   43.5216   52.9252
maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-0.11-mRNA-1                      1425       12        1        8   55.9890   61.2589
snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-0.20-mRNA-1           1674       12        1        8   56.5379   62.0260
maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-0.1-mRNA-1                       1740       12        1        8   57.6051   61.1764
snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-0.39-mRNA-1           1104       12        1        8   54.3126   58.4498
snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-0.22-mRNA-1            834       11        1        8   57.5365   60.5199
maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-0.2-mRNA-1                       1404       12        1        8   56.4377   60.6950
snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-0.40-mRNA-1           3231       12        1        8   57.7398   61.1465
snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-0.24-mRNA-1           1521       12        1        8   58.3087   62.7631
maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-0.12-mRNA-1                      1815       12        1        8   57.8393   60.5401
maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-0.3-mRNA-1                        516       12        1        8   49.1834   59.0872
snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-0.42-mRNA-1           1434       12        1        8   57.1163   61.1358
maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-0.13-mRNA-1                      5739       12        1        8   58.3796   61.0336
snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-0.44-mRNA-1           2304       12        1        8   58.2629   62.1289
maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-0.14-mRNA-1                      1062       12        1        8   55.2612   60.2076
