Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                  SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------
snap_masked-HE576752-processed-gene-0.38-mRNA-1             741       12        1        8   56.1985   62.8962
snap_masked-HE576752-processed-gene-0.61-mRNA-1             618       12        1        8   52.0961   52.5111
snap_masked-HE576752-processed-gene-0.39-mRNA-1             687       12        1        8   55.3212   60.6755
snap_masked-HE576752-processed-gene-0.62-mRNA-1            3381       12        1        8   48.0546   51.0469
augustus_masked-HE576752-processed-gene-0.4-mRNA-1         8388       12        1        8   54.3164   55.5256
augustus_masked-HE576752-processed-gene-0.5-mRNA-1          981       12        1        8   52.2300   54.6678
genemark-HE576752-processed-gene-0.102-mRNA-1              2001       12        1        8   53.1799   54.1634
augustus_masked-HE576752-processed-gene-0.6-mRNA-1         1002       12        1        8   51.0550   52.5648
augustus_masked-HE576752-processed-gene-0.24-mRNA-1         384       11        1        8   52.7893   54.6087
augustus_masked-HE576752-processed-gene-0.25-mRNA-1         978       12        1        8   49.8630   61.3834
augustus_masked-HE576752-processed-gene-0.7-mRNA-1         1164       12        1        8   55.3973   59.5971
snap_masked-HE576752-processed-gene-0.66-mRNA-1             399       12        1        8   54.2680   53.6693
snap_masked-HE576752-processed-gene-0.67-mRNA-1            1128       12        1        8   56.2819   58.5801
augustus_masked-HE576752-processed-gene-0.27-mRNA-1        1335       12        1        8   52.5792   54.9790
augustus_masked-HE576752-processed-gene-0.9-mRNA-1         2628       12        1        8   52.7527   54.8941
augustus_masked-HE576752-processed-gene-0.10-mRNA-1        1602       12        1        8   51.6647   53.1299
augustus_masked-HE576752-processed-gene-0.11-mRNA-1        1371       12        1        8   50.0241   51.7543
augustus_masked-HE576752-processed-gene-0.12-mRNA-1        2301       12        1        8   52.8855   56.1908
maker-HE576752-augustus-gene-0.1-mRNA-1                    2010       12        1        8   48.8457   56.5701
augustus_masked-HE576752-processed-gene-0.30-mRNA-1        1122       12        1        7   55.2175   60.6984
augustus_masked-HE576752-processed-gene-0.13-mRNA-1        1554       12        1        8   49.3563   60.9225
augustus_masked-HE576752-processed-gene-0.14-mRNA-1        1446       12        1        8   53.0935   57.6112
augustus_masked-HE576752-processed-gene-0.31-mRNA-1         324       12        1        8   53.2978   61.3035
augustus_masked-HE576752-processed-gene-0.32-mRNA-1         426       11        1        7   52.7728   59.2273
snap_masked-HE576752-processed-gene-0.51-mRNA-1             924       12        1        8   56.0825   59.8910
snap_masked-HE576752-processed-gene-0.52-mRNA-1             921       12        1        8   56.3461   60.4045
snap_masked-HE576752-processed-gene-0.74-mRNA-1             597       12        1        8   55.0385   58.0687
snap_masked-HE576752-processed-gene-0.75-mRNA-1            2055       12        1        8   47.2902   58.6019
augustus_masked-HE576752-processed-gene-0.17-mRNA-1        2106       12        1        8   48.6377   51.0218
augustus_masked-HE576752-processed-gene-0.18-mRNA-1         810       12        1        8   55.6877   62.9138
augustus_masked-HE576752-processed-gene-0.19-mRNA-1        1158       12        1        8   45.6171   56.7315
augustus_masked-HE576752-processed-gene-0.34-mRNA-1        1545       12        1        8   54.6513   55.3097
augustus_masked-HE576752-processed-gene-0.35-mRNA-1        2199       12        1        8   53.9177   55.8306
augustus_masked-HE576752-processed-gene-0.36-mRNA-1        1842       12        1        8   53.7255   59.4313
augustus_masked-HE576752-processed-gene-0.21-mRNA-1        5466       12        1        8   55.2811   59.0070
snap_masked-HE576752-processed-gene-0.60-mRNA-1             393       11        1        7   53.9920   58.2515
augustus_masked-HE576752-processed-gene-0.37-mRNA-1        1056       12        1        8   54.7878   59.6371
augustus_masked-HE576752-processed-gene-1.80-mRNA-1        1425       12        1        8   51.3978   54.7528
augustus_masked-HE576752-processed-gene-1.81-mRNA-1        1812       12        1        8   53.4625   56.7671
augustus_masked-HE576752-processed-gene-1.83-mRNA-1        1047       12        1        8   49.0145   52.9609
augustus_masked-HE576752-processed-gene-1.82-mRNA-1        3693       12        1        8   52.0220   53.7697
augustus_masked-HE576752-processed-gene-1.84-mRNA-1        2064       12        1        8   53.9093   54.9704
snap_masked-HE576752-processed-gene-1.56-mRNA-1            5832       12        1        8   51.0115   53.5710
augustus_masked-HE576752-processed-gene-1.100-mRNA-1       1629       12        1        8   54.8979   62.0831
augustus_masked-HE576752-processed-gene-1.85-mRNA-1        1818       12        1        8   48.9568   59.6885
augustus_masked-HE576752-processed-gene-1.86-mRNA-1        3246       12        1        8   50.9431   55.7910
augustus_masked-HE576752-processed-gene-1.101-mRNA-1        846       12        1        8   53.7167   56.1860
genemark-HE576752-processed-gene-1.21-mRNA-1               1047       12        1        8   53.4466   59.2160
augustus_masked-HE576752-processed-gene-1.103-mRNA-1        975       12        1        8   53.2305   58.5122
augustus_masked-HE576752-processed-gene-1.87-mRNA-1        6666       12        1        8   50.9949   54.7332
augustus_masked-HE576752-processed-gene-1.104-mRNA-1        486       12        1        7   52.9710   51.3264
augustus_masked-HE576752-processed-gene-1.106-mRNA-1       2289       12        1        8   54.2760   57.2460
augustus_masked-HE576752-processed-gene-1.107-mRNA-1       3699       12        1        8   51.0906   55.6720
augustus_masked-HE576752-processed-gene-1.88-mRNA-1        2454       12        1        8   54.0848   56.7413
maker-HE576752-augustus-gene-1.79-mRNA-1                   1629       12        1        8   53.0783   61.2908
augustus_masked-HE576752-processed-gene-1.89-mRNA-1        1377       12        1        8   53.2507   56.4939
augustus_masked-HE576752-processed-gene-1.109-mRNA-1        825       11        1        8   54.1274   55.2057
augustus_masked-HE576752-processed-gene-1.110-mRNA-1       1734       12        1        8   48.8227   54.7800
augustus_masked-HE576752-processed-gene-1.90-mRNA-1        3909       12        1        8   54.1445   55.5361
augustus_masked-HE576752-processed-gene-1.111-mRNA-1       1644       12        1        8   53.9307   55.9492
augustus_masked-HE576752-processed-gene-1.112-mRNA-1       1230       12        1        8   49.8434   57.5269
augustus_masked-HE576752-processed-gene-1.91-mRNA-1        2277       12        1        8   48.4518   55.8770
maker-HE576752-augustus-gene-1.78-mRNA-1                    840       12        1        8   52.2497   55.7263
augustus_masked-HE576752-processed-gene-1.113-mRNA-1        546       11        1        8   52.4478   53.2896
augustus_masked-HE576752-processed-gene-1.114-mRNA-1        321       11        1        7   51.1360   59.9831
augustus_masked-HE576752-processed-gene-1.93-mRNA-1        2895       12        1        8   50.2152   55.0077
augustus_masked-HE576752-processed-gene-1.94-mRNA-1        4701       12        1        8   52.0758   53.7146
augustus_masked-HE576752-processed-gene-1.115-mRNA-1       1533       12        1        8   49.9050   62.1188
augustus_masked-HE576752-processed-gene-1.116-mRNA-1       1428       12        1        8   52.9481   56.8173
augustus_masked-HE576752-processed-gene-1.95-mRNA-1        2367       12        1        8   54.6785   59.5865
augustus_masked-HE576752-processed-gene-1.96-mRNA-1        1212       12        1        8   54.7511   58.7890
augustus_masked-HE576752-processed-gene-1.97-mRNA-1        2949       12        1        8   51.5498   53.9932
augustus_masked-HE576752-processed-gene-1.117-mRNA-1       1320       12        1        8   55.3485   61.4896
augustus_masked-HE576752-processed-gene-1.118-mRNA-1        504       11        0        7   48.0187   57.4367
augustus_masked-HE576752-processed-gene-1.98-mRNA-1        4461       12        1        8   53.2430   58.1723
augustus_masked-HE576752-processed-gene-2.0-mRNA-1          648       11        1        7   38.7987   60.5857
snap_masked-HE576752-processed-gene-2.47-mRNA-1            1350       12        1        8   53.6128   56.8763
snap_masked-HE576752-processed-gene-2.48-mRNA-1             561       11        1        8   50.3569   56.3017
augustus_masked-HE576752-processed-gene-2.3-mRNA-1         3516       12        1        8   46.4313   53.9441
snap_masked-HE576752-processed-gene-2.49-mRNA-1            3702       12        1        8   53.6120   55.2641
augustus_masked-HE576752-processed-gene-2.4-mRNA-1          996       12        1        8   52.5006   55.5880
augustus_masked-HE576752-processed-gene-2.23-mRNA-1        1623       12        1        8   51.2767   54.7249
augustus_masked-HE576752-processed-gene-2.5-mRNA-1          696       12        1        8   51.4415   53.2786
augustus_masked-HE576752-processed-gene-2.24-mRNA-1        1626       12        1        8   48.0679   53.7527
augustus_masked-HE576752-processed-gene-2.6-mRNA-1          540       12        1        7   47.9545   52.8222
augustus_masked-HE576752-processed-gene-2.25-mRNA-1        3612       12        1        8   52.7540   56.7086
augustus_masked-HE576752-processed-gene-2.7-mRNA-1         2400       12        1        8   48.7570   52.4904
augustus_masked-HE576752-processed-gene-2.26-mRNA-1         966       12        1        8   54.4270   58.7171
augustus_masked-HE576752-processed-gene-2.8-mRNA-1         1461       12        1        8   52.6080   56.1198
snap_masked-HE576752-processed-gene-2.76-mRNA-1            1596       12        1        8   52.2144   54.8977
genemark-HE576752-processed-gene-2.128-mRNA-1               666       12        1        8   56.9976   61.9171
genemark-HE576752-processed-gene-2.129-mRNA-1              1707       12        1        8   55.2566   56.0946
augustus_masked-HE576752-processed-gene-2.9-mRNA-1         2673       12        1        8   53.2708   54.3602
augustus_masked-HE576752-processed-gene-2.10-mRNA-1         639       12        1        8   54.7153   55.4976
augustus_masked-HE576752-processed-gene-2.11-mRNA-1        2262       12        1        8   54.7676   57.3131
snap_masked-HE576752-processed-gene-2.79-mRNA-1            2568       12        1        8   55.6588   56.5321
augustus_masked-HE576752-processed-gene-2.12-mRNA-1        1281       12        1        8   51.4319   54.7667
augustus_masked-HE576752-processed-gene-2.31-mRNA-1         765       12        1        8   52.9858   55.7437
augustus_masked-HE576752-processed-gene-2.13-mRNA-1        2046       12        1        8   40.7662   52.9574
