Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                  SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------
augustus_masked-ipo_C23831-processed-gene-0.0-mRNA-1        735       11        3        7   56.1141   60.9413
snap_masked-ipo_C24219-processed-gene-0.0-mRNA-1            513       11        3        7   55.4854   58.4497
augustus_masked-ipo_C24307-processed-gene-0.0-mRNA-1       1242       11        3        7   54.8474   59.6631
augustus_masked-ipo_C24399-processed-gene-0.1-mRNA-1        357        9        3        7   54.8513   60.1321
snap_masked-ipo_C24425-processed-gene-0.2-mRNA-1            570       11        3        7   49.1893   60.2762
augustus_masked-ipo_C24523-processed-gene-0.2-mRNA-1        456       10        3        6   49.5549   52.2213
snap_masked-ipo_C24565-processed-gene-0.2-mRNA-1           1176       11        3        7   54.8122   59.1070
snap_masked-ipo_C24651-processed-gene-0.0-mRNA-1            474       11        3        7   52.6559   58.7958
augustus_masked-ipo_C24725-processed-gene-0.1-mRNA-1        447       11        3        7   52.0740   60.5654
snap_masked-ipo_C25033-processed-gene-0.2-mRNA-1            885       11        3        7   55.3812   60.4937
augustus_masked-ipo_C25041-processed-gene-0.1-mRNA-1        804       11        3        7   54.6192   60.4627
augustus_masked-ipo_C25093-processed-gene-0.1-mRNA-1        783        9        3        7   51.2730   56.6195
snap_masked-ipo_C25093-processed-gene-0.0-mRNA-1            762       11        3        7   56.6408   60.9905
snap_masked-ipo_C25137-processed-gene-0.0-mRNA-1            357        9        3        7   53.0557   61.4230
snap_masked-ipo_C25239-processed-gene-0.2-mRNA-1            693       11        3        7   54.0872   61.8445
snap_masked-ipo_C25331-processed-gene-0.0-mRNA-1            489       11        3        7   53.3078   58.5653
snap_masked-ipo_C25345-processed-gene-0.0-mRNA-1           1194       11        3        7   54.1854   60.6874
