gene_id	tAI	nc	gc3
snap_masked-CR380955-processed-gene-8.46-mRNA-1	0.227537695865749	56.7012	0.468
snap_masked-CR380955-processed-gene-9.111-mRNA-1	0.280888035213728	54.7060	0.403
snap_masked-CR380957-processed-gene-7.75-mRNA-1	0.254980572250104	53.9233	0.375
augustus_masked-CR380958-processed-gene-6.54-mRNA-1	0.294621613003659	50.9320	0.410
snap_masked-CR380957-processed-gene-2.33-mRNA-1	0.23787660247118	56.4812	0.360
snap_masked-CR380953-processed-gene-5.30-mRNA-1	0.221623099372501	51.3619	0.259
snap_masked-CR380954-processed-gene-5.120-mRNA-1	0.225442556649279	54.6142	0.315
snap_masked-CR380953-processed-gene-8.47-mRNA-1	0.357640510259284	46.2571	0.423
snap_masked-CR380959-processed-gene-6.51-mRNA-1	0.245952097772556	53.8263	0.361
snap_masked-CR380954-processed-gene-7.138-mRNA-1	0.238950605416124	52.4966	0.324
augustus_masked-CR380952-processed-gene-4.52-mRNA-1	0.253848549430207	56.8048	0.400
snap_masked-CR380954-processed-gene-8.7-mRNA-1	0.354354050606595	44.6818	0.617
snap_masked-CR380955-processed-gene-4.101-mRNA-1	0.245933966924222	49.7220	0.281
snap_masked-CR380959-processed-gene-2.31-mRNA-1	0.239277179657926	53.9702	0.537
snap_masked-CR380958-processed-gene-7.88-mRNA-1	0.236058784230507	53.3267	0.316
snap_masked-CR380952-processed-gene-1.36-mRNA-1	0.270967267479112	50.1736	0.691
snap_masked-CR380950-processed-gene-1.117-mRNA-1	0.221666520210214	54.3080	0.420
snap_masked-CR380955-processed-gene-8.43-mRNA-1	0.217998744348284	53.7176	0.303
snap_masked-CR380953-processed-gene-6.86-mRNA-1	0.247022401230854	53.3076	0.307
snap_masked-CR380950-processed-gene-5.30-mRNA-1	0.339749365205048	55.9769	0.423
snap_masked-CR380959-processed-gene-8.19-mRNA-1	0.267418625383883	55.8043	0.489
snap_masked-CR380951-processed-gene-3.80-mRNA-1	0.259433426046479	56.8132	0.361
augustus_masked-CR380954-processed-gene-5.67-mRNA-1	0.221710932913351	53.3966	0.301
snap_masked-CR380959-processed-gene-8.37-mRNA-1	0.256576197759061	57.7656	0.400
snap_masked-CR380954-processed-gene-1.31-mRNA-1	0.241496485701123	52.2656	0.290
augustus_masked-CR380953-processed-gene-8.164-mRNA-1	0.237348524739857	55.2272	0.321
snap_masked-CR380958-processed-gene-5.7-mRNA-1	0.220825221448903	54.8538	0.385
augustus_masked-CR380958-processed-gene-1.99-mRNA-1	0.257622118850612	55.9338	0.437
snap_masked-CR380955-processed-gene-6.10-mRNA-1	0.2247884720913	56.4763	0.333
snap_masked-CR380958-processed-gene-13.140-mRNA-1	0.411364643845029	45.2816	0.526
snap_masked-CR380959-processed-gene-0.29-mRNA-1	0.254375055137319	56.4677	0.435
snap_masked-CR380957-processed-gene-7.100-mRNA-1	0.360544883060386	43.9280	0.507
snap_masked-CR380948-processed-gene-1.98-mRNA-1	0.239853684692214	54.2108	0.306
snap_masked-CR380958-processed-gene-12.21-mRNA-1	0.447545455573685	35.4831	0.474
snap_masked-CR380955-processed-gene-3.31-mRNA-1	0.274952093828777	43.7047	0.255
snap_masked-CR380958-processed-gene-6.78-mRNA-1	0.237275657403225	52.0980	0.281
snap_masked-CR380956-processed-gene-4.27-mRNA-1	0.265383524968579	53.9654	0.326
snap_masked-CR380957-processed-gene-1.39-mRNA-1	0.277583493218937	56.2125	0.394
snap_masked-CR380948-processed-gene-2.23-mRNA-1	0.233788632631254	56.3966	0.353
augustus_masked-CR380956-processed-gene-8.105-mRNA-1	0.255234876279283	52.3952	0.280
augustus_masked-CR380950-processed-gene-4.71-mRNA-1	0.311559144795559	51.4584	0.665
snap_masked-CR380953-processed-gene-3.105-mRNA-1	0.402569493510713	43.4170	0.473
snap_masked-CR380954-processed-gene-5.105-mRNA-1	0.246493685504598	54.5428	0.316
maker-CR380952-snap-gene-7.123-mRNA-1	0.463102305323838	32.5521	0.484
snap_masked-CR380956-processed-gene-7.11-mRNA-1	0.28771559420549	49.7187	0.702
snap_masked-CR380948-processed-gene-0.95-mRNA-1	0.220288867611203	54.8199	0.320
snap_masked-CR380958-processed-gene-1.26-mRNA-1	0.30079383919089	55.2678	0.504
snap_masked-CR380956-processed-gene-5.99-mRNA-1	0.235850475679999	53.5257	0.304
snap_masked-CR380958-processed-gene-9.26-mRNA-1	0.232045065324342	50.2129	0.239
snap_masked-CR380951-processed-gene-3.91-mRNA-1	0.355166828173518	43.8780	0.387
augustus_masked-CR380956-processed-gene-3.15-mRNA-1	0.258785423785633	54.8686	0.438
snap_masked-CR380948-processed-gene-2.6-mRNA-1	0.242212238173097	56.9943	0.363
snap_masked-CR380959-processed-gene-3.112-mRNA-1	0.247997613063156	54.5587	0.306
snap_masked-CR380955-processed-gene-5.91-mRNA-1	0.280291896212909	52.6968	0.408
snap_masked-CR380949-processed-gene-3.0-mRNA-1	0.250158663645285	58.1025	0.403
snap_masked-CR380954-processed-gene-5.101-mRNA-1	0.283188225313245	53.5787	0.325
snap_masked-CR380948-processed-gene-4.14-mRNA-1	0.283182989971275	55.2566	0.557
snap_masked-CR380955-processed-gene-8.24-mRNA-1	0.249949543001211	55.1865	0.341
snap_masked-CR380951-processed-gene-5.152-mRNA-1	0.27858167637007	51.0550	0.324
snap_masked-CR380957-processed-gene-11.94-mRNA-1	0.219032649300077	54.7964	0.344
snap_masked-CR380955-processed-gene-9.100-mRNA-1	0.300377536750765	53.7725	0.603
augustus_masked-CR380955-processed-gene-8.111-mRNA-1	0.273636460169412	50.2564	0.576
snap_masked-CR380953-processed-gene-0.29-mRNA-1	0.271617486637969	50.2019	0.290
snap_masked-CR380954-processed-gene-9.136-mRNA-1	0.258200162188661	57.4348	0.415
augustus_masked-CR380958-processed-gene-7.64-mRNA-1	0.22669873988701	53.6206	0.297
snap_masked-CR380954-processed-gene-4.123-mRNA-1	0.237468084722605	52.6576	0.274
genemark-CR380949-processed-gene-4.61-mRNA-1	0.398910576001232	40.4515	0.629
