Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                   SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------------------------------
snap_masked-NODE_104_length_451_cov_14.8268_ID_7944-processed-gene-0.1-mRNA-1                354        9        3        7   50.5665   48.2321
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.65-mRNA-1            1791       11        3        7   51.8680   52.2739
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.66-mRNA-1            1782       11        3        7   48.9265   50.7685
genemark-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.4-mRNA-1                 480       11        3        7   49.3959   50.0001
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.67-mRNA-1            1110       11        3        7   50.4949   53.1441
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.68-mRNA-1            1689       11        3        7   48.0131   51.3561
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.69-mRNA-1             972       11        3        7   48.5268   53.1923
maker-NODE_10_length_307641_cov_16.6427_ID_3803-snap-gene-0.86-mRNA-1                       1188       11        3        7   54.9094   58.2602
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.71-mRNA-1            1698       11        3        7   53.1609   54.2519
maker-NODE_10_length_307641_cov_16.6427_ID_3803-snap-gene-0.87-mRNA-1                       2115       11        3        7   49.2661   52.5065
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.74-mRNA-1             858       11        3        7   39.5353   59.5560
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.75-mRNA-1            1056       11        3        7   57.3954   61.9414
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.47-mRNA-1             609       10        3        7   54.5747   61.5117
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.48-mRNA-1            2700       11        3        7   47.1625   56.4216
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.49-mRNA-1             399       10        3        7   53.6423   53.0888
genemark-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.36-mRNA-1               1551       11        3        7   51.4086   55.9482
genemark-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.8-mRNA-1                1920       11        3        7   50.4811   58.2788
augustus_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.114-mRNA-1       3810       11        3        7   50.2212   53.1161
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.51-mRNA-1            2379       11        3        7   56.3479   57.5686
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.52-mRNA-1             384       11        3        7   54.2356   59.1186
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.53-mRNA-1            2496       11        3        7   53.6386   56.2813
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.78-mRNA-1            1023       11        3        6   38.7757   49.9455
genemark-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.40-mRNA-1               1617       11        3        7   51.4495   55.1314
augustus_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.96-mRNA-1        4725       11        3        7   52.3817   54.4062
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.80-mRNA-1            1398       11        3        7   53.3300   58.5414
genemark-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.42-mRNA-1                444       11        3        6   53.3838   57.1657
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.57-mRNA-1            1494       11        3        7   54.9538   61.0653
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.58-mRNA-1             846       11        3        7   50.3653   62.7567
snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.81-mRNA-1             774       11        3        7   54.8545   59.0900
augustus_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.99-mRNA-1        1752       11        3        7   53.0879   59.7632
