gene_id	tAI	nc	gc3
genemark-NW_003101577.1-processed-gene-19.15-mRNA-1	0.330549024942509	51.9781	0.668
genemark-NW_003101574.1-processed-gene-13.148-mRNA-1	0.299074070897677	54.8417	0.379
genemark-NW_003101575.1-processed-gene-9.82-mRNA-1	0.29174982326826	56.3979	0.396
genemark-NW_003101575.1-processed-gene-13.121-mRNA-1	0.281512022223986	51.4731	0.446
genemark-NW_003101573.1-processed-gene-4.80-mRNA-1	0.343849862493704	54.9908	0.589
genemark-NW_003101577.1-processed-gene-1.53-mRNA-1	0.468820652440826	43.8048	0.530
genemark-NW_003101578.1-processed-gene-5.98-mRNA-1	0.374619044252475	53.1946	0.545
genemark-NW_003101575.1-processed-gene-6.43-mRNA-1	0.313760142355783	56.1812	0.562
genemark-NW_003101574.1-processed-gene-6.27-mRNA-1	0.329208481102568	52.9176	0.607
genemark-NW_003101575.1-processed-gene-10.67-mRNA-1	0.349915074514221	56.1662	0.454
genemark-NW_003101578.1-processed-gene-4.45-mRNA-1	0.340392850941234	50.1311	0.632
genemark-NW_003101578.1-processed-gene-3.78-mRNA-1	0.440013330722872	41.4054	0.532
snap_masked-NW_003101577.1-processed-gene-9.10-mRNA-1	0.285304706571149	57.8722	0.401
genemark-NW_003101578.1-processed-gene-9.40-mRNA-1	0.361680173960963	54.4861	0.502
genemark-NW_003101578.1-processed-gene-1.71-mRNA-1	0.287582497427235	57.1203	0.442
genemark-NW_003101577.1-processed-gene-1.52-mRNA-1	0.295120162794607	53.8088	0.490
augustus_masked-NW_003101578.1-processed-gene-0.30-mRNA-1	0.310387676787307	56.1759	0.465
genemark-NW_003101575.1-processed-gene-5.101-mRNA-1	0.38172882690311	49.4472	0.729
snap_masked-NW_003101576.1-processed-gene-9.12-mRNA-1	0.274335479931137	54.3185	0.418
genemark-NW_003101575.1-processed-gene-1.65-mRNA-1	0.407156465673776	45.4194	0.740
snap_masked-NW_003101577.1-processed-gene-6.135-mRNA-1	0.280944595155477	54.4502	0.343
genemark-NW_003101577.1-processed-gene-20.82-mRNA-1	0.413782748746102	50.7093	0.694
genemark-NW_003101575.1-processed-gene-8.43-mRNA-1	0.342969721003917	48.3618	0.391
genemark-NW_003101575.1-processed-gene-11.56-mRNA-1	0.277971717612807	57.1660	0.376
maker-NW_003101576.1-snap-gene-16.129-mRNA-1	0.287550990733139	55.4812	0.450
genemark-NW_003101577.1-processed-gene-9.91-mRNA-1	0.296924605274655	55.4448	0.456
genemark-NW_003101578.1-processed-gene-17.59-mRNA-1	0.288123701835356	55.8607	0.475
genemark-NW_003101575.1-processed-gene-11.53-mRNA-1	0.341421467005794	55.1511	0.562
snap_masked-NW_003101578.1-processed-gene-20.36-mRNA-1	0.282036719391058	58.2783	0.389
genemark-NW_003101575.1-processed-gene-2.106-mRNA-1	0.353933908399723	49.5715	0.353
genemark-NW_003101578.1-processed-gene-0.65-mRNA-1	0.285466432028851	57.0901	0.412
augustus_masked-NW_003101577.1-processed-gene-1.4-mRNA-1	0.308170453242046	56.1516	0.565
genemark-NW_003101578.1-processed-gene-1.52-mRNA-1	0.32301398138154	55.0518	0.439
genemark-NW_003101578.1-processed-gene-15.88-mRNA-1	0.282230113971182	56.5294	0.517
genemark-NW_003101575.1-processed-gene-16.90-mRNA-1	0.401905755819007	45.8380	0.486
genemark-NW_003101573.1-processed-gene-3.40-mRNA-1	0.276353010010799	59.7828	0.430
maker-NW_003101578.1-snap-gene-22.2-mRNA-1	0.326767185022831	56.3592	0.473
genemark-NW_003101576.1-processed-gene-11.57-mRNA-1	0.418991662896634	50.9012	0.646
snap_masked-NW_003101571.1-processed-gene-4.121-mRNA-1	0.31239136150966	55.3980	0.551
snap_masked-NW_003101574.1-processed-gene-12.114-mRNA-1	0.301319245477457	57.1549	0.628
genemark-NW_003101571.1-processed-gene-4.69-mRNA-1	0.399211491550712	46.8128	0.626
genemark-NW_003101578.1-processed-gene-12.65-mRNA-1	0.327715818844991	42.6989	0.883
augustus_masked-NW_003101577.1-processed-gene-4.55-mRNA-1	0.377361951705917	53.3158	0.576
genemark-NW_003101575.1-processed-gene-8.40-mRNA-1	0.289015589073138	56.0981	0.422
genemark-NW_003101573.1-processed-gene-5.72-mRNA-1	0.294679148645575	57.7715	0.484
genemark-NW_003101577.1-processed-gene-9.78-mRNA-1	0.381233264235048	45.3702	0.438
genemark-NW_003101576.1-processed-gene-8.5-mRNA-1	0.358603001517834	53.8575	0.588
genemark-NW_003101578.1-processed-gene-10.22-mRNA-1	0.314019013100321	56.6059	0.475
genemark-NW_003101576.1-processed-gene-10.69-mRNA-1	0.585111742313351	40.7752	0.618
genemark-NW_003101578.1-processed-gene-7.133-mRNA-1	0.284024748595394	57.2538	0.467
genemark-NW_003101574.1-processed-gene-12.83-mRNA-1	0.274230843457386	53.7674	0.474
snap_masked-NW_003101577.1-processed-gene-6.142-mRNA-1	0.28630822832881	54.7014	0.386
genemark-NW_003101575.1-processed-gene-16.109-mRNA-1	0.295443891832427	55.5406	0.500
genemark-NW_003101577.1-processed-gene-18.63-mRNA-1	0.413470655665065	43.0781	0.832
genemark-NW_003101577.1-processed-gene-4.12-mRNA-1	0.357222796395159	53.3917	0.426
augustus_masked-NW_003101574.1-processed-gene-13.170-mRNA-1	0.282924262318138	56.9422	0.455
genemark-NW_003101578.1-processed-gene-20.64-mRNA-1	0.283564604806925	57.7185	0.443
genemark-NW_003101574.1-processed-gene-4.37-mRNA-1	0.311539008371843	55.4773	0.642
