gene_id	tAI	nc	gc3
snap_masked-flattened_line_2-processed-gene-4.83-mRNA-1	0.354480811013795	53.1306	0.319
augustus_masked-flattened_line_42-processed-gene-0.55-mRNA-1	0.379462126669164	47.8081	0.214
genemark-flattened_line_0-processed-gene-9.32-mRNA-1	0.448538051773456	44.7706	0.233
genemark-flattened_line_1-processed-gene-2.83-mRNA-1	0.40024747993879	49.9164	0.267
genemark-flattened_line_80-processed-gene-0.124-mRNA-1	0.412958247912069	47.1782	0.237
snap_masked-flattened_line_30-processed-gene-1.54-mRNA-1	0.35242338261995	53.5965	0.278
genemark-flattened_line_2-processed-gene-2.63-mRNA-1	0.446554092275824	39.5473	0.217
snap_masked-flattened_line_56-processed-gene-0.123-mRNA-1	0.401317795717814	50.8084	0.198
genemark-flattened_line_68-processed-gene-0.82-mRNA-1	0.480509113980758	40.5246	0.248
genemark-flattened_line_1-processed-gene-5.142-mRNA-1	0.456450747840774	40.0131	0.193
genemark-flattened_line_58-processed-gene-0.174-mRNA-1	0.451032442208857	45.0066	0.210
maker-flattened_line_12-augustus-gene-2.216-mRNA-1	0.396815556116599	50.6710	0.287
maker-flattened_line_66-snap-gene-0.3-mRNA-1	0.429714022867974	44.2287	0.220
genemark-flattened_line_64-processed-gene-0.215-mRNA-1	0.400273869603	47.3636	0.225
genemark-flattened_line_80-processed-gene-0.140-mRNA-1	0.386452155095021	54.6800	0.330
maker-flattened_line_30-snap-gene-1.12-mRNA-1	0.423325148099658	45.4732	0.232
genemark-flattened_line_6-processed-gene-2.142-mRNA-1	0.37042589979274	52.7370	0.305
genemark-flattened_line_0-processed-gene-9.29-mRNA-1	0.402160611430912	51.6790	0.286
genemark-flattened_line_34-processed-gene-1.104-mRNA-1	0.499755433803328	39.1557	0.269
genemark-flattened_line_4-processed-gene-3.108-mRNA-1	0.416648948543798	45.7509	0.247
augustus_masked-flattened_line_0-processed-gene-11.3-mRNA-1	0.421616397933385	46.3171	0.200
genemark-flattened_line_72-processed-gene-0.86-mRNA-1	0.384619807102356	45.2518	0.164
augustus_masked-flattened_line_64-processed-gene-0.41-mRNA-1	0.442842480433099	47.8940	0.213
snap_masked-flattened_line_48-processed-gene-0.143-mRNA-1	0.3957676759196	44.8103	0.182
genemark-flattened_line_18-processed-gene-1.257-mRNA-1	0.422553694408057	48.5021	0.260
genemark-flattened_line_24-processed-gene-0.77-mRNA-1	0.38055729977111	50.3102	0.248
snap_masked-flattened_line_92-processed-gene-0.59-mRNA-1	0.388947061023429	44.7226	0.160
augustus_masked-flattened_line_126-processed-gene-0.20-mRNA-1	0.339886902042256	50.6057	0.245
genemark-flattened_line_14-processed-gene-0.33-mRNA-1	0.379279743521912	50.2221	0.271
genemark-flattened_line_44-processed-gene-0.19-mRNA-1	0.383177096730079	52.2813	0.308
genemark-flattened_line_12-processed-gene-1.90-mRNA-1	0.464003365808188	43.5548	0.227
genemark-flattened_line_4-processed-gene-2.30-mRNA-1	0.429092903180928	45.1266	0.189
augustus_masked-flattened_line_26-processed-gene-0.108-mRNA-1	0.404560803283728	50.8085	0.308
genemark-flattened_line_58-processed-gene-0.134-mRNA-1	0.417120147562038	45.7012	0.252
augustus_masked-flattened_line_151-processed-gene-0.0-mRNA-1	0.433136649448072	43.3510	0.188
genemark-flattened_line_42-processed-gene-0.181-mRNA-1	0.435951364646945	45.1613	0.163
genemark-flattened_line_0-processed-gene-1.91-mRNA-1	0.454978843351351	43.0096	0.265
genemark-flattened_line_50-processed-gene-0.264-mRNA-1	0.464180777177893	38.7912	0.205
genemark-flattened_line_64-processed-gene-0.183-mRNA-1	0.374876469340241	48.4975	0.212
genemark-flattened_line_6-processed-gene-2.105-mRNA-1	0.439329921420364	50.7459	0.386
augustus_masked-flattened_line_56-processed-gene-0.20-mRNA-1	0.405496589155717	47.8058	0.289
genemark-flattened_line_38-processed-gene-1.85-mRNA-1	0.437140630672256	38.9270	0.134
snap_masked-flattened_line_38-processed-gene-0.14-mRNA-1	0.377610068675403	50.4870	0.260
genemark-flattened_line_68-processed-gene-0.142-mRNA-1	0.405001095876018	48.9697	0.254
snap_masked-flattened_line_22-processed-gene-1.159-mRNA-1	0.37787762118144	48.8751	0.243
genemark-flattened_line_0-processed-gene-11.221-mRNA-1	0.435858470755507	41.7431	0.188
genemark-flattened_line_128-processed-gene-0.32-mRNA-1	0.421206994569249	47.4080	0.189
