gene_id	tAI	nc	gc3
augustus_masked-NODE_1386_length_3421_cov_2.55615_ID_2771-processed-gene-0.0-mRNA-1	0.353173474628696	55.4907	0.498
maker-NODE_902_length_4331_cov_3.8253_ID_1803-augustus-gene-0.7-mRNA-1	0.368939443236362	51.7515	0.379
augustus_masked-NODE_97_length_9087_cov_3.56244_ID_193-processed-gene-0.2-mRNA-1	0.382946311292858	46.7429	0.473
snap_masked-NODE_2057_length_2638_cov_2.1266_ID_4113-processed-gene-0.3-mRNA-1	0.328982491438564	55.7105	0.570
augustus_masked-NODE_1825_length_2866_cov_3.2138_ID_3649-processed-gene-0.2-mRNA-1	0.362565229089446	55.4519	0.350
augustus_masked-NODE_138_length_8231_cov_3.62867_ID_275-processed-gene-0.12-mRNA-1	0.33397283712937	55.6654	0.419
augustus_masked-NODE_3845_length_1421_cov_2.71157_ID_7689-processed-gene-0.0-mRNA-1	0.351487705859046	54.8193	0.495
augustus_masked-NODE_63_length_9918_cov_3.47653_ID_125-processed-gene-0.9-mRNA-1	0.346680566408114	51.6856	0.513
augustus_masked-NODE_6197_length_466_cov_1.3455_ID_12393-processed-gene-0.1-mRNA-1	0.381274253795181	46.6274	0.303
genemark-NODE_1637_length_3057_cov_2.98901_ID_3273-processed-gene-0.7-mRNA-1	0.402526349352058	46.8959	0.384
snap_masked-NODE_2554_length_2198_cov_2.09566_ID_5107-processed-gene-0.4-mRNA-1	0.37002513949065	52.0881	0.427
augustus_masked-NODE_584_length_5087_cov_3.28617_ID_1167-processed-gene-0.7-mRNA-1	0.375516650635602	51.7088	0.329
augustus_masked-NODE_266_length_6822_cov_3.56332_ID_531-processed-gene-0.6-mRNA-1	0.336247117980203	55.3603	0.379
augustus_masked-NODE_225_length_7193_cov_3.30709_ID_449-processed-gene-0.7-mRNA-1	0.430283757489463	41.1209	0.609
augustus_masked-NODE_1990_length_2683_cov_3.65639_ID_3979-processed-gene-0.2-mRNA-1	0.357398163421072	57.3394	0.440
augustus_masked-NODE_3188_length_1775_cov_3.20872_ID_6375-processed-gene-0.0-mRNA-1	0.447552040729496	37.1546	0.508
augustus_masked-NODE_5154_length_863_cov_2.21658_ID_10307-processed-gene-0.0-mRNA-1	0.343607815960042	56.7587	0.411
augustus_masked-NODE_602_length_5037_cov_3.98173_ID_1203-processed-gene-0.12-mRNA-1	0.359992541925441	54.5688	0.510
augustus_masked-NODE_2525_length_2215_cov_3.83426_ID_5049-processed-gene-0.1-mRNA-1	0.364931983963202	56.6430	0.464
snap_masked-NODE_247_length_6976_cov_4.07109_ID_493-processed-gene-0.2-mRNA-1	0.352535013762644	56.9680	0.417
augustus_masked-NODE_2316_length_2385_cov_2.95322_ID_4631-processed-gene-0.0-mRNA-1	0.432911740681941	40.6965	0.568
augustus_masked-NODE_1272_length_3588_cov_2.99038_ID_2543-processed-gene-0.2-mRNA-1	0.353425390817126	52.7364	0.460
maker-NODE_429_length_5759_cov_2.7344_ID_857-snap-gene-0.5-mRNA-1	0.334886282973534	54.5987	0.390
augustus_masked-NODE_4535_length_1111_cov_3.20833_ID_9069-processed-gene-0.2-mRNA-1	0.345521105443623	53.3753	0.277
augustus_masked-NODE_1788_length_2904_cov_2.58512_ID_3575-processed-gene-0.3-mRNA-1	0.342298288709951	55.6035	0.461
augustus_masked-NODE_3588_length_1540_cov_4.31246_ID_7175-processed-gene-0.0-mRNA-1	0.322332867452689	55.7023	0.411
augustus_masked-NODE_149_length_8127_cov_2.85121_ID_297-processed-gene-0.4-mRNA-1	0.343625531077234	57.2023	0.425
snap_masked-NODE_1372_length_3439_cov_2.94563_ID_2743-processed-gene-0.0-mRNA-1	0.329920933100227	56.6596	0.458
