gene_id	tAI	nc	gc3
augustus_masked-NC_027864.1-processed-gene-8.65-mRNA-1	0.436147165988588	51.6485	0.626
snap_masked-NC_027865.1-processed-gene-3.106-mRNA-1	0.364052200838507	54.3001	0.450
augustus_masked-NC_027862.1-processed-gene-12.100-mRNA-1	0.404061338474999	58.0665	0.538
augustus_masked-NC_027866.1-processed-gene-7.80-mRNA-1	0.400049431237595	56.0855	0.510
snap_masked-NC_027860.1-processed-gene-14.76-mRNA-1	0.402223012159005	58.2859	0.487
maker-NC_027865.1-snap-gene-4.65-mRNA-1	0.388989139232029	55.8441	0.598
augustus_masked-NC_027865.1-processed-gene-5.120-mRNA-1	0.418872305490127	51.2687	0.710
augustus_masked-NC_027860.1-processed-gene-10.25-mRNA-1	0.367766958966706	55.1416	0.407
augustus_masked-NC_027864.1-processed-gene-5.141-mRNA-1	0.400788543411632	54.9100	0.594
augustus_masked-NC_027860.1-processed-gene-6.100-mRNA-1	0.430647884911049	49.2040	0.672
augustus_masked-NC_027865.1-processed-gene-4.154-mRNA-1	0.461192851774579	52.2419	0.635
augustus_masked-NC_027863.1-processed-gene-1.118-mRNA-1	0.365708468644906	56.9326	0.469
augustus_masked-NC_027864.1-processed-gene-11.106-mRNA-1	0.444357793907891	51.1849	0.660
augustus_masked-NC_027866.1-processed-gene-2.140-mRNA-1	0.474494416525532	50.3620	0.740
augustus_masked-NC_027865.1-processed-gene-2.167-mRNA-1	0.399561026994283	52.8555	0.644
augustus_masked-NC_027862.1-processed-gene-0.80-mRNA-1	0.533667750660527	46.7323	0.598
augustus_masked-NC_027862.1-processed-gene-10.141-mRNA-1	0.418292858890732	55.4813	0.553
augustus_masked-NC_027861.1-processed-gene-5.126-mRNA-1	0.389514008548464	57.6016	0.463
augustus_masked-NC_027864.1-processed-gene-7.118-mRNA-1	0.418505316263159	53.3799	0.610
augustus_masked-NC_027862.1-processed-gene-1.171-mRNA-1	0.436480928621365	48.8761	0.691
snap_masked-NC_027860.1-processed-gene-6.4-mRNA-1	0.355814874861366	56.8342	0.393
augustus_masked-NC_027865.1-processed-gene-1.59-mRNA-1	0.429862665864707	54.7189	0.632
augustus_masked-NC_027860.1-processed-gene-6.109-mRNA-1	0.405601264940811	50.2282	0.718
augustus_masked-NC_027861.1-processed-gene-6.92-mRNA-1	0.413957642276096	53.1686	0.643
augustus_masked-NC_027866.1-processed-gene-5.108-mRNA-1	0.400544604949661	55.5128	0.597
genemark-NC_027866.1-processed-gene-1.32-mRNA-1	0.431035823346391	51.3939	0.689
augustus_masked-NC_027861.1-processed-gene-13.155-mRNA-1	0.336810454402454	56.6488	0.418
augustus_masked-NC_027864.1-processed-gene-10.29-mRNA-1	0.435199450284468	47.7084	0.741
genemark-NC_027860.1-processed-gene-1.49-mRNA-1	0.365649954995542	59.3989	0.536
augustus_masked-NC_027862.1-processed-gene-0.72-mRNA-1	0.461986671527332	53.0744	0.674
genemark-NC_027860.1-processed-gene-7.75-mRNA-1	0.461143347966176	47.4582	0.631
augustus_masked-NC_027862.1-processed-gene-0.105-mRNA-1	0.45886705501664	46.9193	0.747
augustus_masked-NC_027864.1-processed-gene-3.154-mRNA-1	0.470370889904191	45.1176	0.670
snap_masked-NC_027863.1-processed-gene-1.20-mRNA-1	0.353151022908628	57.0804	0.526
augustus_masked-NC_027864.1-processed-gene-7.135-mRNA-1	0.397698211985331	54.2588	0.590
augustus_masked-NC_027863.1-processed-gene-9.63-mRNA-1	0.420328185056379	55.0654	0.547
augustus_masked-NC_027860.1-processed-gene-4.86-mRNA-1	0.37726486359629	57.9139	0.457
augustus_masked-NC_027860.1-processed-gene-13.13-mRNA-1	0.387451461096652	58.0118	0.579
augustus_masked-NC_027865.1-processed-gene-7.72-mRNA-1	0.400129432920396	57.0317	0.610
augustus_masked-NC_027863.1-processed-gene-3.74-mRNA-1	0.424737335697477	45.1173	0.799
augustus_masked-NC_027863.1-processed-gene-5.76-mRNA-1	0.448125027695763	52.4079	0.694
augustus_masked-NC_027862.1-processed-gene-5.113-mRNA-1	0.375242463080082	53.9821	0.413
augustus_masked-NC_027862.1-processed-gene-11.142-mRNA-1	0.400909164391823	48.8085	0.758
augustus_masked-NC_027860.1-processed-gene-10.32-mRNA-1	0.397678621941174	57.1723	0.456
augustus_masked-NC_027863.1-processed-gene-2.75-mRNA-1	0.403020317117578	54.4011	0.602
augustus_masked-NC_027862.1-processed-gene-7.43-mRNA-1	0.356647405502345	58.3002	0.475
augustus_masked-NC_027860.1-processed-gene-14.24-mRNA-1	0.374574750592652	59.3537	0.444
snap_masked-NC_027860.1-processed-gene-8.153-mRNA-1	0.332389336120222	54.5232	0.547
snap_masked-NC_027860.1-processed-gene-12.106-mRNA-1	0.384567423994717	57.7966	0.442
augustus_masked-NC_027861.1-processed-gene-0.20-mRNA-1	0.38724117591008	58.9626	0.471
augustus_masked-NC_027864.1-processed-gene-0.73-mRNA-1	0.393921486238752	55.6770	0.519
snap_masked-NC_027866.1-processed-gene-6.121-mRNA-1	0.416704103265575	52.6350	0.635
augustus_masked-NC_027864.1-processed-gene-2.159-mRNA-1	0.410502231253032	52.6469	0.610
augustus_masked-NC_027866.1-processed-gene-4.159-mRNA-1	0.39326047282585	58.3151	0.513
augustus_masked-NC_027863.1-processed-gene-11.186-mRNA-1	0.363932369380922	56.3222	0.489
augustus_masked-NC_027861.1-processed-gene-5.115-mRNA-1	0.393806570966567	54.4611	0.478
augustus_masked-NC_027863.1-processed-gene-4.70-mRNA-1	0.343822792511326	55.9786	0.402
augustus_masked-NC_027863.1-processed-gene-11.153-mRNA-1	0.4151544206444	56.1242	0.561
augustus_masked-NC_027861.1-processed-gene-14.13-mRNA-1	0.476171331776416	49.7672	0.724
augustus_masked-NC_027864.1-processed-gene-9.68-mRNA-1	0.356036990301562	58.1511	0.398
augustus_masked-NC_027862.1-processed-gene-10.172-mRNA-1	0.455352285481123	48.9437	0.712
augustus_masked-NC_027864.1-processed-gene-7.128-mRNA-1	0.390243158082905	57.6774	0.496
