gene_id	tAI	nc	gc3
snap_masked-flattened_line_80-processed-gene-0.53-mRNA-1	0.302333284236076	48.2680	0.212
augustus_masked-flattened_line_2-processed-gene-1.74-mRNA-1	0.335307586471733	45.1829	0.180
snap_masked-flattened_line_32-processed-gene-0.125-mRNA-1	0.340209393072128	44.5623	0.185
augustus_masked-flattened_line_2-processed-gene-0.68-mRNA-1	0.368930022430991	42.1913	0.164
augustus_masked-flattened_line_8-processed-gene-0.56-mRNA-1	0.411811638843874	39.5472	0.136
augustus_masked-flattened_line_82-processed-gene-0.54-mRNA-1	0.377858929663748	41.6937	0.162
augustus_masked-flattened_line_34-processed-gene-0.111-mRNA-1	0.289244849159401	47.3353	0.177
snap_masked-flattened_line_120-processed-gene-0.46-mRNA-1	0.320323516348542	44.7407	0.207
snap_masked-flattened_line_48-processed-gene-0.129-mRNA-1	0.298170699295016	50.1181	0.243
snap_masked-flattened_line_98-processed-gene-0.30-mRNA-1	0.311135121704354	47.6279	0.214
augustus_masked-flattened_line_82-processed-gene-0.61-mRNA-1	0.373135653407685	39.8606	0.107
augustus_masked-flattened_line_6-processed-gene-2.34-mRNA-1	0.34845440631989	42.9749	0.180
genemark-flattened_line_0-processed-gene-4.3-mRNA-1	0.334882767129965	49.9365	0.238
maker-flattened_line_80-augustus-gene-0.1-mRNA-1	0.32840495823734	46.2591	0.210
augustus_masked-flattened_line_70-processed-gene-0.110-mRNA-1	0.414199288192092	44.8179	0.224
augustus_masked-flattened_line_12-processed-gene-2.94-mRNA-1	0.383500373875247	44.9948	0.105
snap_masked-flattened_line_0-processed-gene-0.11-mRNA-1	0.321692368007982	49.3604	0.202
augustus_masked-flattened_line_48-processed-gene-0.15-mRNA-1	0.374607063940765	48.6281	0.412
snap_masked-flattened_line_10-processed-gene-2.90-mRNA-1	0.328694521687385	44.7300	0.188
snap_masked-flattened_line_14-processed-gene-0.6-mRNA-1	0.36802076821779	46.8541	0.211
augustus_masked-flattened_line_2-processed-gene-4.192-mRNA-1	0.330021182053654	44.6923	0.168
augustus_masked-flattened_line_8-processed-gene-0.52-mRNA-1	0.356859769468223	41.7312	0.120
augustus_masked-flattened_line_76-processed-gene-0.70-mRNA-1	0.278116422883858	46.2122	0.174
augustus_masked-flattened_line_68-processed-gene-0.39-mRNA-1	0.367887867860504	41.9800	0.158
augustus_masked-flattened_line_64-processed-gene-0.16-mRNA-1	0.303677286238539	46.4989	0.198
augustus_masked-flattened_line_80-processed-gene-0.85-mRNA-1	0.364033185842027	40.9411	0.157
augustus_masked-flattened_line_0-processed-gene-4.59-mRNA-1	0.306902739109312	47.0357	0.233
augustus_masked-flattened_line_36-processed-gene-0.29-mRNA-1	0.341762701628635	43.7295	0.189
augustus_masked-flattened_line_64-processed-gene-0.41-mRNA-1	0.460262325181797	39.4881	0.243
augustus_masked-flattened_line_34-processed-gene-0.131-mRNA-1	0.322147182378905	49.5342	0.207
augustus_masked-flattened_line_68-processed-gene-0.13-mRNA-1	0.354325330115469	39.6834	0.146
augustus_masked-flattened_line_66-processed-gene-0.6-mRNA-1	0.337193559638764	45.1692	0.177
augustus_masked-flattened_line_0-processed-gene-5.34-mRNA-1	0.368898658897934	42.1635	0.198
snap_masked-flattened_line_2-processed-gene-4.132-mRNA-1	0.35225032088981	44.6223	0.142
augustus_masked-flattened_line_12-processed-gene-0.105-mRNA-1	0.367329980559998	37.8319	0.137
augustus_masked-flattened_line_104-processed-gene-0.3-mRNA-1	0.328691273779545	47.3741	0.219
augustus_masked-flattened_line_48-processed-gene-0.55-mRNA-1	0.33198046931348	49.6671	0.227
augustus_masked-flattened_line_28-processed-gene-1.71-mRNA-1	0.365402389408478	48.7095	0.194
snap_masked-flattened_line_134-processed-gene-0.17-mRNA-1	0.340778964859748	43.0928	0.162
augustus_masked-flattened_line_16-processed-gene-2.146-mRNA-1	0.384163323376256	41.9154	0.182
augustus_masked-flattened_line_4-processed-gene-0.73-mRNA-1	0.451766545717053	36.5532	0.204
augustus_masked-flattened_line_22-processed-gene-1.120-mRNA-1	0.349742288048598	45.6127	0.168
snap_masked-flattened_line_44-processed-gene-0.93-mRNA-1	0.383891889740772	40.7131	0.163
augustus_masked-flattened_line_150-processed-gene-0.9-mRNA-1	0.337940262986566	42.0833	0.127
genemark-flattened_line_14-processed-gene-2.139-mRNA-1	0.372866287456802	47.0829	0.187
snap_masked-flattened_line_78-processed-gene-0.50-mRNA-1	0.335410586394772	49.5855	0.212
