gene_id	tAI	nc	gc3
augustus_masked-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-1.40-mRNA-1	0.456303920027151	49.9650	0.322
augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-0.59-mRNA-1	0.478479151779023	46.8719	0.271
snap_masked-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-1.21-mRNA-1	0.505031744907417	45.8321	0.246
genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-0.23-mRNA-1	0.476034068513994	44.8877	0.294
augustus_masked-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-1.128-mRNA-1	0.515186883885203	45.9574	0.284
snap_masked-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.89-mRNA-1	0.406337950155649	55.6748	0.424
augustus_masked-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-4.7-mRNA-1	0.503521344287539	41.2176	0.403
genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.58-mRNA-1	0.498547295936475	45.2923	0.318
genemark-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-3.1-mRNA-1	0.464706037459828	43.6214	0.288
genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-10.28-mRNA-1	0.571633776595951	45.2404	0.362
genemark-gi|1002318527|dbj|BCIP01000034.1|-processed-gene-1.42-mRNA-1	0.458323047478696	48.1057	0.312
augustus_masked-gi|1002318519|dbj|BCIP01000042.1|-processed-gene-0.82-mRNA-1	0.42864069311014	52.9449	0.338
genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.91-mRNA-1	0.504455477207647	46.9389	0.376
genemark-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-0.11-mRNA-1	0.489166101743945	44.7852	0.280
augustus_masked-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-2.69-mRNA-1	0.441001836981135	52.5340	0.364
genemark-gi|1002318473|dbj|BCIP01000088.1|-processed-gene-0.4-mRNA-1	0.414252574149134	53.0022	0.378
