gene_id	tAI	nc	gc3
genemark-scaffold_2-processed-gene-5.12-mRNA-1	0.523153945866338	47.6105	0.441
genemark-scaffold_4-processed-gene-3.45-mRNA-1	0.444075457056356	57.8952	0.427
genemark-scaffold_9-processed-gene-3.274-mRNA-1	0.462271858418709	55.1416	0.461
genemark-scaffold_4-processed-gene-9.167-mRNA-1	0.512328086273342	52.7646	0.411
genemark-scaffold_6-processed-gene-3.170-mRNA-1	0.478687161038797	56.0219	0.446
genemark-scaffold_18-processed-gene-1.45-mRNA-1	0.479876247859489	52.6591	0.579
genemark-scaffold_2-processed-gene-9.27-mRNA-1	0.667065298348101	48.0929	0.741
snap_masked-scaffold_1-processed-gene-3.117-mRNA-1	0.463966116634799	54.1135	0.594
augustus_masked-scaffold_5-processed-gene-4.87-mRNA-1	0.457095506885478	50.7477	0.639
genemark-scaffold_3-processed-gene-9.105-mRNA-1	0.56912161924183	44.1842	0.522
genemark-scaffold_1-processed-gene-6.27-mRNA-1	0.479782514713878	57.1036	0.460
genemark-scaffold_4-processed-gene-8.117-mRNA-1	0.464104056355773	54.9308	0.443
genemark-scaffold_3-processed-gene-2.31-mRNA-1	0.500216759236114	54.1073	0.502
genemark-scaffold_3-processed-gene-3.31-mRNA-1	0.512028633740989	51.7693	0.503
snap_masked-scaffold_1-processed-gene-2.22-mRNA-1	0.444357450911429	54.6259	0.635
genemark-scaffold_4-processed-gene-4.26-mRNA-1	0.475633624579604	54.8033	0.450
genemark-scaffold_13-processed-gene-1.1-mRNA-1	0.4457095425537	56.0491	0.536
snap_masked-scaffold_8-processed-gene-2.78-mRNA-1	0.491801239728173	56.2139	0.552
genemark-scaffold_25-processed-gene-0.64-mRNA-1	0.523324855600523	49.5014	0.542
genemark-scaffold_16-processed-gene-1.176-mRNA-1	0.470394090949015	54.9360	0.408
genemark-scaffold_22-processed-gene-0.56-mRNA-1	0.609931024135578	36.9183	0.515
genemark-scaffold_3-processed-gene-10.197-mRNA-1	0.486950051093912	53.3180	0.518
genemark-scaffold_4-processed-gene-1.109-mRNA-1	0.466824591446318	58.0473	0.512
genemark-scaffold_6-processed-gene-4.136-mRNA-1	0.469519839989548	55.1479	0.518
genemark-scaffold_1-processed-gene-1.129-mRNA-1	0.428418610253276	54.1844	0.458
snap_masked-scaffold_5-processed-gene-3.77-mRNA-1	0.462200050499196	52.9558	0.335
genemark-scaffold_8-processed-gene-1.133-mRNA-1	0.508873180944623	53.9718	0.468
genemark-scaffold_9-processed-gene-3.314-mRNA-1	0.480769083858421	50.0149	0.382
genemark-scaffold_13-processed-gene-1.40-mRNA-1	0.498160686997869	54.4153	0.604
genemark-scaffold_2-processed-gene-2.20-mRNA-1	0.448772432931769	58.0296	0.460
genemark-scaffold_1-processed-gene-13.43-mRNA-1	0.675462066208867	41.8802	0.555
genemark-scaffold_10-processed-gene-3.79-mRNA-1	0.477227806751951	55.7473	0.429
genemark-scaffold_8-processed-gene-0.22-mRNA-1	0.467878043427421	55.1879	0.560
genemark-scaffold_1-processed-gene-5.46-mRNA-1	0.622347846129249	41.2453	0.512
genemark-scaffold_6-processed-gene-1.138-mRNA-1	0.525465297423038	51.6026	0.650
genemark-scaffold_8-processed-gene-0.43-mRNA-1	0.46368748716434	57.3529	0.433
genemark-scaffold_2-processed-gene-8.55-mRNA-1	0.458505278274097	55.7684	0.466
maker-scaffold_11-snap-gene-1.174-mRNA-1	0.448155114268739	55.7131	0.439
genemark-scaffold_3-processed-gene-8.106-mRNA-1	0.619698671381767	36.6863	0.455
augustus_masked-scaffold_19-processed-gene-0.176-mRNA-1	0.457806354931468	56.4192	0.390
snap_masked-scaffold_1-processed-gene-3.99-mRNA-1	0.463194738567364	55.8238	0.397
augustus_masked-scaffold_9-processed-gene-1.55-mRNA-1	0.478449910666735	56.1395	0.428
genemark-scaffold_7-processed-gene-2.45-mRNA-1	0.423677665664076	55.6575	0.592
genemark-scaffold_2-processed-gene-4.147-mRNA-1	0.563602211809526	46.1978	0.586
augustus_masked-scaffold_12-processed-gene-3.11-mRNA-1	0.464867256861164	57.5115	0.515
genemark-scaffold_5-processed-gene-4.39-mRNA-1	0.472476778483491	53.4779	0.517
genemark-scaffold_6-processed-gene-3.148-mRNA-1	0.464957087332411	55.8885	0.483
maker-scaffold_42-augustus-gene-0.3-mRNA-1	0.470406781008307	53.2646	0.419
genemark-scaffold_1-processed-gene-12.60-mRNA-1	0.474561805416092	57.6845	0.436
genemark-scaffold_12-processed-gene-3.164-mRNA-1	0.509803058496026	54.1588	0.553
genemark-scaffold_17-processed-gene-1.54-mRNA-1	0.44433280967965	54.6813	0.609
genemark-scaffold_5-processed-gene-3.42-mRNA-1	0.491380421264162	53.1837	0.542
genemark-scaffold_1-processed-gene-18.153-mRNA-1	0.605141174161556	41.9067	0.552
genemark-scaffold_3-processed-gene-9.133-mRNA-1	0.47224749803579	53.4632	0.415
genemark-scaffold_6-processed-gene-2.28-mRNA-1	0.513962481932168	52.3777	0.394
genemark-scaffold_1-processed-gene-15.111-mRNA-1	0.550629288524197	42.3241	0.386
augustus_masked-scaffold_42-processed-gene-0.2-mRNA-1	0.460200267335	52.8502	0.362
genemark-scaffold_3-processed-gene-10.190-mRNA-1	0.481262444290009	50.3068	0.649
genemark-scaffold_2-processed-gene-11.69-mRNA-1	0.434403124666637	58.3767	0.511
maker-scaffold_20-snap-gene-0.156-mRNA-1	0.442444761264697	56.9363	0.403
genemark-scaffold_12-processed-gene-1.40-mRNA-1	0.486346966984	53.9647	0.574
augustus_masked-scaffold_5-processed-gene-4.77-mRNA-1	0.471473227221963	53.8116	0.541
genemark-scaffold_5-processed-gene-4.11-mRNA-1	0.578886687474333	43.5568	0.600
genemark-scaffold_6-processed-gene-5.114-mRNA-1	0.460832890239406	55.8749	0.446
genemark-scaffold_14-processed-gene-2.161-mRNA-1	0.444777286398562	51.6370	0.403
genemark-scaffold_13-processed-gene-2.133-mRNA-1	0.470067049107128	55.4871	0.491
genemark-scaffold_3-processed-gene-8.102-mRNA-1	0.520658527032209	51.5390	0.443
genemark-scaffold_1-processed-gene-14.16-mRNA-1	0.466590876707381	54.7464	0.465
genemark-scaffold_1-processed-gene-11.23-mRNA-1	0.470192112404426	53.2736	0.509
genemark-scaffold_15-processed-gene-0.19-mRNA-1	0.472043544224445	54.1313	0.382
genemark-scaffold_10-processed-gene-2.39-mRNA-1	0.495387550572247	56.4334	0.525
genemark-scaffold_1-processed-gene-6.15-mRNA-1	0.490822961908173	50.4468	0.677
genemark-scaffold_3-processed-gene-1.47-mRNA-1	0.456284802354639	56.3867	0.411
snap_masked-scaffold_7-processed-gene-4.145-mRNA-1	0.492920636492333	50.9182	0.520
snap_masked-scaffold_5-processed-gene-3.76-mRNA-1	0.456475042194024	52.7363	0.304
genemark-scaffold_1-processed-gene-7.130-mRNA-1	0.449688935602984	57.2200	0.621
augustus_masked-scaffold_7-processed-gene-1.40-mRNA-1	0.435981803200638	57.7649	0.435
augustus_masked-scaffold_14-processed-gene-1.62-mRNA-1	0.441380514243078	54.2559	0.534
genemark-scaffold_5-processed-gene-3.43-mRNA-1	0.480546510011433	55.1774	0.614
maker-scaffold_7-augustus-gene-2.51-mRNA-1	0.507887343511239	53.1043	0.468
genemark-scaffold_5-processed-gene-2.105-mRNA-1	0.518945417759296	54.0464	0.557
genemark-scaffold_3-processed-gene-9.106-mRNA-1	0.467240705670822	56.7367	0.540
snap_masked-scaffold_15-processed-gene-0.124-mRNA-1	0.452021859037542	56.2731	0.512
genemark-scaffold_2-processed-gene-4.131-mRNA-1	0.462537090089519	57.1293	0.509
genemark-scaffold_4-processed-gene-8.123-mRNA-1	0.472321850040625	54.1817	0.457
genemark-scaffold_2-processed-gene-11.48-mRNA-1	0.45661108988564	50.6006	0.677
snap_masked-scaffold_5-processed-gene-3.75-mRNA-1	0.450591158163818	54.1338	0.295
genemark-scaffold_24-processed-gene-0.141-mRNA-1	0.520653151690655	50.3468	0.541
genemark-scaffold_7-processed-gene-1.151-mRNA-1	0.49813446861153	50.9811	0.543
augustus_masked-scaffold_11-processed-gene-2.51-mRNA-1	0.444881716874662	57.4854	0.436
genemark-scaffold_3-processed-gene-4.15-mRNA-1	0.472157551398392	53.6323	0.563
genemark-scaffold_21-processed-gene-0.152-mRNA-1	0.662048531087423	41.6582	0.495
genemark-scaffold_20-processed-gene-0.118-mRNA-1	0.483417869770381	53.7948	0.426
maker-scaffold_3-snap-gene-3.59-mRNA-1	0.473934530876345	55.3457	0.485
genemark-scaffold_23-processed-gene-0.159-mRNA-1	0.465544640149624	55.4143	0.447
genemark-scaffold_4-processed-gene-2.28-mRNA-1	0.4458388351614	53.9879	0.570
genemark-scaffold_13-processed-gene-2.105-mRNA-1	0.464186259219869	53.8070	0.481
genemark-scaffold_9-processed-gene-1.129-mRNA-1	0.543425214953934	47.7552	0.494
snap_masked-scaffold_11-processed-gene-2.22-mRNA-1	0.438725777224203	54.3319	0.480
genemark-scaffold_1-processed-gene-15.97-mRNA-1	0.49454607706137	50.7890	0.431
genemark-scaffold_1-processed-gene-11.22-mRNA-1	0.492226799555065	52.0261	0.469
genemark-scaffold_2-processed-gene-0.30-mRNA-1	0.445550160518505	55.5148	0.448
